geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200414,,20201030,199,0.42857142857143,,
al,deaths_7dav_incidence_num,20200414,,20201030,199,7.1428571428571,,
ar,deaths_7dav_incidence_num,20200414,,20201014,183,2,,
az,deaths_7dav_incidence_num,20200414,,20201014,183,10,,
ca,deaths_7dav_incidence_num,20200414,,20201030,199,47.857142857143,,
co,deaths_7dav_incidence_num,20200414,,20201030,199,21.142857142857,,
ct,deaths_7dav_incidence_num,20200414,,20201030,199,56.285714285714,,
dc,deaths_7dav_incidence_num,20200414,,20201030,199,6.4285714285714,,
de,deaths_7dav_incidence_num,20200414,,20201030,199,3.8571428571429,,
fl,deaths_7dav_incidence_num,20200414,,20201030,199,41.142857142857,,
ga,deaths_7dav_incidence_num,20200414,,20201014,183,28,,
hi,deaths_7dav_incidence_num,20200414,,20201030,199,0.57142857142857,,
ia,deaths_7dav_incidence_num,20200414,,20201030,199,3.4285714285714,,
id,deaths_7dav_incidence_num,20200414,,20201030,199,2.8571428571429,,
il,deaths_7dav_incidence_num,20200414,,20201030,199,69.714285714286,,
in,deaths_7dav_incidence_num,20200414,,20201030,199,30.571428571429,,
ks,deaths_7dav_incidence_num,20200414,,20201030,199,5.7142857142857,,
ky,deaths_7dav_incidence_num,20200414,,20201030,199,5.8571428571429,,
la,deaths_7dav_incidence_num,20200414,,20201030,199,61.571428571429,,
ma,deaths_7dav_incidence_num,20200414,,20201030,199,69.714285714286,,
md,deaths_7dav_incidence_num,20200414,,20201030,199,28.428571428571,,
me,deaths_7dav_incidence_num,20200414,,20201030,199,1.1428571428571,,
mi,deaths_7dav_incidence_num,20200414,,20201014,183,139,,
mn,deaths_7dav_incidence_num,20200414,,20201030,199,6.4285714285714,,
mo,deaths_7dav_incidence_num,20200414,,20201030,199,13.285714285714,,
ms,deaths_7dav_incidence_num,20200414,,20201030,199,7.2857142857143,,
mt,deaths_7dav_incidence_num,20200414,,20201030,199,0.14285714285714,,
nc,deaths_7dav_incidence_num,20200414,,20201030,199,8.4285714285714,,
nd,deaths_7dav_incidence_num,20200414,,20201030,199,0.57142857142857,,
ne,deaths_7dav_incidence_num,20200414,,20201030,199,1.4285714285714,,
nh,deaths_7dav_incidence_num,20200414,,20201030,199,2.2857142857143,,
nj,deaths_7dav_incidence_num,20200414,,20201030,199,292.14285714286,,
nm,deaths_7dav_incidence_num,20200414,,20201030,199,2.5714285714286,,
nv,deaths_7dav_incidence_num,20200414,,20201030,199,7.7142857142857,,
ny,deaths_7dav_incidence_num,20200414,,20201014,183,954,,
oh,deaths_7dav_incidence_num,20200414,,20201030,199,22.428571428571,,
ok,deaths_7dav_incidence_num,20200414,,20201030,199,5.8571428571429,,
or,deaths_7dav_incidence_num,20200414,,20201030,199,3.7142857142857,,
pa,deaths_7dav_incidence_num,20200414,,20201030,199,63.428571428571,,
pr,deaths_7dav_incidence_num,20200414,,20201030,199,3.1428571428571,,
ri,deaths_7dav_incidence_num,20200414,,20201030,199,7.1428571428571,,
sc,deaths_7dav_incidence_num,20200414,,20201030,199,6.5714285714286,,
sd,deaths_7dav_incidence_num,20200414,,20201014,183,0,,
tn,deaths_7dav_incidence_num,20200414,,20201030,199,7.4285714285714,,
tx,deaths_7dav_incidence_num,20200414,,20201030,199,27.571428571429,,
ut,deaths_7dav_incidence_num,20200414,,20201030,199,0.71428571428571,,
va,deaths_7dav_incidence_num,20200414,,20201030,199,12.571428571429,,
vt,deaths_7dav_incidence_num,20200414,,20201030,199,0.85714285714286,,
wa,deaths_7dav_incidence_num,20200414,,20201030,199,18.571428571429,,
wi,deaths_7dav_incidence_num,20200414,,20201030,199,11.142857142857,,
wv,deaths_7dav_incidence_num,20200414,,20201030,199,0.71428571428571,,
wy,deaths_7dav_incidence_num,20200414,,20201030,199,0.14285714285714,,
