geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200514,,20201030,169,2.2857142857143,,
al,confirmed_7dav_incidence_num,20200514,,20201030,169,293.57142857143,,
ar,confirmed_7dav_incidence_num,20200514,,20201030,169,94.714285714286,,
az,confirmed_7dav_incidence_num,20200514,,20201030,169,389.85714285714,,
ca,confirmed_7dav_incidence_num,20200514,,20201030,169,1817.5714285714,,
co,confirmed_7dav_incidence_num,20200514,,20201030,169,352.57142857143,,
ct,confirmed_7dav_incidence_num,20200514,,20201030,169,525.71428571429,,
dc,confirmed_7dav_incidence_num,20200514,,20201030,169,154.57142857143,,
de,confirmed_7dav_incidence_num,20200514,,20201030,169,183.42857142857,,
fl,confirmed_7dav_incidence_num,20200514,,20201014,153,626,,
ga,confirmed_7dav_incidence_num,20200514,,20201030,169,622.71428571429,,
hi,confirmed_7dav_incidence_num,20200514,,20201030,169,1.1428571428571,,
ia,confirmed_7dav_incidence_num,20200514,,20201030,169,373.71428571429,,
id,confirmed_7dav_incidence_num,20200514,,20201030,169,24.714285714286,,
il,confirmed_7dav_incidence_num,20200514,,20201014,153,2438,,
in,confirmed_7dav_incidence_num,20200514,,20201030,169,507.14285714286,,
ks,confirmed_7dav_incidence_num,20200514,,20201030,169,196.14285714286,,
ky,confirmed_7dav_incidence_num,20200514,,20201030,169,156.57142857143,,
la,confirmed_7dav_incidence_num,20200514,,20201030,169,405.28571428571,,
ma,confirmed_7dav_incidence_num,20200514,,20201030,169,1134.4285714286,,
md,confirmed_7dav_incidence_num,20200514,,20201030,169,932.71428571429,,
me,confirmed_7dav_incidence_num,20200514,,20201030,169,33.571428571429,,
mi,confirmed_7dav_incidence_num,20200514,,20201030,169,646.42857142857,,
mn,confirmed_7dav_incidence_num,20200514,,20201030,169,581.42857142857,,
mo,confirmed_7dav_incidence_num,20200514,,20201014,153,143,,
ms,confirmed_7dav_incidence_num,20200514,,20201030,169,256.71428571429,,
mt,confirmed_7dav_incidence_num,20200514,,20201030,169,0.85714285714286,,
nc,confirmed_7dav_incidence_num,20200514,,20201030,169,496.57142857143,,
nd,confirmed_7dav_incidence_num,20200514,,20201030,169,48.714285714286,,
ne,confirmed_7dav_incidence_num,20200514,,20201030,169,275.14285714286,,
nh,confirmed_7dav_incidence_num,20200514,,20201014,153,77,,
nj,confirmed_7dav_incidence_num,20200514,,20201030,169,1244.7142857143,,
nm,confirmed_7dav_incidence_num,20200514,,20201030,169,144.28571428571,,
nv,confirmed_7dav_incidence_num,20200514,,20201030,169,92.714285714286,,
ny,confirmed_7dav_incidence_num,20200514,,20201014,153,2226,,
oh,confirmed_7dav_incidence_num,20200514,,20201030,169,603.71428571429,,
ok,confirmed_7dav_incidence_num,20200514,,20201030,169,90.428571428571,,
or,confirmed_7dav_incidence_num,20200514,,20201014,153,70,,
pa,confirmed_7dav_incidence_num,20200514,,20201030,169,1021.2857142857,,
pr,confirmed_7dav_incidence_num,20200514,,20201110,180,8.5714285714286,,
ri,confirmed_7dav_incidence_num,20200514,,20201030,169,212.28571428571,,
sc,confirmed_7dav_incidence_num,20200514,,20201030,169,149.57142857143,,
sd,confirmed_7dav_incidence_num,20200514,,20201030,169,126.28571428571,,
tn,confirmed_7dav_incidence_num,20200514,,20201030,169,371.85714285714,,
tx,confirmed_7dav_incidence_num,20200514,,20201030,169,1206.2857142857,,
ut,confirmed_7dav_incidence_num,20200514,,20201030,169,146.42857142857,,
va,confirmed_7dav_incidence_num,20200514,,20201030,169,891.85714285714,,
vt,confirmed_7dav_incidence_num,20200514,,20201030,169,2.2857142857143,,
wa,confirmed_7dav_incidence_num,20200514,,20201030,169,220.28571428571,,
wi,confirmed_7dav_incidence_num,20200514,,20201030,169,294.28571428571,,
wv,confirmed_7dav_incidence_num,20200514,,20201014,153,20,,
wy,confirmed_7dav_incidence_num,20200514,,20201030,169,9.4285714285714,,
