geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200331,,20201030,213,0.42857142857143,,
al,deaths_7dav_incidence_num,20200331,,20201030,213,3.2857142857143,,
ar,deaths_7dav_incidence_num,20200331,,20201030,213,0.85714285714286,,
az,deaths_7dav_incidence_num,20200331,,20201030,213,2.8571428571429,,
ca,deaths_7dav_incidence_num,20200331,,20201030,213,17.571428571429,,
co,deaths_7dav_incidence_num,20200331,,20201030,213,8.2857142857143,,
ct,deaths_7dav_incidence_num,20200331,,20201030,213,8.1428571428571,,
dc,deaths_7dav_incidence_num,20200331,,20201014,197,1,,
de,deaths_7dav_incidence_num,20200331,,20201030,213,1.4285714285714,,
fl,deaths_7dav_incidence_num,20200331,,20201030,213,9.5714285714286,,
ga,deaths_7dav_incidence_num,20200331,,20201030,213,11.285714285714,,
hi,deaths_7dav_incidence_num,20200331,,20201030,213,-0.14285714285714,,
ia,deaths_7dav_incidence_num,20200331,,20201014,197,1,,
id,deaths_7dav_incidence_num,20200331,,20201030,213,1.1428571428571,,
il,deaths_7dav_incidence_num,20200331,,20201030,213,11.857142857143,,
in,deaths_7dav_incidence_num,20200331,,20201030,213,5.2857142857143,,
ks,deaths_7dav_incidence_num,20200331,,20201014,197,1,,
ky,deaths_7dav_incidence_num,20200331,,20201014,197,1,,
la,deaths_7dav_incidence_num,20200331,,20201030,213,27.571428571429,,
ma,deaths_7dav_incidence_num,20200331,,20201030,213,11.142857142857,,
md,deaths_7dav_incidence_num,20200331,,20201014,197,2,,
me,deaths_7dav_incidence_num,20200331,,20201030,213,0.71428571428571,,
mi,deaths_7dav_incidence_num,20200331,,20201030,213,37.285714285714,,
mn,deaths_7dav_incidence_num,20200331,,20201030,213,1.5714285714286,,
mo,deaths_7dav_incidence_num,20200331,,20201030,213,1.5714285714286,,
ms,deaths_7dav_incidence_num,20200331,,20201030,213,2.7142857142857,,
mt,deaths_7dav_incidence_num,20200331,,20201030,213,0.71428571428571,,
nc,deaths_7dav_incidence_num,20200331,,20201030,213,1.7142857142857,,
nd,deaths_7dav_incidence_num,20200331,,20201030,213,0.42857142857143,,
ne,deaths_7dav_incidence_num,20200331,,20201030,213,0.42857142857143,,
nh,deaths_7dav_incidence_num,20200331,,20201030,213,0.28571428571429,,
nj,deaths_7dav_incidence_num,20200331,,20201030,213,43.714285714286,,
nm,deaths_7dav_incidence_num,20200331,,20201030,213,0.57142857142857,,
nv,deaths_7dav_incidence_num,20200331,,20201030,213,3.1428571428571,,
ny,deaths_7dav_incidence_num,20200331,,20201030,213,328.57142857143,,
oh,deaths_7dav_incidence_num,20200331,,20201030,213,6.7142857142857,,
ok,deaths_7dav_incidence_num,20200331,,20201030,213,2.8571428571429,,
or,deaths_7dav_incidence_num,20200331,,20201030,213,1.4285714285714,,
pa,deaths_7dav_incidence_num,20200331,,20201030,213,7.8571428571429,,
pr,deaths_7dav_incidence_num,20200331,,20201030,213,0.85714285714286,,
ri,deaths_7dav_incidence_num,20200331,,20201030,213,1.4285714285714,,
sc,deaths_7dav_incidence_num,20200331,,20201030,213,2.4285714285714,,
sd,deaths_7dav_incidence_num,20200331,,20201014,197,0,,
tn,deaths_7dav_incidence_num,20200331,,20201014,197,3,,
tx,deaths_7dav_incidence_num,20200331,,20201030,213,7.5714285714286,,
ut,deaths_7dav_incidence_num,20200331,,20201030,213,0.57142857142857,,
va,deaths_7dav_incidence_num,20200331,,20201030,213,2.5714285714286,,
vt,deaths_7dav_incidence_num,20200331,,20201030,213,0.85714285714286,,
wa,deaths_7dav_incidence_num,20200331,,20201030,213,15.571428571429,,
wi,deaths_7dav_incidence_num,20200331,,20201030,213,2.8571428571429,,
wv,deaths_7dav_incidence_num,20200331,,20201030,213,0.14285714285714,,
wy,deaths_7dav_incidence_num,20200331,,20201014,197,0,,
