geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
al,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
ar,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
az,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
ca,confirmed_7dav_incidence_num,20200301,,20201030,243,0.28571428571429,,
co,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
ct,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
dc,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
de,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
fl,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
ga,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
hi,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
ia,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
id,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
il,confirmed_7dav_incidence_num,20200301,,20201030,243,0.14285714285714,,
in,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
ks,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
ky,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
la,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
ma,confirmed_7dav_incidence_num,20200301,,20201030,243,0.14285714285714,,
md,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
me,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
mi,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
mn,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
mo,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
ms,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
mt,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
nc,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
nd,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
ne,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
nh,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
nj,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
nm,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
nv,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
ny,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
oh,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
ok,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
or,confirmed_7dav_incidence_num,20200301,,20201030,243,0.14285714285714,,
pa,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
pr,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
ri,confirmed_7dav_incidence_num,20200301,,20201030,243,0.14285714285714,,
sc,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
sd,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
tn,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
tx,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
ut,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
va,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
vt,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
wa,confirmed_7dav_incidence_num,20200301,,20201030,243,1.4285714285714,,
wi,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
wv,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
wy,confirmed_7dav_incidence_num,20200301,,20201014,227,0,,
