geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200507,,20201030,176,2.8571428571429,,
al,confirmed_7dav_incidence_num,20200507,,20201030,176,279.71428571429,,
ar,confirmed_7dav_incidence_num,20200507,,20201030,176,60.285714285714,,
az,confirmed_7dav_incidence_num,20200507,,20201030,176,327.14285714286,,
ca,confirmed_7dav_incidence_num,20200507,,20201030,176,1716.8571428571,,
co,confirmed_7dav_incidence_num,20200507,,20201030,176,440.85714285714,,
ct,confirmed_7dav_incidence_num,20200507,,20201030,176,583.42857142857,,
dc,confirmed_7dav_incidence_num,20200507,,20201030,176,190.14285714286,,
de,confirmed_7dav_incidence_num,20200507,,20201030,176,172.14285714286,,
fl,confirmed_7dav_incidence_num,20200507,,20201014,160,734,,
ga,confirmed_7dav_incidence_num,20200507,,20201030,176,764.85714285714,,
hi,confirmed_7dav_incidence_num,20200507,,20201030,176,1.5714285714286,,
ia,confirmed_7dav_incidence_num,20200507,,20201030,176,559.14285714286,,
id,confirmed_7dav_incidence_num,20200507,,20201030,176,27.714285714286,,
il,confirmed_7dav_incidence_num,20200507,,20201030,176,2564.7142857143,,
in,confirmed_7dav_incidence_num,20200507,,20201030,176,666.85714285714,,
ks,confirmed_7dav_incidence_num,20200507,,20201030,176,274.14285714286,,
ky,confirmed_7dav_incidence_num,20200507,,20201014,160,203,,
la,confirmed_7dav_incidence_num,20200507,,20201030,176,378.71428571429,,
ma,confirmed_7dav_incidence_num,20200507,,20201030,176,1552.2857142857,,
md,confirmed_7dav_incidence_num,20200507,,20201030,176,1090.2857142857,,
me,confirmed_7dav_incidence_num,20200507,,20201030,176,33.571428571429,,
mi,confirmed_7dav_incidence_num,20200507,,20201014,160,619,,
mn,confirmed_7dav_incidence_num,20200507,,20201030,176,604.14285714286,,
mo,confirmed_7dav_incidence_num,20200507,,20201030,176,246.71428571429,,
ms,confirmed_7dav_incidence_num,20200507,,20201030,176,267.28571428571,,
mt,confirmed_7dav_incidence_num,20200507,,20201030,176,0.42857142857143,,
nc,confirmed_7dav_incidence_num,20200507,,20201030,176,418.71428571429,,
nd,confirmed_7dav_incidence_num,20200507,,20201030,176,43.428571428571,,
ne,confirmed_7dav_incidence_num,20200507,,20201030,176,436.14285714286,,
nh,confirmed_7dav_incidence_num,20200507,,20201030,176,99.571428571429,,
nj,confirmed_7dav_incidence_num,20200507,,20201030,176,2191.2857142857,,
nm,confirmed_7dav_incidence_num,20200507,,20201030,176,154.57142857143,,
nv,confirmed_7dav_incidence_num,20200507,,20201030,176,114.57142857143,,
ny,confirmed_7dav_incidence_num,20200507,,20201030,176,3299.5714285714,,
oh,confirmed_7dav_incidence_num,20200507,,20201030,176,586.28571428571,,
ok,confirmed_7dav_incidence_num,20200507,,20201030,176,101.71428571429,,
or,confirmed_7dav_incidence_num,20200507,,20201030,176,68.428571428571,,
pa,confirmed_7dav_incidence_num,20200507,,20201030,176,1140.7142857143,,
pr,confirmed_7dav_incidence_num,20200507,,20201110,187,8.1428571428571,,
ri,confirmed_7dav_incidence_num,20200507,,20201030,176,272.71428571429,,
sc,confirmed_7dav_incidence_num,20200507,,20201030,176,149.57142857143,,
sd,confirmed_7dav_incidence_num,20200507,,20201030,176,65.285714285714,,
tn,confirmed_7dav_incidence_num,20200507,,20201030,176,480.14285714286,,
tx,confirmed_7dav_incidence_num,20200507,,20201030,176,1044.1428571429,,
ut,confirmed_7dav_incidence_num,20200507,,20201030,176,150.28571428571,,
va,confirmed_7dav_incidence_num,20200507,,20201030,176,817.57142857143,,
vt,confirmed_7dav_incidence_num,20200507,,20201030,176,7.1428571428571,,
wa,confirmed_7dav_incidence_num,20200507,,20201014,160,272,,
wi,confirmed_7dav_incidence_num,20200507,,20201030,176,337.28571428571,,
wv,confirmed_7dav_incidence_num,20200507,,20201030,176,23.142857142857,,
wy,confirmed_7dav_incidence_num,20200507,,20201030,176,10.857142857143,,
