geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200707,,20201030,115,0.42857142857143,,
al,deaths_7dav_incidence_num,20200707,,20201030,115,11.857142857143,,
ar,deaths_7dav_incidence_num,20200707,,20201030,115,4.4285714285714,,
az,deaths_7dav_incidence_num,20200707,,20201030,115,40.285714285714,,
ca,deaths_7dav_incidence_num,20200707,,20201030,115,70.142857142857,,
co,deaths_7dav_incidence_num,20200707,,20201030,115,0.85714285714286,,
ct,deaths_7dav_incidence_num,20200707,,20201030,115,2.2857142857143,,
dc,deaths_7dav_incidence_num,20200707,,20201030,115,1.4285714285714,,
de,deaths_7dav_incidence_num,20200707,,20201030,115,0.71428571428571,,
fl,deaths_7dav_incidence_num,20200707,,20201014,99,48,,
ga,deaths_7dav_incidence_num,20200707,,20201030,115,13.428571428571,,
hi,deaths_7dav_incidence_num,20200707,,20201030,115,0.14285714285714,,
ia,deaths_7dav_incidence_num,20200707,,20201030,115,2.2857142857143,,
id,deaths_7dav_incidence_num,20200707,,20201030,115,0.28571428571429,,
il,deaths_7dav_incidence_num,20200707,,20201014,99,50,,
in,deaths_7dav_incidence_num,20200707,,20201014,99,11,,
ks,deaths_7dav_incidence_num,20200707,,20201030,115,2.2857142857143,,
ky,deaths_7dav_incidence_num,20200707,,20201030,115,5.2857142857143,,
la,deaths_7dav_incidence_num,20200707,,20201014,99,14,,
ma,deaths_7dav_incidence_num,20200707,,20201030,115,22.714285714286,,
md,deaths_7dav_incidence_num,20200707,,20201030,115,10.857142857143,,
me,deaths_7dav_incidence_num,20200707,,20201030,115,0.71428571428571,,
mi,deaths_7dav_incidence_num,20200707,,20201030,115,8.2857142857143,,
mn,deaths_7dav_incidence_num,20200707,,20201030,115,5.4285714285714,,
mo,deaths_7dav_incidence_num,20200707,,20201030,115,6.8571428571429,,
ms,deaths_7dav_incidence_num,20200707,,20201030,115,12.142857142857,,
mt,deaths_7dav_incidence_num,20200707,,20201030,115,0.14285714285714,,
nc,deaths_7dav_incidence_num,20200707,,20201030,115,9.4285714285714,,
nd,deaths_7dav_incidence_num,20200707,,20201030,115,0.71428571428571,,
ne,deaths_7dav_incidence_num,20200707,,20201030,115,1.1428571428571,,
nh,deaths_7dav_incidence_num,20200707,,20201030,115,1.8571428571429,,
nj,deaths_7dav_incidence_num,20200707,,20201030,115,35.142857142857,,
nm,deaths_7dav_incidence_num,20200707,,20201030,115,3.1428571428571,,
nv,deaths_7dav_incidence_num,20200707,,20201030,115,5.8571428571429,,
ny,deaths_7dav_incidence_num,20200707,,20201030,115,30.428571428571,,
oh,deaths_7dav_incidence_num,20200707,,20201030,115,15.285714285714,,
ok,deaths_7dav_incidence_num,20200707,,20201030,115,2.4285714285714,,
or,deaths_7dav_incidence_num,20200707,,20201030,115,1.8571428571429,,
pa,deaths_7dav_incidence_num,20200707,,20201030,115,19.714285714286,,
pr,deaths_7dav_incidence_num,20200707,,20201030,115,0.57142857142857,,
ri,deaths_7dav_incidence_num,20200707,,20201014,99,0,,
sc,deaths_7dav_incidence_num,20200707,,20201030,115,15.285714285714,,
sd,deaths_7dav_incidence_num,20200707,,20201014,99,1,,
tn,deaths_7dav_incidence_num,20200707,,20201030,115,8.7142857142857,,
tx,deaths_7dav_incidence_num,20200707,,20201030,115,69.142857142857,,
ut,deaths_7dav_incidence_num,20200707,,20201030,115,3.1428571428571,,
va,deaths_7dav_incidence_num,20200707,,20201030,115,16.857142857143,,
vt,deaths_7dav_incidence_num,20200707,,20201014,99,0,,
wa,deaths_7dav_incidence_num,20200707,,20201030,115,7.4285714285714,,
wi,deaths_7dav_incidence_num,20200707,,20201014,99,3,,
wv,deaths_7dav_incidence_num,20200707,,20201030,115,0.28571428571429,,
wy,deaths_7dav_incidence_num,20200707,,20201030,115,0.14285714285714,,
