geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200423,,20201014,174,0,,
al,deaths_7dav_incidence_num,20200423,,20201030,190,9.8571428571429,,
ar,deaths_7dav_incidence_num,20200423,,20201030,190,1.1428571428571,,
az,deaths_7dav_incidence_num,20200423,,20201030,190,12.142857142857,,
ca,deaths_7dav_incidence_num,20200423,,20201030,190,82.428571428571,,
co,deaths_7dav_incidence_num,20200423,,20201030,190,25.714285714286,,
ct,deaths_7dav_incidence_num,20200423,,20201030,190,95.428571428571,,
dc,deaths_7dav_incidence_num,20200423,,20201030,190,8.2857142857143,,
de,deaths_7dav_incidence_num,20200423,,20201030,190,5.2857142857143,,
fl,deaths_7dav_incidence_num,20200423,,20201030,190,45.571428571429,,
ga,deaths_7dav_incidence_num,20200423,,20201014,174,42,,
hi,deaths_7dav_incidence_num,20200423,,20201030,190,0.42857142857143,,
ia,deaths_7dav_incidence_num,20200423,,20201030,190,5.1428571428571,,
id,deaths_7dav_incidence_num,20200423,,20201030,190,1.8571428571429,,
il,deaths_7dav_incidence_num,20200423,,20201014,174,88,,
in,deaths_7dav_incidence_num,20200423,,20201030,190,32.714285714286,,
ks,deaths_7dav_incidence_num,20200423,,20201030,190,4.7142857142857,,
ky,deaths_7dav_incidence_num,20200423,,20201030,190,8.8571428571429,,
la,deaths_7dav_incidence_num,20200423,,20201030,190,63.285714285714,,
ma,deaths_7dav_incidence_num,20200423,,20201030,190,178.85714285714,,
md,deaths_7dav_incidence_num,20200423,,20201030,190,61.285714285714,,
me,deaths_7dav_incidence_num,20200423,,20201030,190,2.4285714285714,,
mi,deaths_7dav_incidence_num,20200423,,20201030,190,143.57142857143,,
mn,deaths_7dav_incidence_num,20200423,,20201030,190,16.142857142857,,
mo,deaths_7dav_incidence_num,20200423,,20201030,190,14.428571428571,,
ms,deaths_7dav_incidence_num,20200423,,20201030,190,10.285714285714,,
mt,deaths_7dav_incidence_num,20200423,,20201014,174,1,,
nc,deaths_7dav_incidence_num,20200423,,20201030,190,18.714285714286,,
nd,deaths_7dav_incidence_num,20200423,,20201030,190,0.85714285714286,,
ne,deaths_7dav_incidence_num,20200423,,20201030,190,3.7142857142857,,
nh,deaths_7dav_incidence_num,20200423,,20201030,190,2.7142857142857,,
nj,deaths_7dav_incidence_num,20200423,,20201030,190,314.71428571429,,
nm,deaths_7dav_incidence_num,20200423,,20201014,174,6,,
nv,deaths_7dav_incidence_num,20200423,,20201030,190,8.2857142857143,,
ny,deaths_7dav_incidence_num,20200423,,20201030,190,625.57142857143,,
oh,deaths_7dav_incidence_num,20200423,,20201030,190,35.571428571429,,
ok,deaths_7dav_incidence_num,20200423,,20201030,190,6.8571428571429,,
or,deaths_7dav_incidence_num,20200423,,20201030,190,2.7142857142857,,
pa,deaths_7dav_incidence_num,20200423,,20201030,190,126.14285714286,,
pr,deaths_7dav_incidence_num,20200423,,20201030,190,1.8571428571429,,
ri,deaths_7dav_incidence_num,20200423,,20201014,174,15,,
sc,deaths_7dav_incidence_num,20200423,,20201030,190,5.5714285714286,,
sd,deaths_7dav_incidence_num,20200423,,20201030,190,0.28571428571429,,
tn,deaths_7dav_incidence_num,20200423,,20201014,174,5,,
tx,deaths_7dav_incidence_num,20200423,,20201030,190,30.428571428571,,
ut,deaths_7dav_incidence_num,20200423,,20201030,190,2.1428571428571,,
va,deaths_7dav_incidence_num,20200423,,20201030,190,23.571428571429,,
vt,deaths_7dav_incidence_num,20200423,,20201030,190,1.4285714285714,,
wa,deaths_7dav_incidence_num,20200423,,20201030,190,18.857142857143,,
wi,deaths_7dav_incidence_num,20200423,,20201030,190,8.7142857142857,,
wv,deaths_7dav_incidence_num,20200423,,20201030,190,2.7142857142857,,
wy,deaths_7dav_incidence_num,20200423,,20201030,190,0.71428571428571,,
