geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200611,,20201030,141,0.14285714285714,,
al,deaths_7dav_incidence_num,20200611,,20201030,141,14.571428571429,,
ar,deaths_7dav_incidence_num,20200611,,20201030,141,2.8571428571429,,
az,deaths_7dav_incidence_num,20200611,,20201030,141,19.428571428571,,
ca,deaths_7dav_incidence_num,20200611,,20201014,125,70,,
co,deaths_7dav_incidence_num,20200611,,20201014,125,10,,
ct,deaths_7dav_incidence_num,20200611,,20201030,141,19.857142857143,,
dc,deaths_7dav_incidence_num,20200611,,20201030,141,3.8571428571429,,
de,deaths_7dav_incidence_num,20200611,,20201014,125,4,,
fl,deaths_7dav_incidence_num,20200611,,20201030,141,34.428571428571,,
ga,deaths_7dav_incidence_num,20200611,,20201030,141,32.285714285714,,
hi,deaths_7dav_incidence_num,20200611,,20201014,125,0,,
ia,deaths_7dav_incidence_num,20200611,,20201030,141,8.1428571428571,,
id,deaths_7dav_incidence_num,20200611,,20201030,141,0.28571428571429,,
il,deaths_7dav_incidence_num,20200611,,20201030,141,64.142857142857,,
in,deaths_7dav_incidence_num,20200611,,20201030,141,21.285714285714,,
ks,deaths_7dav_incidence_num,20200611,,20201030,141,2.2857142857143,,
ky,deaths_7dav_incidence_num,20200611,,20201014,125,5,,
la,deaths_7dav_incidence_num,20200611,,20201030,141,14.857142857143,,
ma,deaths_7dav_incidence_num,20200611,,20201030,141,41.571428571429,,
md,deaths_7dav_incidence_num,20200611,,20201030,141,29.571428571429,,
me,deaths_7dav_incidence_num,20200611,,20201030,141,0.71428571428571,,
mi,deaths_7dav_incidence_num,20200611,,20201030,141,20.714285714286,,
mn,deaths_7dav_incidence_num,20200611,,20201014,125,22,,
mo,deaths_7dav_incidence_num,20200611,,20201030,141,4.5714285714286,,
ms,deaths_7dav_incidence_num,20200611,,20201030,141,10.571428571429,,
mt,deaths_7dav_incidence_num,20200611,,20201030,141,0.14285714285714,,
nc,deaths_7dav_incidence_num,20200611,,20201030,141,14.285714285714,,
nd,deaths_7dav_incidence_num,20200611,,20201030,141,1.1428571428571,,
ne,deaths_7dav_incidence_num,20200611,,20201030,141,3.5714285714286,,
nh,deaths_7dav_incidence_num,20200611,,20201014,125,5,,
nj,deaths_7dav_incidence_num,20200611,,20201030,141,69.428571428571,,
nm,deaths_7dav_incidence_num,20200611,,20201030,141,5.2857142857143,,
nv,deaths_7dav_incidence_num,20200611,,20201030,141,4.1428571428571,,
ny,deaths_7dav_incidence_num,20200611,,20201030,141,44.428571428571,,
oh,deaths_7dav_incidence_num,20200611,,20201030,141,21.714285714286,,
ok,deaths_7dav_incidence_num,20200611,,20201014,125,2,,
or,deaths_7dav_incidence_num,20200611,,20201030,141,1.7142857142857,,
pa,deaths_7dav_incidence_num,20200611,,20201030,141,40.142857142857,,
pr,deaths_7dav_incidence_num,20200611,,20201030,141,0.57142857142857,,
ri,deaths_7dav_incidence_num,20200611,,20201030,141,6.7142857142857,,
sc,deaths_7dav_incidence_num,20200611,,20201014,125,9,,
sd,deaths_7dav_incidence_num,20200611,,20201030,141,1.2857142857143,,
tn,deaths_7dav_incidence_num,20200611,,20201030,141,5.7142857142857,,
tx,deaths_7dav_incidence_num,20200611,,20201014,125,24,,
ut,deaths_7dav_incidence_num,20200611,,20201014,125,2,,
va,deaths_7dav_incidence_num,20200611,,20201030,141,10.714285714286,,
vt,deaths_7dav_incidence_num,20200611,,20201014,125,0,,
wa,deaths_7dav_incidence_num,20200611,,20201014,125,8,,
wi,deaths_7dav_incidence_num,20200611,,20201014,125,8,,
wv,deaths_7dav_incidence_num,20200611,,20201014,125,1,,
wy,deaths_7dav_incidence_num,20200611,,20201030,141,0.14285714285714,,
