geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200711,,20201030,111,0.14285714285714,,
al,deaths_7dav_incidence_num,20200711,,20201030,111,15.285714285714,,
ar,deaths_7dav_incidence_num,20200711,,20201030,111,4.7142857142857,,
az,deaths_7dav_incidence_num,20200711,,20201030,111,47.714285714286,,
ca,deaths_7dav_incidence_num,20200711,,20201014,95,99,,
co,deaths_7dav_incidence_num,20200711,,20201030,111,3.4285714285714,,
ct,deaths_7dav_incidence_num,20200711,,20201030,111,1.8571428571429,,
dc,deaths_7dav_incidence_num,20200711,,20201030,111,1.5714285714286,,
de,deaths_7dav_incidence_num,20200711,,20201030,111,0.71428571428571,,
fl,deaths_7dav_incidence_num,20200711,,20201030,111,70.714285714286,,
ga,deaths_7dav_incidence_num,20200711,,20201030,111,19.857142857143,,
hi,deaths_7dav_incidence_num,20200711,,20201014,95,0,,
ia,deaths_7dav_incidence_num,20200711,,20201030,111,3.8571428571429,,
id,deaths_7dav_incidence_num,20200711,,20201030,111,1.2857142857143,,
il,deaths_7dav_incidence_num,20200711,,20201030,111,50.714285714286,,
in,deaths_7dav_incidence_num,20200711,,20201030,111,9.8571428571429,,
ks,deaths_7dav_incidence_num,20200711,,20201030,111,1.7142857142857,,
ky,deaths_7dav_incidence_num,20200711,,20201030,111,5.2857142857143,,
la,deaths_7dav_incidence_num,20200711,,20201030,111,17.857142857143,,
ma,deaths_7dav_incidence_num,20200711,,20201030,111,19.714285714286,,
md,deaths_7dav_incidence_num,20200711,,20201030,111,10.571428571429,,
me,deaths_7dav_incidence_num,20200711,,20201030,111,0.71428571428571,,
mi,deaths_7dav_incidence_num,20200711,,20201030,111,13.571428571429,,
mn,deaths_7dav_incidence_num,20200711,,20201030,111,4.8571428571429,,
mo,deaths_7dav_incidence_num,20200711,,20201030,111,5.8571428571429,,
ms,deaths_7dav_incidence_num,20200711,,20201030,111,17.571428571429,,
mt,deaths_7dav_incidence_num,20200711,,20201030,111,0.85714285714286,,
nc,deaths_7dav_incidence_num,20200711,,20201014,95,13,,
nd,deaths_7dav_incidence_num,20200711,,20201014,95,1,,
ne,deaths_7dav_incidence_num,20200711,,20201030,111,0.14285714285714,,
nh,deaths_7dav_incidence_num,20200711,,20201030,111,1.7142857142857,,
nj,deaths_7dav_incidence_num,20200711,,20201014,95,48,,
nm,deaths_7dav_incidence_num,20200711,,20201030,111,4.2857142857143,,
nv,deaths_7dav_incidence_num,20200711,,20201030,111,8.8571428571429,,
ny,deaths_7dav_incidence_num,20200711,,20201030,111,24.857142857143,,
oh,deaths_7dav_incidence_num,20200711,,20201030,111,18.428571428571,,
ok,deaths_7dav_incidence_num,20200711,,20201030,111,3.2857142857143,,
or,deaths_7dav_incidence_num,20200711,,20201030,111,2.7142857142857,,
pa,deaths_7dav_incidence_num,20200711,,20201030,111,21.142857142857,,
pr,deaths_7dav_incidence_num,20200711,,20201030,111,1.7142857142857,,
ri,deaths_7dav_incidence_num,20200711,,20201014,95,1,,
sc,deaths_7dav_incidence_num,20200711,,20201030,111,19.714285714286,,
sd,deaths_7dav_incidence_num,20200711,,20201030,111,1.7142857142857,,
tn,deaths_7dav_incidence_num,20200711,,20201030,111,14.428571428571,,
tx,deaths_7dav_incidence_num,20200711,,20201030,111,98.142857142857,,
ut,deaths_7dav_incidence_num,20200711,,20201030,111,4.4285714285714,,
va,deaths_7dav_incidence_num,20200711,,20201030,111,16.142857142857,,
vt,deaths_7dav_incidence_num,20200711,,20201014,95,0,,
wa,deaths_7dav_incidence_num,20200711,,20201014,95,10,,
wi,deaths_7dav_incidence_num,20200711,,20201030,111,3.5714285714286,,
wv,deaths_7dav_incidence_num,20200711,,20201030,111,0.28571428571429,,
wy,deaths_7dav_incidence_num,20200711,,20201030,111,0.14285714285714,,
