geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200608,,20201030,144,17.571428571429,,
al,confirmed_7dav_incidence_num,20200608,,20201030,144,327.85714285714,,
ar,confirmed_7dav_incidence_num,20200608,,20201030,144,328.14285714286,,
az,confirmed_7dav_incidence_num,20200608,,20201030,144,1078.4285714286,,
ca,confirmed_7dav_incidence_num,20200608,,20201030,144,2726.1428571429,,
co,confirmed_7dav_incidence_num,20200608,,20201030,144,229.42857142857,,
ct,confirmed_7dav_incidence_num,20200608,,20201030,144,193.14285714286,,
dc,confirmed_7dav_incidence_num,20200608,,20201014,128,76,,
de,confirmed_7dav_incidence_num,20200608,,20201030,144,52.428571428571,,
fl,confirmed_7dav_incidence_num,20200608,,20201030,144,1153.4285714286,,
ga,confirmed_7dav_incidence_num,20200608,,20201030,144,656.42857142857,,
hi,confirmed_7dav_incidence_num,20200608,,20201030,144,3.4285714285714,,
ia,confirmed_7dav_incidence_num,20200608,,20201030,144,329.71428571429,,
id,confirmed_7dav_incidence_num,20200608,,20201014,128,50,,
il,confirmed_7dav_incidence_num,20200608,,20201030,144,1025.8571428571,,
in,confirmed_7dav_incidence_num,20200608,,20201014,128,399,,
ks,confirmed_7dav_incidence_num,20200608,,20201030,144,89.142857142857,,
ky,confirmed_7dav_incidence_num,20200608,,20201030,144,204.28571428571,,
la,confirmed_7dav_incidence_num,20200608,,20201014,128,387,,
ma,confirmed_7dav_incidence_num,20200608,,20201030,144,330.85714285714,,
md,confirmed_7dav_incidence_num,20200608,,20201030,144,725.28571428571,,
me,confirmed_7dav_incidence_num,20200608,,20201030,144,34.142857142857,,
mi,confirmed_7dav_incidence_num,20200608,,20201030,144,295.85714285714,,
mn,confirmed_7dav_incidence_num,20200608,,20201030,144,430.85714285714,,
mo,confirmed_7dav_incidence_num,20200608,,20201030,144,224,,
ms,confirmed_7dav_incidence_num,20200608,,20201014,128,288,,
mt,confirmed_7dav_incidence_num,20200608,,20201030,144,4.1428571428571,,
nc,confirmed_7dav_incidence_num,20200608,,20201014,128,1073,,
nd,confirmed_7dav_incidence_num,20200608,,20201030,144,36.428571428571,,
ne,confirmed_7dav_incidence_num,20200608,,20201030,144,205.85714285714,,
nh,confirmed_7dav_incidence_num,20200608,,20201030,144,56.285714285714,,
nj,confirmed_7dav_incidence_num,20200608,,20201030,144,511.28571428571,,
nm,confirmed_7dav_incidence_num,20200608,,20201030,144,180.28571428571,,
nv,confirmed_7dav_incidence_num,20200608,,20201030,144,159.14285714286,,
ny,confirmed_7dav_incidence_num,20200608,,20201030,144,1012.5714285714,,
oh,confirmed_7dav_incidence_num,20200608,,20201030,144,407.57142857143,,
ok,confirmed_7dav_incidence_num,20200608,,20201030,144,90.285714285714,,
or,confirmed_7dav_incidence_num,20200608,,20201030,144,88.571428571429,,
pa,confirmed_7dav_incidence_num,20200608,,20201030,144,527.57142857143,,
pr,confirmed_7dav_incidence_num,20200608,,20201110,155,9.7142857142857,,
ri,confirmed_7dav_incidence_num,20200608,,20201014,128,93,,
sc,confirmed_7dav_incidence_num,20200608,,20201030,144,378.85714285714,,
sd,confirmed_7dav_incidence_num,20200608,,20201030,144,61.285714285714,,
tn,confirmed_7dav_incidence_num,20200608,,20201030,144,634.14285714286,,
tx,confirmed_7dav_incidence_num,20200608,,20201030,144,1552.8571428571,,
ut,confirmed_7dav_incidence_num,20200608,,20201030,144,331.85714285714,,
va,confirmed_7dav_incidence_num,20200608,,20201030,144,836.14285714286,,
vt,confirmed_7dav_incidence_num,20200608,,20201030,144,13.142857142857,,
wa,confirmed_7dav_incidence_num,20200608,,20201030,144,294.85714285714,,
wi,confirmed_7dav_incidence_num,20200608,,20201030,144,356.42857142857,,
wv,confirmed_7dav_incidence_num,20200608,,20201014,128,19,,
wy,confirmed_7dav_incidence_num,20200608,,20201030,144,7.1428571428571,,
