geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200413,,20201030,200,0.28571428571429,,
al,deaths_7dav_incidence_num,20200413,,20201030,200,7.1428571428571,,
ar,deaths_7dav_incidence_num,20200413,,20201030,200,1.8571428571429,,
az,deaths_7dav_incidence_num,20200413,,20201030,200,9.5714285714286,,
ca,deaths_7dav_incidence_num,20200413,,20201030,200,47.714285714286,,
co,deaths_7dav_incidence_num,20200413,,20201030,200,22.285714285714,,
ct,deaths_7dav_incidence_num,20200413,,20201030,200,56.571428571429,,
dc,deaths_7dav_incidence_num,20200413,,20201014,184,4,,
de,deaths_7dav_incidence_num,20200413,,20201030,200,3.7142857142857,,
fl,deaths_7dav_incidence_num,20200413,,20201030,200,37.571428571429,,
ga,deaths_7dav_incidence_num,20200413,,20201030,200,33.714285714286,,
hi,deaths_7dav_incidence_num,20200413,,20201030,200,0.57142857142857,,
ia,deaths_7dav_incidence_num,20200413,,20201030,200,2.2857142857143,,
id,deaths_7dav_incidence_num,20200413,,20201030,200,2.4285714285714,,
il,deaths_7dav_incidence_num,20200413,,20201030,200,70.142857142857,,
in,deaths_7dav_incidence_num,20200413,,20201030,200,29.571428571429,,
ks,deaths_7dav_incidence_num,20200413,,20201030,200,5.2857142857143,,
ky,deaths_7dav_incidence_num,20200413,,20201030,200,9.7142857142857,,
la,deaths_7dav_incidence_num,20200413,,20201030,200,53.142857142857,,
ma,deaths_7dav_incidence_num,20200413,,20201030,200,83.428571428571,,
md,deaths_7dav_incidence_num,20200413,,20201030,200,24.428571428571,,
me,deaths_7dav_incidence_num,20200413,,20201030,200,1.2857142857143,,
mi,deaths_7dav_incidence_num,20200413,,20201030,200,131.85714285714,,
mn,deaths_7dav_incidence_num,20200413,,20201030,200,5.7142857142857,,
mo,deaths_7dav_incidence_num,20200413,,20201030,200,13.571428571429,,
ms,deaths_7dav_incidence_num,20200413,,20201030,200,6.7142857142857,,
mt,deaths_7dav_incidence_num,20200413,,20201030,200,0.14285714285714,,
nc,deaths_7dav_incidence_num,20200413,,20201014,184,7,,
nd,deaths_7dav_incidence_num,20200413,,20201030,200,0.71428571428571,,
ne,deaths_7dav_incidence_num,20200413,,20201030,200,1.1428571428571,,
nh,deaths_7dav_incidence_num,20200413,,20201014,184,2,,
nj,deaths_7dav_incidence_num,20200413,,20201030,200,275.14285714286,,
nm,deaths_7dav_incidence_num,20200413,,20201014,184,2,,
nv,deaths_7dav_incidence_num,20200413,,20201030,200,9.7142857142857,,
ny,deaths_7dav_incidence_num,20200413,,20201030,200,1010.1428571429,,
oh,deaths_7dav_incidence_num,20200413,,20201030,200,18.857142857143,,
ok,deaths_7dav_incidence_num,20200413,,20201030,200,6.8571428571429,,
or,deaths_7dav_incidence_num,20200413,,20201030,200,3.7142857142857,,
pa,deaths_7dav_incidence_num,20200413,,20201030,200,58.571428571429,,
pr,deaths_7dav_incidence_num,20200413,,20201030,200,3.4285714285714,,
ri,deaths_7dav_incidence_num,20200413,,20201030,200,5.5714285714286,,
sc,deaths_7dav_incidence_num,20200413,,20201030,200,4.8571428571429,,
sd,deaths_7dav_incidence_num,20200413,,20201030,200,0.28571428571429,,
tn,deaths_7dav_incidence_num,20200413,,20201030,200,6.2857142857143,,
tx,deaths_7dav_incidence_num,20200413,,20201030,200,24.142857142857,,
ut,deaths_7dav_incidence_num,20200413,,20201014,184,0,,
va,deaths_7dav_incidence_num,20200413,,20201030,200,11.857142857143,,
vt,deaths_7dav_incidence_num,20200413,,20201030,200,0.71428571428571,,
wa,deaths_7dav_incidence_num,20200413,,20201030,200,18.857142857143,,
wi,deaths_7dav_incidence_num,20200413,,20201030,200,10.857142857143,,
wv,deaths_7dav_incidence_num,20200413,,20201030,200,0.57142857142857,,
wy,deaths_7dav_incidence_num,20200413,,20201030,200,0.14285714285714,,
