geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200527,,20201030,156,2.1428571428571,,
al,confirmed_7dav_incidence_num,20200527,,20201030,156,425.71428571429,,
ar,confirmed_7dav_incidence_num,20200527,,20201014,140,182,,
az,confirmed_7dav_incidence_num,20200527,,20201030,156,344.57142857143,,
ca,confirmed_7dav_incidence_num,20200527,,20201030,156,2150.4285714286,,
co,confirmed_7dav_incidence_num,20200527,,20201104,161,281.42857142857,,
ct,confirmed_7dav_incidence_num,20200527,,20201030,156,324.42857142857,,
dc,confirmed_7dav_incidence_num,20200527,,20201030,156,122.14285714286,,
de,confirmed_7dav_incidence_num,20200527,,20201030,156,128.85714285714,,
fl,confirmed_7dav_incidence_num,20200527,,20201030,156,737.57142857143,,
ga,confirmed_7dav_incidence_num,20200527,,20201014,140,691,,
hi,confirmed_7dav_incidence_num,20200527,,20201030,156,0.14285714285714,,
ia,confirmed_7dav_incidence_num,20200527,,20201030,156,392.71428571429,,
id,confirmed_7dav_incidence_num,20200527,,20201030,156,27.571428571429,,
il,confirmed_7dav_incidence_num,20200527,,20201014,140,1984,,
in,confirmed_7dav_incidence_num,20200527,,20201030,156,451.85714285714,,
ks,confirmed_7dav_incidence_num,20200527,,20201014,140,112,,
ky,confirmed_7dav_incidence_num,20200527,,20201014,140,130,,
la,confirmed_7dav_incidence_num,20200527,,20201030,156,454.42857142857,,
ma,confirmed_7dav_incidence_num,20200527,,20201030,156,626.57142857143,,
md,confirmed_7dav_incidence_num,20200527,,20201030,156,871.42857142857,,
me,confirmed_7dav_incidence_num,20200527,,20201030,156,45.428571428571,,
mi,confirmed_7dav_incidence_num,20200527,,20201030,156,414.28571428571,,
mn,confirmed_7dav_incidence_num,20200527,,20201030,156,684.85714285714,,
mo,confirmed_7dav_incidence_num,20200527,,20201030,156,177.71428571429,,
ms,confirmed_7dav_incidence_num,20200527,,20201030,156,296.71428571429,,
mt,confirmed_7dav_incidence_num,20200527,,20201030,156,0.42857142857143,,
nc,confirmed_7dav_incidence_num,20200527,,20201014,140,657,,
nd,confirmed_7dav_incidence_num,20200527,,20201030,156,49.142857142857,,
ne,confirmed_7dav_incidence_num,20200527,,20201014,140,266,,
nh,confirmed_7dav_incidence_num,20200527,,20201030,156,59.714285714286,,
nj,confirmed_7dav_incidence_num,20200527,,20201014,140,836,,
nm,confirmed_7dav_incidence_num,20200527,,20201030,156,133.57142857143,,
nv,confirmed_7dav_incidence_num,20200527,,20201030,156,108.85714285714,,
ny,confirmed_7dav_incidence_num,20200527,,20201030,156,1513.5714285714,,
oh,confirmed_7dav_incidence_num,20200527,,20201030,156,571.85714285714,,
ok,confirmed_7dav_incidence_num,20200527,,20201030,156,99.571428571429,,
or,confirmed_7dav_incidence_num,20200527,,20201030,156,33.857142857143,,
pa,confirmed_7dav_incidence_num,20200527,,20201030,156,775.85714285714,,
pr,confirmed_7dav_incidence_num,20200527,,20201110,167,7.4285714285714,,
ri,confirmed_7dav_incidence_num,20200527,,20201030,156,142.42857142857,,
sc,confirmed_7dav_incidence_num,20200527,,20201030,156,206.85714285714,,
sd,confirmed_7dav_incidence_num,20200527,,20201030,156,75.285714285714,,
tn,confirmed_7dav_incidence_num,20200527,,20201030,156,410.42857142857,,
tx,confirmed_7dav_incidence_num,20200527,,20201030,156,954.71428571429,,
ut,confirmed_7dav_incidence_num,20200527,,20201030,156,142.28571428571,,
va,confirmed_7dav_incidence_num,20200527,,20201030,156,1048.7142857143,,
vt,confirmed_7dav_incidence_num,20200527,,20201030,156,3.8571428571429,,
wa,confirmed_7dav_incidence_num,20200527,,20201014,140,205,,
wi,confirmed_7dav_incidence_num,20200527,,20201030,156,435.57142857143,,
wv,confirmed_7dav_incidence_num,20200527,,20201030,156,47.428571428571,,
wy,confirmed_7dav_incidence_num,20200527,,20201030,156,10.428571428571,,
