geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200808,,20201030,83,0.28571428571429,,
al,deaths_7dav_incidence_num,20200808,,20201030,83,21.714285714286,,
ar,deaths_7dav_incidence_num,20200808,,20201014,67,11,,
az,deaths_7dav_incidence_num,20200808,,20201030,83,55.714285714286,,
ca,deaths_7dav_incidence_num,20200808,,20201030,83,137.42857142857,,
co,deaths_7dav_incidence_num,20200808,,20201030,83,1.8571428571429,,
ct,deaths_7dav_incidence_num,20200808,,20201030,83,1.2857142857143,,
dc,deaths_7dav_incidence_num,20200808,,20201030,83,0.71428571428571,,
de,deaths_7dav_incidence_num,20200808,,20201030,83,0.71428571428571,,
fl,deaths_7dav_incidence_num,20200808,,20201030,83,155.28571428571,,
ga,deaths_7dav_incidence_num,20200808,,20201030,83,51.571428571429,,
hi,deaths_7dav_incidence_num,20200808,,20201030,83,0.71428571428571,,
ia,deaths_7dav_incidence_num,20200808,,20201030,83,7.5714285714286,,
id,deaths_7dav_incidence_num,20200808,,20201030,83,5.4285714285714,,
il,deaths_7dav_incidence_num,20200808,,20201014,67,20,,
in,deaths_7dav_incidence_num,20200808,,20201030,83,9.2857142857143,,
ks,deaths_7dav_incidence_num,20200808,,20201030,83,3.1428571428571,,
ky,deaths_7dav_incidence_num,20200808,,20201030,83,4.5714285714286,,
la,deaths_7dav_incidence_num,20200808,,20201030,83,36.857142857143,,
ma,deaths_7dav_incidence_num,20200808,,20201030,83,13.571428571429,,
md,deaths_7dav_incidence_num,20200808,,20201030,83,10.142857142857,,
me,deaths_7dav_incidence_num,20200808,,20201030,83,0.28571428571429,,
mi,deaths_7dav_incidence_num,20200808,,20201014,67,9,,
mn,deaths_7dav_incidence_num,20200808,,20201030,83,6.1428571428571,,
mo,deaths_7dav_incidence_num,20200808,,20201030,83,7.2857142857143,,
ms,deaths_7dav_incidence_num,20200808,,20201030,83,25.857142857143,,
mt,deaths_7dav_incidence_num,20200808,,20201014,67,2,,
nc,deaths_7dav_incidence_num,20200808,,20201030,83,29.285714285714,,
nd,deaths_7dav_incidence_num,20200808,,20201030,83,1.2857142857143,,
ne,deaths_7dav_incidence_num,20200808,,20201030,83,1.8571428571429,,
nh,deaths_7dav_incidence_num,20200808,,20201030,83,0.42857142857143,,
nj,deaths_7dav_incidence_num,20200808,,20201030,83,5.5714285714286,,
nm,deaths_7dav_incidence_num,20200808,,20201030,83,4.2857142857143,,
nv,deaths_7dav_incidence_num,20200808,,20201030,83,16.714285714286,,
ny,deaths_7dav_incidence_num,20200808,,20201030,83,9.8571428571429,,
oh,deaths_7dav_incidence_num,20200808,,20201030,83,21.857142857143,,
ok,deaths_7dav_incidence_num,20200808,,20201030,83,7.7142857142857,,
or,deaths_7dav_incidence_num,20200808,,20201030,83,4.2857142857143,,
pa,deaths_7dav_incidence_num,20200808,,20201014,67,13,,
pr,deaths_7dav_incidence_num,20200808,,20201014,67,7,,
ri,deaths_7dav_incidence_num,20200808,,20201030,83,0.71428571428571,,
sc,deaths_7dav_incidence_num,20200808,,20201030,83,36.571428571429,,
sd,deaths_7dav_incidence_num,20200808,,20201030,83,1.5714285714286,,
tn,deaths_7dav_incidence_num,20200808,,20201030,83,21.142857142857,,
tx,deaths_7dav_incidence_num,20200808,,20201030,83,211.71428571429,,
ut,deaths_7dav_incidence_num,20200808,,20201030,83,3.5714285714286,,
va,deaths_7dav_incidence_num,20200808,,20201030,83,15.285714285714,,
vt,deaths_7dav_incidence_num,20200808,,20201030,83,0.14285714285714,,
wa,deaths_7dav_incidence_num,20200808,,20201030,83,13.714285714286,,
wi,deaths_7dav_incidence_num,20200808,,20201014,67,7,,
wv,deaths_7dav_incidence_num,20200808,,20201030,83,2.1428571428571,,
wy,deaths_7dav_incidence_num,20200808,,20201030,83,0.28571428571429,,
