geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200426,,20201014,171,0,,
al,deaths_7dav_incidence_num,20200426,,20201030,187,8.8571428571429,,
ar,deaths_7dav_incidence_num,20200426,,20201030,187,1.7142857142857,,
az,deaths_7dav_incidence_num,20200426,,20201014,171,13,,
ca,deaths_7dav_incidence_num,20200426,,20201030,187,78.285714285714,,
co,deaths_7dav_incidence_num,20200426,,20201030,187,38.285714285714,,
ct,deaths_7dav_incidence_num,20200426,,20201030,187,113.85714285714,,
dc,deaths_7dav_incidence_num,20200426,,20201030,187,11.714285714286,,
de,deaths_7dav_incidence_num,20200426,,20201030,187,7.5714285714286,,
fl,deaths_7dav_incidence_num,20200426,,20201014,171,43,,
ga,deaths_7dav_incidence_num,20200426,,20201030,187,32.714285714286,,
hi,deaths_7dav_incidence_num,20200426,,20201030,187,0.57142857142857,,
ia,deaths_7dav_incidence_num,20200426,,20201030,187,6.1428571428571,,
id,deaths_7dav_incidence_num,20200426,,20201030,187,1.7142857142857,,
il,deaths_7dav_incidence_num,20200426,,20201030,187,91.857142857143,,
in,deaths_7dav_incidence_num,20200426,,20201030,187,35.857142857143,,
ks,deaths_7dav_incidence_num,20200426,,20201014,171,4,,
ky,deaths_7dav_incidence_num,20200426,,20201030,187,8.8571428571429,,
la,deaths_7dav_incidence_num,20200426,,20201030,187,61.857142857143,,
ma,deaths_7dav_incidence_num,20200426,,20201030,187,170.42857142857,,
md,deaths_7dav_incidence_num,20200426,,20201030,187,64.142857142857,,
me,deaths_7dav_incidence_num,20200426,,20201030,187,2.2857142857143,,
mi,deaths_7dav_incidence_num,20200426,,20201014,171,134,,
mn,deaths_7dav_incidence_num,20200426,,20201030,187,19.714285714286,,
mo,deaths_7dav_incidence_num,20200426,,20201030,187,18.857142857143,,
ms,deaths_7dav_incidence_num,20200426,,20201030,187,9.7142857142857,,
mt,deaths_7dav_incidence_num,20200426,,20201030,187,0.57142857142857,,
nc,deaths_7dav_incidence_num,20200426,,20201030,187,17.714285714286,,
nd,deaths_7dav_incidence_num,20200426,,20201030,187,1.1428571428571,,
ne,deaths_7dav_incidence_num,20200426,,20201014,171,4,,
nh,deaths_7dav_incidence_num,20200426,,20201030,187,3.1428571428571,,
nj,deaths_7dav_incidence_num,20200426,,20201030,187,260.71428571429,,
nm,deaths_7dav_incidence_num,20200426,,20201030,187,6.2857142857143,,
nv,deaths_7dav_incidence_num,20200426,,20201030,187,6.8571428571429,,
ny,deaths_7dav_incidence_num,20200426,,20201030,187,601.57142857143,,
oh,deaths_7dav_incidence_num,20200426,,20201030,187,36.714285714286,,
ok,deaths_7dav_incidence_num,20200426,,20201030,187,7.8571428571429,,
or,deaths_7dav_incidence_num,20200426,,20201030,187,2.5714285714286,,
pa,deaths_7dav_incidence_num,20200426,,20201030,187,77.142857142857,,
pr,deaths_7dav_incidence_num,20200426,,20201030,187,3.1428571428571,,
ri,deaths_7dav_incidence_num,20200426,,20201030,187,11.285714285714,,
sc,deaths_7dav_incidence_num,20200426,,20201030,187,7.7142857142857,,
sd,deaths_7dav_incidence_num,20200426,,20201030,187,0.57142857142857,,
tn,deaths_7dav_incidence_num,20200426,,20201030,187,4.7142857142857,,
tx,deaths_7dav_incidence_num,20200426,,20201030,187,27.428571428571,,
ut,deaths_7dav_incidence_num,20200426,,20201014,171,2,,
va,deaths_7dav_incidence_num,20200426,,20201030,187,24.571428571429,,
vt,deaths_7dav_incidence_num,20200426,,20201030,187,1.1428571428571,,
wa,deaths_7dav_incidence_num,20200426,,20201030,187,16.142857142857,,
wi,deaths_7dav_incidence_num,20200426,,20201030,187,7.4285714285714,,
wv,deaths_7dav_incidence_num,20200426,,20201030,187,2.2857142857143,,
wy,deaths_7dav_incidence_num,20200426,,20201030,187,0.71428571428571,,
