geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
al,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
ar,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
az,confirmed_7dav_incidence_num,20200308,,20201030,236,0.42857142857143,,
ca,confirmed_7dav_incidence_num,20200308,,20201030,236,11.857142857143,,
co,confirmed_7dav_incidence_num,20200308,,20201030,236,1.1428571428571,,
ct,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
dc,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
de,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
fl,confirmed_7dav_incidence_num,20200308,,20201030,236,1.4285714285714,,
ga,confirmed_7dav_incidence_num,20200308,,20201030,236,0.71428571428571,,
hi,confirmed_7dav_incidence_num,20200308,,20201030,236,0.14285714285714,,
ia,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
id,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
il,confirmed_7dav_incidence_num,20200308,,20201030,236,0.57142857142857,,
in,confirmed_7dav_incidence_num,20200308,,20201030,236,0.28571428571429,,
ks,confirmed_7dav_incidence_num,20200308,,20201030,236,0.14285714285714,,
ky,confirmed_7dav_incidence_num,20200308,,20201030,236,0.14285714285714,,
la,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
ma,confirmed_7dav_incidence_num,20200308,,20201030,236,12.571428571429,,
md,confirmed_7dav_incidence_num,20200308,,20201030,236,0.71428571428571,,
me,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
mi,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
mn,confirmed_7dav_incidence_num,20200308,,20201030,236,0.14285714285714,,
mo,confirmed_7dav_incidence_num,20200308,,20201030,236,0.14285714285714,,
ms,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
mt,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
nc,confirmed_7dav_incidence_num,20200308,,20201030,236,0.28571428571429,,
nd,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
ne,confirmed_7dav_incidence_num,20200308,,20201030,236,0.14285714285714,,
nh,confirmed_7dav_incidence_num,20200308,,20201030,236,0.57142857142857,,
nj,confirmed_7dav_incidence_num,20200308,,20201030,236,0.71428571428571,,
nm,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
nv,confirmed_7dav_incidence_num,20200308,,20201030,236,0.57142857142857,,
ny,confirmed_7dav_incidence_num,20200308,,20201014,220,15,,
oh,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
ok,confirmed_7dav_incidence_num,20200308,,20201030,236,0.14285714285714,,
or,confirmed_7dav_incidence_num,20200308,,20201030,236,1.8571428571429,,
pa,confirmed_7dav_incidence_num,20200308,,20201030,236,0.85714285714286,,
pr,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
ri,confirmed_7dav_incidence_num,20200308,,20201030,236,0.28571428571429,,
sc,confirmed_7dav_incidence_num,20200308,,20201030,236,0.28571428571429,,
sd,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
tn,confirmed_7dav_incidence_num,20200308,,20201030,236,0.42857142857143,,
tx,confirmed_7dav_incidence_num,20200308,,20201030,236,1.5714285714286,,
ut,confirmed_7dav_incidence_num,20200308,,20201030,236,0.14285714285714,,
va,confirmed_7dav_incidence_num,20200308,,20201030,236,0.28571428571429,,
vt,confirmed_7dav_incidence_num,20200308,,20201030,236,0.14285714285714,,
wa,confirmed_7dav_incidence_num,20200308,,20201030,236,15.857142857143,,
wi,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
wv,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
wy,confirmed_7dav_incidence_num,20200308,,20201014,220,0,,
