geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200605,,20201030,147,17.428571428571,,
al,confirmed_7dav_incidence_num,20200605,,20201030,147,336.57142857143,,
ar,confirmed_7dav_incidence_num,20200605,,20201030,147,267.71428571429,,
az,confirmed_7dav_incidence_num,20200605,,20201030,147,852.42857142857,,
ca,confirmed_7dav_incidence_num,20200605,,20201014,131,2735,,
co,confirmed_7dav_incidence_num,20200605,,20201030,147,286.14285714286,,
ct,confirmed_7dav_incidence_num,20200605,,20201030,147,242.57142857143,,
dc,confirmed_7dav_incidence_num,20200605,,20201030,147,94.428571428571,,
de,confirmed_7dav_incidence_num,20200605,,20201030,147,76.714285714286,,
fl,confirmed_7dav_incidence_num,20200605,,20201030,147,998.71428571429,,
ga,confirmed_7dav_incidence_num,20200605,,20201030,147,677.14285714286,,
hi,confirmed_7dav_incidence_num,20200605,,20201030,147,2.1428571428571,,
ia,confirmed_7dav_incidence_num,20200605,,20201030,147,313.85714285714,,
id,confirmed_7dav_incidence_num,20200605,,20201030,147,48.714285714286,,
il,confirmed_7dav_incidence_num,20200605,,20201030,147,1208.5714285714,,
in,confirmed_7dav_incidence_num,20200605,,20201030,147,431.42857142857,,
ks,confirmed_7dav_incidence_num,20200605,,20201014,131,92,,
ky,confirmed_7dav_incidence_num,20200605,,20201030,147,216.14285714286,,
la,confirmed_7dav_incidence_num,20200605,,20201030,147,455.28571428571,,
ma,confirmed_7dav_incidence_num,20200605,,20201030,147,373.42857142857,,
md,confirmed_7dav_incidence_num,20200605,,20201014,131,826,,
me,confirmed_7dav_incidence_num,20200605,,20201030,147,36.571428571429,,
mi,confirmed_7dav_incidence_num,20200605,,20201014,131,387,,
mn,confirmed_7dav_incidence_num,20200605,,20201030,147,492.71428571429,,
mo,confirmed_7dav_incidence_num,20200605,,20201030,147,217.14285714286,,
ms,confirmed_7dav_incidence_num,20200605,,20201030,147,282.28571428571,,
mt,confirmed_7dav_incidence_num,20200605,,20201030,147,6.8571428571429,,
nc,confirmed_7dav_incidence_num,20200605,,20201030,147,992.14285714286,,
nd,confirmed_7dav_incidence_num,20200605,,20201030,147,32.142857142857,,
ne,confirmed_7dav_incidence_num,20200605,,20201030,147,251.14285714286,,
nh,confirmed_7dav_incidence_num,20200605,,20201030,147,65.857142857143,,
nj,confirmed_7dav_incidence_num,20200605,,20201030,147,641.71428571429,,
nm,confirmed_7dav_incidence_num,20200605,,20201030,147,168.42857142857,,
nv,confirmed_7dav_incidence_num,20200605,,20201030,147,133.28571428571,,
ny,confirmed_7dav_incidence_num,20200605,,20201014,131,1132,,
oh,confirmed_7dav_incidence_num,20200605,,20201014,131,456,,
ok,confirmed_7dav_incidence_num,20200605,,20201030,147,95.571428571429,,
or,confirmed_7dav_incidence_num,20200605,,20201030,147,62.714285714286,,
pa,confirmed_7dav_incidence_num,20200605,,20201030,147,547.28571428571,,
pr,confirmed_7dav_incidence_num,20200605,,20201110,158,5.2857142857143,,
ri,confirmed_7dav_incidence_num,20200605,,20201030,147,115.14285714286,,
sc,confirmed_7dav_incidence_num,20200605,,20201030,147,332.42857142857,,
sd,confirmed_7dav_incidence_num,20200605,,20201030,147,56.714285714286,,
tn,confirmed_7dav_incidence_num,20200605,,20201030,147,514.42857142857,,
tx,confirmed_7dav_incidence_num,20200605,,20201030,147,1663.8571428571,,
ut,confirmed_7dav_incidence_num,20200605,,20201014,131,284,,
va,confirmed_7dav_incidence_num,20200605,,20201014,131,857,,
vt,confirmed_7dav_incidence_num,20200605,,20201030,147,7.4285714285714,,
wa,confirmed_7dav_incidence_num,20200605,,20201030,147,274.57142857143,,
wi,confirmed_7dav_incidence_num,20200605,,20201030,147,363.14285714286,,
wv,confirmed_7dav_incidence_num,20200605,,20201014,131,24,,
wy,confirmed_7dav_incidence_num,20200605,,20201014,131,6,,
