geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200502,,20201030,181,3.7142857142857,,
al,confirmed_7dav_incidence_num,20200502,,20201030,181,226.42857142857,,
ar,confirmed_7dav_incidence_num,20200502,,20201030,181,65.857142857143,,
az,confirmed_7dav_incidence_num,20200502,,20201030,181,296.85714285714,,
ca,confirmed_7dav_incidence_num,20200502,,20201030,181,1568.4285714286,,
co,confirmed_7dav_incidence_num,20200502,,20201030,181,465.28571428571,,
ct,confirmed_7dav_incidence_num,20200502,,20201014,165,672,,
dc,confirmed_7dav_incidence_num,20200502,,20201030,181,156.85714285714,,
de,confirmed_7dav_incidence_num,20200502,,20201030,181,208.85714285714,,
fl,confirmed_7dav_incidence_num,20200502,,20201030,181,660.57142857143,,
ga,confirmed_7dav_incidence_num,20200502,,20201030,181,729.85714285714,,
hi,confirmed_7dav_incidence_num,20200502,,20201030,181,2.1428571428571,,
ia,confirmed_7dav_incidence_num,20200502,,20201030,181,507.28571428571,,
id,confirmed_7dav_incidence_num,20200502,,20201030,181,24.857142857143,,
il,confirmed_7dav_incidence_num,20200502,,20201030,181,2389.7142857143,,
in,confirmed_7dav_incidence_num,20200502,,20201030,181,699.42857142857,,
ks,confirmed_7dav_incidence_num,20200502,,20201014,165,250,,
ky,confirmed_7dav_incidence_num,20200502,,20201030,181,137.71428571429,,
la,confirmed_7dav_incidence_num,20200502,,20201030,181,375.42857142857,,
ma,confirmed_7dav_incidence_num,20200502,,20201030,181,1778.1428571429,,
md,confirmed_7dav_incidence_num,20200502,,20201030,181,958.14285714286,,
me,confirmed_7dav_incidence_num,20200502,,20201030,181,26.857142857143,,
mi,confirmed_7dav_incidence_num,20200502,,20201014,165,831,,
mn,confirmed_7dav_incidence_num,20200502,,20201014,165,398,,
mo,confirmed_7dav_incidence_num,20200502,,20201030,181,191.57142857143,,
ms,confirmed_7dav_incidence_num,20200502,,20201030,181,246.14285714286,,
mt,confirmed_7dav_incidence_num,20200502,,20201030,181,1.4285714285714,,
nc,confirmed_7dav_incidence_num,20200502,,20201030,181,428.57142857143,,
nd,confirmed_7dav_incidence_num,20200502,,20201014,165,50,,
ne,confirmed_7dav_incidence_num,20200502,,20201030,181,371.14285714286,,
nh,confirmed_7dav_incidence_num,20200502,,20201030,181,90.285714285714,,
nj,confirmed_7dav_incidence_num,20200502,,20201030,181,2602.7142857143,,
nm,confirmed_7dav_incidence_num,20200502,,20201030,181,153.14285714286,,
nv,confirmed_7dav_incidence_num,20200502,,20201030,181,121.42857142857,,
ny,confirmed_7dav_incidence_num,20200502,,20201030,181,4404.8571428571,,
oh,confirmed_7dav_incidence_num,20200502,,20201030,181,535.42857142857,,
ok,confirmed_7dav_incidence_num,20200502,,20201030,181,93.857142857143,,
or,confirmed_7dav_incidence_num,20200502,,20201030,181,54.571428571429,,
pa,confirmed_7dav_incidence_num,20200502,,20201030,181,1334.4285714286,,
pr,confirmed_7dav_incidence_num,20200502,,20201110,192,13.428571428571,,
ri,confirmed_7dav_incidence_num,20200502,,20201030,181,308.57142857143,,
sc,confirmed_7dav_incidence_num,20200502,,20201030,181,176.57142857143,,
sd,confirmed_7dav_incidence_num,20200502,,20201014,165,63,,
tn,confirmed_7dav_incidence_num,20200502,,20201014,165,496,,
tx,confirmed_7dav_incidence_num,20200502,,20201030,181,966.28571428571,,
ut,confirmed_7dav_incidence_num,20200502,,20201030,181,148.14285714286,,
va,confirmed_7dav_incidence_num,20200502,,20201030,181,767.42857142857,,
vt,confirmed_7dav_incidence_num,20200502,,20201030,181,6.1428571428571,,
wa,confirmed_7dav_incidence_num,20200502,,20201030,181,240.57142857143,,
wi,confirmed_7dav_incidence_num,20200502,,20201030,181,281.85714285714,,
wv,confirmed_7dav_incidence_num,20200502,,20201014,165,25,,
wy,confirmed_7dav_incidence_num,20200502,,20201030,181,12.571428571429,,
