geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200412,,20201030,201,0.28571428571429,,
al,deaths_7dav_incidence_num,20200412,,20201030,201,6.8571428571429,,
ar,deaths_7dav_incidence_num,20200412,,20201030,201,1.5714285714286,,
az,deaths_7dav_incidence_num,20200412,,20201030,201,8.7142857142857,,
ca,deaths_7dav_incidence_num,20200412,,20201030,201,41.714285714286,,
co,deaths_7dav_incidence_num,20200412,,20201030,201,21.285714285714,,
ct,deaths_7dav_incidence_num,20200412,,20201030,201,52.142857142857,,
dc,deaths_7dav_incidence_num,20200412,,20201014,185,4,,
de,deaths_7dav_incidence_num,20200412,,20201014,185,3,,
fl,deaths_7dav_incidence_num,20200412,,20201030,201,34.285714285714,,
ga,deaths_7dav_incidence_num,20200412,,20201030,201,31.714285714286,,
hi,deaths_7dav_incidence_num,20200412,,20201030,201,0.71428571428571,,
ia,deaths_7dav_incidence_num,20200412,,20201030,201,3.2857142857143,,
id,deaths_7dav_incidence_num,20200412,,20201030,201,2.4285714285714,,
il,deaths_7dav_incidence_num,20200412,,20201030,201,63.714285714286,,
in,deaths_7dav_incidence_num,20200412,,20201030,201,30.857142857143,,
ks,deaths_7dav_incidence_num,20200412,,20201030,201,4.8571428571429,,
ky,deaths_7dav_incidence_num,20200412,,20201030,201,7.4285714285714,,
la,deaths_7dav_incidence_num,20200412,,20201030,201,51.857142857143,,
ma,deaths_7dav_incidence_num,20200412,,20201014,185,75,,
md,deaths_7dav_incidence_num,20200412,,20201030,201,24.142857142857,,
me,deaths_7dav_incidence_num,20200412,,20201030,201,1.2857142857143,,
mi,deaths_7dav_incidence_num,20200412,,20201014,185,131,,
mn,deaths_7dav_incidence_num,20200412,,20201030,201,5.8571428571429,,
mo,deaths_7dav_incidence_num,20200412,,20201030,201,13.285714285714,,
ms,deaths_7dav_incidence_num,20200412,,20201030,201,7.5714285714286,,
mt,deaths_7dav_incidence_num,20200412,,20201014,185,0,,
nc,deaths_7dav_incidence_num,20200412,,20201030,201,7.2857142857143,,
nd,deaths_7dav_incidence_num,20200412,,20201030,201,0.57142857142857,,
ne,deaths_7dav_incidence_num,20200412,,20201030,201,1.2857142857143,,
nh,deaths_7dav_incidence_num,20200412,,20201014,185,2,,
nj,deaths_7dav_incidence_num,20200412,,20201014,185,273,,
nm,deaths_7dav_incidence_num,20200412,,20201014,185,2,,
nv,deaths_7dav_incidence_num,20200412,,20201030,201,9.4285714285714,,
ny,deaths_7dav_incidence_num,20200412,,20201030,201,1016.2857142857,,
oh,deaths_7dav_incidence_num,20200412,,20201030,201,19.142857142857,,
ok,deaths_7dav_incidence_num,20200412,,20201030,201,7.1428571428571,,
or,deaths_7dav_incidence_num,20200412,,20201030,201,3.5714285714286,,
pa,deaths_7dav_incidence_num,20200412,,20201014,185,58,,
pr,deaths_7dav_incidence_num,20200412,,20201030,201,3.4285714285714,,
ri,deaths_7dav_incidence_num,20200412,,20201030,201,5.8571428571429,,
sc,deaths_7dav_incidence_num,20200412,,20201030,201,5.4285714285714,,
sd,deaths_7dav_incidence_num,20200412,,20201030,201,0.57142857142857,,
tn,deaths_7dav_incidence_num,20200412,,20201030,201,7.5714285714286,,
tx,deaths_7dav_incidence_num,20200412,,20201030,201,23.142857142857,,
ut,deaths_7dav_incidence_num,20200412,,20201030,201,1.4285714285714,,
va,deaths_7dav_incidence_num,20200412,,20201030,201,12.714285714286,,
vt,deaths_7dav_incidence_num,20200412,,20201030,201,0.71428571428571,,
wa,deaths_7dav_incidence_num,20200412,,20201030,201,24.285714285714,,
wi,deaths_7dav_incidence_num,20200412,,20201014,185,10,,
wv,deaths_7dav_incidence_num,20200412,,20201030,201,0.42857142857143,,
wy,deaths_7dav_incidence_num,20200412,,20201014,185,0,,
