geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200508,,20201030,175,0.14285714285714,,
al,deaths_7dav_incidence_num,20200508,,20201030,175,13.428571428571,,
ar,deaths_7dav_incidence_num,20200508,,20201030,175,3.4285714285714,,
az,deaths_7dav_incidence_num,20200508,,20201030,175,26.714285714286,,
ca,deaths_7dav_incidence_num,20200508,,20201030,175,69.571428571429,,
co,deaths_7dav_incidence_num,20200508,,20201030,175,19.857142857143,,
ct,deaths_7dav_incidence_num,20200508,,20201030,175,76.428571428571,,
dc,deaths_7dav_incidence_num,20200508,,20201030,175,10.428571428571,,
de,deaths_7dav_incidence_num,20200508,,20201030,175,7.7142857142857,,
fl,deaths_7dav_incidence_num,20200508,,20201030,175,50.714285714286,,
ga,deaths_7dav_incidence_num,20200508,,20201014,159,33,,
hi,deaths_7dav_incidence_num,20200508,,20201030,175,0.14285714285714,,
ia,deaths_7dav_incidence_num,20200508,,20201030,175,10.428571428571,,
id,deaths_7dav_incidence_num,20200508,,20201030,175,0.57142857142857,,
il,deaths_7dav_incidence_num,20200508,,20201014,159,112,,
in,deaths_7dav_incidence_num,20200508,,20201030,175,38.857142857143,,
ks,deaths_7dav_incidence_num,20200508,,20201014,159,4,,
ky,deaths_7dav_incidence_num,20200508,,20201030,175,7.4285714285714,,
la,deaths_7dav_incidence_num,20200508,,20201030,175,36.714285714286,,
ma,deaths_7dav_incidence_num,20200508,,20201030,175,140.85714285714,,
md,deaths_7dav_incidence_num,20200508,,20201030,175,68.571428571429,,
me,deaths_7dav_incidence_num,20200508,,20201030,175,1.1428571428571,,
mi,deaths_7dav_incidence_num,20200508,,20201030,175,76.571428571429,,
mn,deaths_7dav_incidence_num,20200508,,20201030,175,23.428571428571,,
mo,deaths_7dav_incidence_num,20200508,,20201014,159,18,,
ms,deaths_7dav_incidence_num,20200508,,20201030,175,18.285714285714,,
mt,deaths_7dav_incidence_num,20200508,,20201014,159,0,,
nc,deaths_7dav_incidence_num,20200508,,20201030,175,15.857142857143,,
nd,deaths_7dav_incidence_num,20200508,,20201030,175,1.4285714285714,,
ne,deaths_7dav_incidence_num,20200508,,20201030,175,2.4285714285714,,
nh,deaths_7dav_incidence_num,20200508,,20201030,175,5.7142857142857,,
nj,deaths_7dav_incidence_num,20200508,,20201030,175,223.28571428571,,
nm,deaths_7dav_incidence_num,20200508,,20201030,175,7.1428571428571,,
nv,deaths_7dav_incidence_num,20200508,,20201030,175,6.8571428571429,,
ny,deaths_7dav_incidence_num,20200508,,20201030,175,331.71428571429,,
oh,deaths_7dav_incidence_num,20200508,,20201030,175,43.285714285714,,
ok,deaths_7dav_incidence_num,20200508,,20201030,175,5.1428571428571,,
or,deaths_7dav_incidence_num,20200508,,20201030,175,2.8571428571429,,
pa,deaths_7dav_incidence_num,20200508,,20201030,175,154.28571428571,,
pr,deaths_7dav_incidence_num,20200508,,20201030,175,1.8571428571429,,
ri,deaths_7dav_incidence_num,20200508,,20201014,159,5,,
sc,deaths_7dav_incidence_num,20200508,,20201030,175,9.1428571428571,,
sd,deaths_7dav_incidence_num,20200508,,20201030,175,1.4285714285714,,
tn,deaths_7dav_incidence_num,20200508,,20201030,175,5.4285714285714,,
tx,deaths_7dav_incidence_num,20200508,,20201014,159,26,,
ut,deaths_7dav_incidence_num,20200508,,20201030,175,2.1428571428571,,
va,deaths_7dav_incidence_num,20200508,,20201014,159,33,,
vt,deaths_7dav_incidence_num,20200508,,20201030,175,0.42857142857143,,
wa,deaths_7dav_incidence_num,20200508,,20201030,175,11.571428571429,,
wi,deaths_7dav_incidence_num,20200508,,20201030,175,8.1428571428571,,
wv,deaths_7dav_incidence_num,20200508,,20201030,175,0.85714285714286,,
wy,deaths_7dav_incidence_num,20200508,,20201014,159,0,,
