geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200419,,20201030,194,6.8571428571429,,
al,confirmed_7dav_incidence_num,20200419,,20201030,194,189.28571428571,,
ar,confirmed_7dav_incidence_num,20200419,,20201030,194,71.571428571429,,
az,confirmed_7dav_incidence_num,20200419,,20201030,194,198.71428571429,,
ca,confirmed_7dav_incidence_num,20200419,,20201014,178,1233,,
co,confirmed_7dav_incidence_num,20200419,,20201030,194,346.14285714286,,
ct,confirmed_7dav_incidence_num,20200419,,20201030,194,846.71428571429,,
dc,confirmed_7dav_incidence_num,20200419,,20201030,194,131.14285714286,,
de,confirmed_7dav_incidence_num,20200419,,20201030,194,130.42857142857,,
fl,confirmed_7dav_incidence_num,20200419,,20201014,178,917,,
ga,confirmed_7dav_incidence_num,20200419,,20201030,194,835.57142857143,,
hi,confirmed_7dav_incidence_num,20200419,,20201030,194,11.571428571429,,
ia,confirmed_7dav_incidence_num,20200419,,20201030,194,187.85714285714,,
id,confirmed_7dav_incidence_num,20200419,,20201030,194,37.285714285714,,
il,confirmed_7dav_incidence_num,20200419,,20201030,194,1357.8571428571,,
in,confirmed_7dav_incidence_num,20200419,,20201014,178,469,,
ks,confirmed_7dav_incidence_num,20200419,,20201030,194,80.142857142857,,
ky,confirmed_7dav_incidence_num,20200419,,20201030,194,142.42857142857,,
la,confirmed_7dav_incidence_num,20200419,,20201030,194,476.14285714286,,
ma,confirmed_7dav_incidence_num,20200419,,20201030,194,2211.2857142857,,
md,confirmed_7dav_incidence_num,20200419,,20201030,194,660.28571428571,,
me,confirmed_7dav_incidence_num,20200419,,20201030,194,33.428571428571,,
mi,confirmed_7dav_incidence_num,20200419,,20201030,194,985.42857142857,,
mn,confirmed_7dav_incidence_num,20200419,,20201014,178,105,,
mo,confirmed_7dav_incidence_num,20200419,,20201030,194,192.42857142857,,
ms,confirmed_7dav_incidence_num,20200419,,20201030,194,213.28571428571,,
mt,confirmed_7dav_incidence_num,20200419,,20201030,194,6.5714285714286,,
nc,confirmed_7dav_incidence_num,20200419,,20201030,194,282.71428571429,,
nd,confirmed_7dav_incidence_num,20200419,,20201030,194,39.571428571429,,
ne,confirmed_7dav_incidence_num,20200419,,20201030,194,97.571428571429,,
nh,confirmed_7dav_incidence_num,20200419,,20201030,194,65.857142857143,,
nj,confirmed_7dav_incidence_num,20200419,,20201030,194,3350.1428571429,,
nm,confirmed_7dav_incidence_num,20200419,,20201030,194,85.714285714286,,
nv,confirmed_7dav_incidence_num,20200419,,20201030,194,127.42857142857,,
ny,confirmed_7dav_incidence_num,20200419,,20201030,194,7788.2857142857,,
oh,confirmed_7dav_incidence_num,20200419,,20201014,178,714,,
ok,confirmed_7dav_incidence_num,20200419,,20201030,194,85.285714285714,,
or,confirmed_7dav_incidence_num,20200419,,20201030,194,54.714285714286,,
pa,confirmed_7dav_incidence_num,20200419,,20201030,194,1423.4285714286,,
pr,confirmed_7dav_incidence_num,20200419,,20201030,194,45.142857142857,,
ri,confirmed_7dav_incidence_num,20200419,,20201030,194,291.57142857143,,
sc,confirmed_7dav_incidence_num,20200419,,20201014,178,151,,
sd,confirmed_7dav_incidence_num,20200419,,20201030,194,129.28571428571,,
tn,confirmed_7dav_incidence_num,20200419,,20201030,194,223.14285714286,,
tx,confirmed_7dav_incidence_num,20200419,,20201030,194,797.57142857143,,
ut,confirmed_7dav_incidence_num,20200419,,20201030,194,109.42857142857,,
va,confirmed_7dav_incidence_num,20200419,,20201030,194,466.85714285714,,
vt,confirmed_7dav_incidence_num,20200419,,20201030,194,12.285714285714,,
wa,confirmed_7dav_incidence_num,20200419,,20201030,194,195.57142857143,,
wi,confirmed_7dav_incidence_num,20200419,,20201030,194,143.57142857143,,
wv,confirmed_7dav_incidence_num,20200419,,20201030,194,42.428571428571,,
wy,confirmed_7dav_incidence_num,20200419,,20201030,194,6.1428571428571,,
