geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200712,,20201030,110,0.14285714285714,,
al,deaths_7dav_incidence_num,20200712,,20201030,110,16.285714285714,,
ar,deaths_7dav_incidence_num,20200712,,20201030,110,4.8571428571429,,
az,deaths_7dav_incidence_num,20200712,,20201030,110,58.857142857143,,
ca,deaths_7dav_incidence_num,20200712,,20201030,110,96.857142857143,,
co,deaths_7dav_incidence_num,20200712,,20201030,110,3.4285714285714,,
ct,deaths_7dav_incidence_num,20200712,,20201030,110,1.8571428571429,,
dc,deaths_7dav_incidence_num,20200712,,20201030,110,1.2857142857143,,
de,deaths_7dav_incidence_num,20200712,,20201030,110,0.71428571428571,,
fl,deaths_7dav_incidence_num,20200712,,20201014,94,73,,
ga,deaths_7dav_incidence_num,20200712,,20201030,110,20.428571428571,,
hi,deaths_7dav_incidence_num,20200712,,20201014,94,0,,
ia,deaths_7dav_incidence_num,20200712,,20201030,110,4.4285714285714,,
id,deaths_7dav_incidence_num,20200712,,20201030,110,1.2857142857143,,
il,deaths_7dav_incidence_num,20200712,,20201030,110,52.571428571429,,
in,deaths_7dav_incidence_num,20200712,,20201030,110,9.5714285714286,,
ks,deaths_7dav_incidence_num,20200712,,20201030,110,1.8571428571429,,
ky,deaths_7dav_incidence_num,20200712,,20201030,110,5.7142857142857,,
la,deaths_7dav_incidence_num,20200712,,20201030,110,18.285714285714,,
ma,deaths_7dav_incidence_num,20200712,,20201030,110,20.285714285714,,
md,deaths_7dav_incidence_num,20200712,,20201030,110,10.857142857143,,
me,deaths_7dav_incidence_num,20200712,,20201030,110,0.71428571428571,,
mi,deaths_7dav_incidence_num,20200712,,20201030,110,13.714285714286,,
mn,deaths_7dav_incidence_num,20200712,,20201030,110,4.5714285714286,,
mo,deaths_7dav_incidence_num,20200712,,20201030,110,5.8571428571429,,
ms,deaths_7dav_incidence_num,20200712,,20201030,110,19.714285714286,,
mt,deaths_7dav_incidence_num,20200712,,20201030,110,0.85714285714286,,
nc,deaths_7dav_incidence_num,20200712,,20201030,110,14.142857142857,,
nd,deaths_7dav_incidence_num,20200712,,20201014,94,1,,
ne,deaths_7dav_incidence_num,20200712,,20201030,110,0.14285714285714,,
nh,deaths_7dav_incidence_num,20200712,,20201030,110,1.4285714285714,,
nj,deaths_7dav_incidence_num,20200712,,20201030,110,44.857142857143,,
nm,deaths_7dav_incidence_num,20200712,,20201030,110,4.5714285714286,,
nv,deaths_7dav_incidence_num,20200712,,20201030,110,8.4285714285714,,
ny,deaths_7dav_incidence_num,20200712,,20201030,110,21.571428571429,,
oh,deaths_7dav_incidence_num,20200712,,20201014,94,21,,
ok,deaths_7dav_incidence_num,20200712,,20201030,110,3.4285714285714,,
or,deaths_7dav_incidence_num,20200712,,20201030,110,2.7142857142857,,
pa,deaths_7dav_incidence_num,20200712,,20201030,110,21.571428571429,,
pr,deaths_7dav_incidence_num,20200712,,20201030,110,1.7142857142857,,
ri,deaths_7dav_incidence_num,20200712,,20201014,94,1,,
sc,deaths_7dav_incidence_num,20200712,,20201030,110,20.142857142857,,
sd,deaths_7dav_incidence_num,20200712,,20201030,110,1.7142857142857,,
tn,deaths_7dav_incidence_num,20200712,,20201030,110,13.714285714286,,
tx,deaths_7dav_incidence_num,20200712,,20201030,110,105.57142857143,,
ut,deaths_7dav_incidence_num,20200712,,20201030,110,4.4285714285714,,
va,deaths_7dav_incidence_num,20200712,,20201030,110,16.142857142857,,
vt,deaths_7dav_incidence_num,20200712,,20201014,94,0,,
wa,deaths_7dav_incidence_num,20200712,,20201030,110,11.285714285714,,
wi,deaths_7dav_incidence_num,20200712,,20201030,110,3.4285714285714,,
wv,deaths_7dav_incidence_num,20200712,,20201030,110,0.28571428571429,,
wy,deaths_7dav_incidence_num,20200712,,20201030,110,0.14285714285714,,
