geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200310,,20201014,218,0,,
al,confirmed_7dav_incidence_num,20200310,,20201014,218,0,,
ar,confirmed_7dav_incidence_num,20200310,,20201014,218,0,,
az,confirmed_7dav_incidence_num,20200310,,20201030,234,0.71428571428571,,
ca,confirmed_7dav_incidence_num,20200310,,20201014,218,17,,
co,confirmed_7dav_incidence_num,20200310,,20201030,234,2.4285714285714,,
ct,confirmed_7dav_incidence_num,20200310,,20201030,234,0.14285714285714,,
dc,confirmed_7dav_incidence_num,20200310,,20201014,218,0,,
de,confirmed_7dav_incidence_num,20200310,,20201014,218,0,,
fl,confirmed_7dav_incidence_num,20200310,,20201030,234,1.8571428571429,,
ga,confirmed_7dav_incidence_num,20200310,,20201030,234,2.1428571428571,,
hi,confirmed_7dav_incidence_num,20200310,,20201030,234,0.42857142857143,,
ia,confirmed_7dav_incidence_num,20200310,,20201030,234,1.1428571428571,,
id,confirmed_7dav_incidence_num,20200310,,20201014,218,0,,
il,confirmed_7dav_incidence_num,20200310,,20201030,234,1.1428571428571,,
in,confirmed_7dav_incidence_num,20200310,,20201030,234,0.85714285714286,,
ks,confirmed_7dav_incidence_num,20200310,,20201030,234,0.14285714285714,,
ky,confirmed_7dav_incidence_num,20200310,,20201030,234,0.71428571428571,,
la,confirmed_7dav_incidence_num,20200310,,20201014,218,0,,
ma,confirmed_7dav_incidence_num,20200310,,20201030,234,15.142857142857,,
md,confirmed_7dav_incidence_num,20200310,,20201030,234,1.1428571428571,,
me,confirmed_7dav_incidence_num,20200310,,20201014,218,0,,
mi,confirmed_7dav_incidence_num,20200310,,20201014,218,0,,
mn,confirmed_7dav_incidence_num,20200310,,20201030,234,0.28571428571429,,
mo,confirmed_7dav_incidence_num,20200310,,20201030,234,0.14285714285714,,
ms,confirmed_7dav_incidence_num,20200310,,20201014,218,0,,
mt,confirmed_7dav_incidence_num,20200310,,20201014,218,0,,
nc,confirmed_7dav_incidence_num,20200310,,20201030,234,0.85714285714286,,
nd,confirmed_7dav_incidence_num,20200310,,20201014,218,0,,
ne,confirmed_7dav_incidence_num,20200310,,20201030,234,0.42857142857143,,
nh,confirmed_7dav_incidence_num,20200310,,20201030,234,0.28571428571429,,
nj,confirmed_7dav_incidence_num,20200310,,20201030,234,2.1428571428571,,
nm,confirmed_7dav_incidence_num,20200310,,20201014,218,0,,
nv,confirmed_7dav_incidence_num,20200310,,20201030,234,0.57142857142857,,
ny,confirmed_7dav_incidence_num,20200310,,20201030,234,21.571428571429,,
oh,confirmed_7dav_incidence_num,20200310,,20201030,234,0.42857142857143,,
ok,confirmed_7dav_incidence_num,20200310,,20201030,234,0.28571428571429,,
or,confirmed_7dav_incidence_num,20200310,,20201030,234,1.5714285714286,,
pa,confirmed_7dav_incidence_num,20200310,,20201030,234,1.7142857142857,,
pr,confirmed_7dav_incidence_num,20200310,,20201014,218,0,,
ri,confirmed_7dav_incidence_num,20200310,,20201030,234,0.14285714285714,,
sc,confirmed_7dav_incidence_num,20200310,,20201014,218,1,,
sd,confirmed_7dav_incidence_num,20200310,,20201014,218,0,,
tn,confirmed_7dav_incidence_num,20200310,,20201030,234,0.42857142857143,,
tx,confirmed_7dav_incidence_num,20200310,,20201030,234,2.2857142857143,,
ut,confirmed_7dav_incidence_num,20200310,,20201030,234,0.28571428571429,,
va,confirmed_7dav_incidence_num,20200310,,20201030,234,1.1428571428571,,
vt,confirmed_7dav_incidence_num,20200310,,20201030,234,0.14285714285714,,
wa,confirmed_7dav_incidence_num,20200310,,20201014,218,20,,
wi,confirmed_7dav_incidence_num,20200310,,20201030,234,0.42857142857143,,
wv,confirmed_7dav_incidence_num,20200310,,20201014,218,0,,
wy,confirmed_7dav_incidence_num,20200310,,20201014,218,0,,
