geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200521,,20201030,162,2.8571428571429,,
al,confirmed_7dav_incidence_num,20200521,,20201030,162,312.42857142857,,
ar,confirmed_7dav_incidence_num,20200521,,20201014,146,156,,
az,confirmed_7dav_incidence_num,20200521,,20201014,146,382,,
ca,confirmed_7dav_incidence_num,20200521,,20201030,162,1883.5714285714,,
co,confirmed_7dav_incidence_num,20200521,,20201030,162,336.14285714286,,
ct,confirmed_7dav_incidence_num,20200521,,20201030,162,534.85714285714,,
dc,confirmed_7dav_incidence_num,20200521,,20201030,162,150.28571428571,,
de,confirmed_7dav_incidence_num,20200521,,20201030,162,166.14285714286,,
fl,confirmed_7dav_incidence_num,20200521,,20201030,162,780.71428571429,,
ga,confirmed_7dav_incidence_num,20200521,,20201030,162,669.42857142857,,
hi,confirmed_7dav_incidence_num,20200521,,20201030,162,1.4285714285714,,
ia,confirmed_7dav_incidence_num,20200521,,20201030,162,356.42857142857,,
id,confirmed_7dav_incidence_num,20200521,,20201030,162,22.142857142857,,
il,confirmed_7dav_incidence_num,20200521,,20201030,162,2107.2857142857,,
in,confirmed_7dav_incidence_num,20200521,,20201030,162,554.71428571429,,
ks,confirmed_7dav_incidence_num,20200521,,20201030,162,131.42857142857,,
ky,confirmed_7dav_incidence_num,20200521,,20201030,162,151.57142857143,,
la,confirmed_7dav_incidence_num,20200521,,20201030,162,430.71428571429,,
ma,confirmed_7dav_incidence_num,20200521,,20201030,162,933.57142857143,,
md,confirmed_7dav_incidence_num,20200521,,20201030,162,1089.7142857143,,
me,confirmed_7dav_incidence_num,20200521,,20201030,162,44.571428571429,,
mi,confirmed_7dav_incidence_num,20200521,,20201030,162,529.71428571429,,
mn,confirmed_7dav_incidence_num,20200521,,20201030,162,680.71428571429,,
mo,confirmed_7dav_incidence_num,20200521,,20201030,162,155.85714285714,,
ms,confirmed_7dav_incidence_num,20200521,,20201030,162,248.42857142857,,
mt,confirmed_7dav_incidence_num,20200521,,20201030,162,2.4285714285714,,
nc,confirmed_7dav_incidence_num,20200521,,20201030,162,610.71428571429,,
nd,confirmed_7dav_incidence_num,20200521,,20201030,162,73.857142857143,,
ne,confirmed_7dav_incidence_num,20200521,,20201030,162,309.57142857143,,
nh,confirmed_7dav_incidence_num,20200521,,20201014,146,79,,
nj,confirmed_7dav_incidence_num,20200521,,20201030,162,1268.8571428571,,
nm,confirmed_7dav_incidence_num,20200521,,20201030,162,138.42857142857,,
nv,confirmed_7dav_incidence_num,20200521,,20201014,146,128,,
ny,confirmed_7dav_incidence_num,20200521,,20201030,162,1915.2857142857,,
oh,confirmed_7dav_incidence_num,20200521,,20201030,162,544.28571428571,,
ok,confirmed_7dav_incidence_num,20200521,,20201030,162,102.42857142857,,
or,confirmed_7dav_incidence_num,20200521,,20201030,162,48.285714285714,,
pa,confirmed_7dav_incidence_num,20200521,,20201030,162,878.14285714286,,
pr,confirmed_7dav_incidence_num,20200521,,20201110,173,19.857142857143,,
ri,confirmed_7dav_incidence_num,20200521,,20201030,162,222.14285714286,,
sc,confirmed_7dav_incidence_num,20200521,,20201030,162,170.28571428571,,
sd,confirmed_7dav_incidence_num,20200521,,20201030,162,53.428571428571,,
tn,confirmed_7dav_incidence_num,20200521,,20201030,162,323.14285714286,,
tx,confirmed_7dav_incidence_num,20200521,,20201030,162,1224.7142857143,,
ut,confirmed_7dav_incidence_num,20200521,,20201030,162,160.71428571429,,
va,confirmed_7dav_incidence_num,20200521,,20201030,162,903.42857142857,,
vt,confirmed_7dav_incidence_num,20200521,,20201030,162,2.5714285714286,,
wa,confirmed_7dav_incidence_num,20200521,,20201014,146,192,,
wi,confirmed_7dav_incidence_num,20200521,,20201030,162,372.85714285714,,
wv,confirmed_7dav_incidence_num,20200521,,20201030,162,23.714285714286,,
wy,confirmed_7dav_incidence_num,20200521,,20201030,162,14.285714285714,,
