geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200718,,20201030,104,72.857142857143,,
al,confirmed_7dav_incidence_num,20200718,,20201030,104,1898.1428571429,,
ar,confirmed_7dav_incidence_num,20200718,,20201014,88,667,,
az,confirmed_7dav_incidence_num,20200718,,20201030,104,3047.8571428571,,
ca,confirmed_7dav_incidence_num,20200718,,20201030,104,8854.8571428571,,
co,confirmed_7dav_incidence_num,20200718,,20201030,104,456.71428571429,,
ct,confirmed_7dav_incidence_num,20200718,,20201030,104,86.571428571429,,
dc,confirmed_7dav_incidence_num,20200718,,20201030,104,56.142857142857,,
de,confirmed_7dav_incidence_num,20200718,,20201014,88,98,,
fl,confirmed_7dav_incidence_num,20200718,,20201030,104,11865.428571429,,
ga,confirmed_7dav_incidence_num,20200718,,20201030,104,3639.8571428571,,
hi,confirmed_7dav_incidence_num,20200718,,20201014,88,22,,
ia,confirmed_7dav_incidence_num,20200718,,20201030,104,522.14285714286,,
id,confirmed_7dav_incidence_num,20200718,,20201030,104,542.42857142857,,
il,confirmed_7dav_incidence_num,20200718,,20201030,104,1098.7142857143,,
in,confirmed_7dav_incidence_num,20200718,,20201030,104,653.57142857143,,
ks,confirmed_7dav_incidence_num,20200718,,20201030,104,429.42857142857,,
ky,confirmed_7dav_incidence_num,20200718,,20201030,104,437.57142857143,,
la,confirmed_7dav_incidence_num,20200718,,20201030,104,1683.8571428571,,
ma,confirmed_7dav_incidence_num,20200718,,20201030,104,226.42857142857,,
md,confirmed_7dav_incidence_num,20200718,,20201014,88,677,,
me,confirmed_7dav_incidence_num,20200718,,20201030,104,17.857142857143,,
mi,confirmed_7dav_incidence_num,20200718,,20201030,104,708.14285714286,,
mn,confirmed_7dav_incidence_num,20200718,,20201014,88,557,,
mo,confirmed_7dav_incidence_num,20200718,,20201030,104,728.28571428571,,
ms,confirmed_7dav_incidence_num,20200718,,20201030,104,918.14285714286,,
mt,confirmed_7dav_incidence_num,20200718,,20201030,104,113.42857142857,,
nc,confirmed_7dav_incidence_num,20200718,,20201030,104,2000.2857142857,,
nd,confirmed_7dav_incidence_num,20200718,,20201030,104,94.857142857143,,
ne,confirmed_7dav_incidence_num,20200718,,20201030,104,211.85714285714,,
nh,confirmed_7dav_incidence_num,20200718,,20201030,104,23.428571428571,,
nj,confirmed_7dav_incidence_num,20200718,,20201014,88,265,,
nm,confirmed_7dav_incidence_num,20200718,,20201030,104,280.42857142857,,
nv,confirmed_7dav_incidence_num,20200718,,20201030,104,1091.2857142857,,
ny,confirmed_7dav_incidence_num,20200718,,20201030,104,753.71428571429,,
oh,confirmed_7dav_incidence_num,20200718,,20201030,104,1372.4285714286,,
ok,confirmed_7dav_incidence_num,20200718,,20201014,88,754,,
or,confirmed_7dav_incidence_num,20200718,,20201030,104,328.28571428571,,
pa,confirmed_7dav_incidence_num,20200718,,20201030,104,794.85714285714,,
pr,confirmed_7dav_incidence_num,20200718,,20201110,115,146.57142857143,,
ri,confirmed_7dav_incidence_num,20200718,,20201030,104,68.714285714286,,
sc,confirmed_7dav_incidence_num,20200718,,20201030,104,1844.7142857143,,
sd,confirmed_7dav_incidence_num,20200718,,20201030,104,55.857142857143,,
tn,confirmed_7dav_incidence_num,20200718,,20201014,88,2190,,
tx,confirmed_7dav_incidence_num,20200718,,20201030,104,10384.428571429,,
ut,confirmed_7dav_incidence_num,20200718,,20201030,104,639.57142857143,,
va,confirmed_7dav_incidence_num,20200718,,20201030,104,941.57142857143,,
vt,confirmed_7dav_incidence_num,20200718,,20201030,104,7.8571428571429,,
wa,confirmed_7dav_incidence_num,20200718,,20201030,104,972.57142857143,,
wi,confirmed_7dav_incidence_num,20200718,,20201030,104,829.42857142857,,
wv,confirmed_7dav_incidence_num,20200718,,20201030,104,106.85714285714,,
wy,confirmed_7dav_incidence_num,20200718,,20201030,104,38.428571428571,,
