geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200619,,20201030,133,19.428571428571,,
al,confirmed_7dav_incidence_num,20200619,,20201014,117,756,,
ar,confirmed_7dav_incidence_num,20200619,,20201030,133,440.57142857143,,
az,confirmed_7dav_incidence_num,20200619,,20201030,133,1981.5714285714,,
ca,confirmed_7dav_incidence_num,20200619,,20201030,133,3457.5714285714,,
co,confirmed_7dav_incidence_num,20200619,,20201014,117,195,,
ct,confirmed_7dav_incidence_num,20200619,,20201014,117,124,,
dc,confirmed_7dav_incidence_num,20200619,,20201030,133,42.571428571429,,
de,confirmed_7dav_incidence_num,20200619,,20201030,133,62.571428571429,,
fl,confirmed_7dav_incidence_num,20200619,,20201030,133,2682.4285714286,,
ga,confirmed_7dav_incidence_num,20200619,,20201030,133,889.42857142857,,
hi,confirmed_7dav_incidence_num,20200619,,20201030,133,11.857142857143,,
ia,confirmed_7dav_incidence_num,20200619,,20201030,133,274.85714285714,,
id,confirmed_7dav_incidence_num,20200619,,20201014,117,74,,
il,confirmed_7dav_incidence_num,20200619,,20201030,133,610.28571428571,,
in,confirmed_7dav_incidence_num,20200619,,20201030,133,371.42857142857,,
ks,confirmed_7dav_incidence_num,20200619,,20201030,133,149.71428571429,,
ky,confirmed_7dav_incidence_num,20200619,,20201014,117,184,,
la,confirmed_7dav_incidence_num,20200619,,20201030,133,502.85714285714,,
ma,confirmed_7dav_incidence_num,20200619,,20201030,133,191.14285714286,,
md,confirmed_7dav_incidence_num,20200619,,20201030,133,419.28571428571,,
me,confirmed_7dav_incidence_num,20200619,,20201030,133,27.428571428571,,
mi,confirmed_7dav_incidence_num,20200619,,20201030,133,213.71428571429,,
mn,confirmed_7dav_incidence_num,20200619,,20201030,133,319.42857142857,,
mo,confirmed_7dav_incidence_num,20200619,,20201030,133,238.57142857143,,
ms,confirmed_7dav_incidence_num,20200619,,20201030,133,221.42857142857,,
mt,confirmed_7dav_incidence_num,20200619,,20201030,133,13.285714285714,,
nc,confirmed_7dav_incidence_num,20200619,,20201014,117,1254,,
nd,confirmed_7dav_incidence_num,20200619,,20201014,117,30,,
ne,confirmed_7dav_incidence_num,20200619,,20201030,133,152.28571428571,,
nh,confirmed_7dav_incidence_num,20200619,,20201030,133,33.571428571429,,
nj,confirmed_7dav_incidence_num,20200619,,20201030,133,333.14285714286,,
nm,confirmed_7dav_incidence_num,20200619,,20201030,133,104.85714285714,,
nv,confirmed_7dav_incidence_num,20200619,,20201014,117,260,,
ny,confirmed_7dav_incidence_num,20200619,,20201030,133,691.71428571429,,
oh,confirmed_7dav_incidence_num,20200619,,20201030,133,472.42857142857,,
ok,confirmed_7dav_incidence_num,20200619,,20201030,133,265.42857142857,,
or,confirmed_7dav_incidence_num,20200619,,20201030,133,170.71428571429,,
pa,confirmed_7dav_incidence_num,20200619,,20201030,133,388.28571428571,,
pr,confirmed_7dav_incidence_num,20200619,,20201110,144,8,,
ri,confirmed_7dav_incidence_num,20200619,,20201030,133,55.714285714286,,
sc,confirmed_7dav_incidence_num,20200619,,20201030,133,776.85714285714,,
sd,confirmed_7dav_incidence_num,20200619,,20201030,133,58.285714285714,,
tn,confirmed_7dav_incidence_num,20200619,,20201030,133,699.85714285714,,
tx,confirmed_7dav_incidence_num,20200619,,20201030,133,2923.8571428571,,
ut,confirmed_7dav_incidence_num,20200619,,20201030,133,406.85714285714,,
va,confirmed_7dav_incidence_num,20200619,,20201030,133,511.71428571429,,
vt,confirmed_7dav_incidence_num,20200619,,20201030,133,3.5714285714286,,
wa,confirmed_7dav_incidence_num,20200619,,20201030,133,347.14285714286,,
wi,confirmed_7dav_incidence_num,20200619,,20201030,133,272.57142857143,,
wv,confirmed_7dav_incidence_num,20200619,,20201030,133,31.285714285714,,
wy,confirmed_7dav_incidence_num,20200619,,20201030,133,20.857142857143,,
