geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200429,,20201030,184,2.8571428571429,,
al,confirmed_7dav_incidence_num,20200429,,20201030,184,188.42857142857,,
ar,confirmed_7dav_incidence_num,20200429,,20201014,168,131,,
az,confirmed_7dav_incidence_num,20200429,,20201014,168,248,,
ca,confirmed_7dav_incidence_num,20200429,,20201030,184,1627.8571428571,,
co,confirmed_7dav_incidence_num,20200429,,20201030,184,552.42857142857,,
ct,confirmed_7dav_incidence_num,20200429,,20201014,168,614,,
dc,confirmed_7dav_incidence_num,20200429,,20201030,184,128.57142857143,,
de,confirmed_7dav_incidence_num,20200429,,20201030,184,207.85714285714,,
fl,confirmed_7dav_incidence_num,20200429,,20201030,184,697.71428571429,,
ga,confirmed_7dav_incidence_num,20200429,,20201030,184,651.57142857143,,
hi,confirmed_7dav_incidence_num,20200429,,20201014,168,3,,
ia,confirmed_7dav_incidence_num,20200429,,20201030,184,442.14285714286,,
id,confirmed_7dav_incidence_num,20200429,,20201030,184,26.571428571429,,
il,confirmed_7dav_incidence_num,20200429,,20201030,184,2178.7142857143,,
in,confirmed_7dav_incidence_num,20200429,,20201030,184,677.71428571429,,
ks,confirmed_7dav_incidence_num,20200429,,20201030,184,215.42857142857,,
ky,confirmed_7dav_incidence_num,20200429,,20201030,184,165.57142857143,,
la,confirmed_7dav_incidence_num,20200429,,20201030,184,343.14285714286,,
ma,confirmed_7dav_incidence_num,20200429,,20201014,168,1924,,
md,confirmed_7dav_incidence_num,20200429,,20201030,184,867.71428571429,,
me,confirmed_7dav_incidence_num,20200429,,20201030,184,21.285714285714,,
mi,confirmed_7dav_incidence_num,20200429,,20201030,184,905.28571428571,,
mn,confirmed_7dav_incidence_num,20200429,,20201030,184,274.57142857143,,
mo,confirmed_7dav_incidence_num,20200429,,20201030,184,189.71428571429,,
ms,confirmed_7dav_incidence_num,20200429,,20201030,184,239.28571428571,,
mt,confirmed_7dav_incidence_num,20200429,,20201030,184,1.7142857142857,,
nc,confirmed_7dav_incidence_num,20200429,,20201030,184,426.14285714286,,
nd,confirmed_7dav_incidence_num,20200429,,20201030,184,50.571428571429,,
ne,confirmed_7dav_incidence_num,20200429,,20201030,184,291.14285714286,,
nh,confirmed_7dav_incidence_num,20200429,,20201030,184,67.142857142857,,
nj,confirmed_7dav_incidence_num,20200429,,20201030,184,2921.5714285714,,
nm,confirmed_7dav_incidence_num,20200429,,20201030,184,143.28571428571,,
nv,confirmed_7dav_incidence_num,20200429,,20201030,184,121.85714285714,,
ny,confirmed_7dav_incidence_num,20200429,,20201030,184,5894.8571428571,,
oh,confirmed_7dav_incidence_num,20200429,,20201030,184,455.14285714286,,
ok,confirmed_7dav_incidence_num,20200429,,20201030,184,82.714285714286,,
or,confirmed_7dav_incidence_num,20200429,,20201030,184,55.285714285714,,
pa,confirmed_7dav_incidence_num,20200429,,20201030,184,1463.5714285714,,
pr,confirmed_7dav_incidence_num,20200429,,20201110,195,-50.428571428571,,
ri,confirmed_7dav_incidence_num,20200429,,20201030,184,343.71428571429,,
sc,confirmed_7dav_incidence_num,20200429,,20201030,184,160.14285714286,,
sd,confirmed_7dav_incidence_num,20200429,,20201030,184,73.571428571429,,
tn,confirmed_7dav_incidence_num,20200429,,20201030,184,424.57142857143,,
tx,confirmed_7dav_incidence_num,20200429,,20201014,168,864,,
ut,confirmed_7dav_incidence_num,20200429,,20201030,184,150.28571428571,,
va,confirmed_7dav_incidence_num,20200429,,20201030,184,670.85714285714,,
vt,confirmed_7dav_incidence_num,20200429,,20201030,184,5.5714285714286,,
wa,confirmed_7dav_incidence_num,20200429,,20201030,184,210.57142857143,,
wi,confirmed_7dav_incidence_num,20200429,,20201030,184,239.28571428571,,
wv,confirmed_7dav_incidence_num,20200429,,20201030,184,24.428571428571,,
wy,confirmed_7dav_incidence_num,20200429,,20201014,168,14,,
