geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200416,,20201030,197,9.5714285714286,,
al,confirmed_7dav_incidence_num,20200416,,20201030,197,234.57142857143,,
ar,confirmed_7dav_incidence_num,20200416,,20201030,197,71.571428571429,,
az,confirmed_7dav_incidence_num,20200416,,20201030,197,174.14285714286,,
ca,confirmed_7dav_incidence_num,20200416,,20201030,197,1138.1428571429,,
co,confirmed_7dav_incidence_num,20200416,,20201030,197,353.28571428571,,
ct,confirmed_7dav_incidence_num,20200416,,20201030,197,871.42857142857,,
dc,confirmed_7dav_incidence_num,20200416,,20201030,197,118.14285714286,,
de,confirmed_7dav_incidence_num,20200416,,20201014,181,123,,
fl,confirmed_7dav_incidence_num,20200416,,20201014,181,997,,
ga,confirmed_7dav_incidence_num,20200416,,20201014,181,729,,
hi,confirmed_7dav_incidence_num,20200416,,20201030,197,12.571428571429,,
ia,confirmed_7dav_incidence_num,20200416,,20201030,197,124.42857142857,,
id,confirmed_7dav_incidence_num,20200416,,20201030,197,50.714285714286,,
il,confirmed_7dav_incidence_num,20200416,,20201030,197,1330.2857142857,,
in,confirmed_7dav_incidence_num,20200416,,20201030,197,455.85714285714,,
ks,confirmed_7dav_incidence_num,20200416,,20201030,197,71.285714285714,,
ky,confirmed_7dav_incidence_num,20200416,,20201030,197,156.28571428571,,
la,confirmed_7dav_incidence_num,20200416,,20201014,181,607,,
ma,confirmed_7dav_incidence_num,20200416,,20201030,197,2027.5714285714,,
md,confirmed_7dav_incidence_num,20200416,,20201014,181,657,,
me,confirmed_7dav_incidence_num,20200416,,20201030,197,33.714285714286,,
mi,confirmed_7dav_incidence_num,20200416,,20201014,181,1023,,
mn,confirmed_7dav_incidence_num,20200416,,20201030,197,81.285714285714,,
mo,confirmed_7dav_incidence_num,20200416,,20201014,181,222,,
ms,confirmed_7dav_incidence_num,20200416,,20201030,197,194.85714285714,,
mt,confirmed_7dav_incidence_num,20200416,,20201030,197,8.7142857142857,,
nc,confirmed_7dav_incidence_num,20200416,,20201030,197,269.14285714286,,
nd,confirmed_7dav_incidence_num,20200416,,20201030,197,17.714285714286,,
ne,confirmed_7dav_incidence_num,20200416,,20201030,197,54.857142857143,,
nh,confirmed_7dav_incidence_num,20200416,,20201030,197,45.714285714286,,
nj,confirmed_7dav_incidence_num,20200416,,20201014,181,3470,,
nm,confirmed_7dav_incidence_num,20200416,,20201030,197,88.428571428571,,
nv,confirmed_7dav_incidence_num,20200416,,20201030,197,108.28571428571,,
ny,confirmed_7dav_incidence_num,20200416,,20201030,197,8844.5714285714,,
oh,confirmed_7dav_incidence_num,20200416,,20201030,197,414.57142857143,,
ok,confirmed_7dav_incidence_num,20200416,,20201030,197,95.857142857143,,
or,confirmed_7dav_incidence_num,20200416,,20201030,197,59.285714285714,,
pa,confirmed_7dav_incidence_num,20200416,,20201030,197,1422.5714285714,,
pr,confirmed_7dav_incidence_num,20200416,,20201030,197,51.428571428571,,
ri,confirmed_7dav_incidence_num,20200416,,20201030,197,257.42857142857,,
sc,confirmed_7dav_incidence_num,20200416,,20201030,197,162.57142857143,,
sd,confirmed_7dav_incidence_num,20200416,,20201030,197,123.42857142857,,
tn,confirmed_7dav_incidence_num,20200416,,20201030,197,218.85714285714,,
tx,confirmed_7dav_incidence_num,20200416,,20201030,197,809.71428571429,,
ut,confirmed_7dav_incidence_num,20200416,,20201030,197,118.14285714286,,
va,confirmed_7dav_incidence_num,20200416,,20201030,197,406.71428571429,,
vt,confirmed_7dav_incidence_num,20200416,,20201030,197,20.857142857143,,
wa,confirmed_7dav_incidence_num,20200416,,20201030,197,202.57142857143,,
wi,confirmed_7dav_incidence_num,20200416,,20201030,197,141.28571428571,,
wv,confirmed_7dav_incidence_num,20200416,,20201030,197,30.571428571429,,
wy,confirmed_7dav_incidence_num,20200416,,20201030,197,9.4285714285714,,
