geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200723,,20201030,99,0.28571428571429,,
al,deaths_7dav_incidence_num,20200723,,20201030,99,23.857142857143,,
ar,deaths_7dav_incidence_num,20200723,,20201030,99,6.4285714285714,,
az,deaths_7dav_incidence_num,20200723,,20201030,99,81.571428571429,,
ca,deaths_7dav_incidence_num,20200723,,20201030,99,101.71428571429,,
co,deaths_7dav_incidence_num,20200723,,20201030,99,5.8571428571429,,
ct,deaths_7dav_incidence_num,20200723,,20201014,83,3,,
dc,deaths_7dav_incidence_num,20200723,,20201014,83,1,,
de,deaths_7dav_incidence_num,20200723,,20201030,99,1.1428571428571,,
fl,deaths_7dav_incidence_num,20200723,,20201030,99,120.14285714286,,
ga,deaths_7dav_incidence_num,20200723,,20201030,99,36.571428571429,,
hi,deaths_7dav_incidence_num,20200723,,20201030,99,0.57142857142857,,
ia,deaths_7dav_incidence_num,20200723,,20201030,99,5.5714285714286,,
id,deaths_7dav_incidence_num,20200723,,20201030,99,3.4285714285714,,
il,deaths_7dav_incidence_num,20200723,,20201030,99,15.428571428571,,
in,deaths_7dav_incidence_num,20200723,,20201030,99,12.142857142857,,
ks,deaths_7dav_incidence_num,20200723,,20201030,99,2.4285714285714,,
ky,deaths_7dav_incidence_num,20200723,,20201030,99,4.8571428571429,,
la,deaths_7dav_incidence_num,20200723,,20201030,99,28.714285714286,,
ma,deaths_7dav_incidence_num,20200723,,20201030,99,14.857142857143,,
md,deaths_7dav_incidence_num,20200723,,20201030,99,8.8571428571429,,
me,deaths_7dav_incidence_num,20200723,,20201030,99,0.57142857142857,,
mi,deaths_7dav_incidence_num,20200723,,20201030,99,6.7142857142857,,
mn,deaths_7dav_incidence_num,20200723,,20201014,83,5,,
mo,deaths_7dav_incidence_num,20200723,,20201030,99,9.7142857142857,,
ms,deaths_7dav_incidence_num,20200723,,20201030,99,18.285714285714,,
mt,deaths_7dav_incidence_num,20200723,,20201030,99,1.1428571428571,,
nc,deaths_7dav_incidence_num,20200723,,20201030,99,21.285714285714,,
nd,deaths_7dav_incidence_num,20200723,,20201030,99,1.1428571428571,,
ne,deaths_7dav_incidence_num,20200723,,20201030,99,2.4285714285714,,
nh,deaths_7dav_incidence_num,20200723,,20201030,99,1.4285714285714,,
nj,deaths_7dav_incidence_num,20200723,,20201030,99,9.2857142857143,,
nm,deaths_7dav_incidence_num,20200723,,20201030,99,4.8571428571429,,
nv,deaths_7dav_incidence_num,20200723,,20201030,99,11.857142857143,,
ny,deaths_7dav_incidence_num,20200723,,20201030,99,19.142857142857,,
oh,deaths_7dav_incidence_num,20200723,,20201030,99,21.857142857143,,
ok,deaths_7dav_incidence_num,20200723,,20201030,99,5.5714285714286,,
or,deaths_7dav_incidence_num,20200723,,20201030,99,3.4285714285714,,
pa,deaths_7dav_incidence_num,20200723,,20201030,99,15.571428571429,,
pr,deaths_7dav_incidence_num,20200723,,20201030,99,2.2857142857143,,
ri,deaths_7dav_incidence_num,20200723,,20201030,99,1.8571428571429,,
sc,deaths_7dav_incidence_num,20200723,,20201030,99,37.714285714286,,
sd,deaths_7dav_incidence_num,20200723,,20201030,99,0.85714285714286,,
tn,deaths_7dav_incidence_num,20200723,,20201030,99,18.428571428571,,
tx,deaths_7dav_incidence_num,20200723,,20201030,99,156.71428571429,,
ut,deaths_7dav_incidence_num,20200723,,20201030,99,4.7142857142857,,
va,deaths_7dav_incidence_num,20200723,,20201030,99,6.7142857142857,,
vt,deaths_7dav_incidence_num,20200723,,20201014,83,0,,
wa,deaths_7dav_incidence_num,20200723,,20201030,99,7.8571428571429,,
wi,deaths_7dav_incidence_num,20200723,,20201030,99,6.7142857142857,,
wv,deaths_7dav_incidence_num,20200723,,20201030,99,0.42857142857143,,
wy,deaths_7dav_incidence_num,20200723,,20201030,99,0.14285714285714,,
