geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200420,,20201030,193,6.4285714285714,,
al,confirmed_7dav_incidence_num,20200420,,20201030,193,192.14285714286,,
ar,confirmed_7dav_incidence_num,20200420,,20201030,193,80.428571428571,,
az,confirmed_7dav_incidence_num,20200420,,20201030,193,194.71428571429,,
ca,confirmed_7dav_incidence_num,20200420,,20201030,193,1393.1428571429,,
co,confirmed_7dav_incidence_num,20200420,,20201030,193,345.14285714286,,
ct,confirmed_7dav_incidence_num,20200420,,20201030,193,919.14285714286,,
dc,confirmed_7dav_incidence_num,20200420,,20201030,193,138.85714285714,,
de,confirmed_7dav_incidence_num,20200420,,20201014,177,141,,
fl,confirmed_7dav_incidence_num,20200420,,20201030,193,862.85714285714,,
ga,confirmed_7dav_incidence_num,20200420,,20201030,193,870.28571428571,,
hi,confirmed_7dav_incidence_num,20200420,,20201030,193,11.428571428571,,
ia,confirmed_7dav_incidence_num,20200420,,20201014,177,207,,
id,confirmed_7dav_incidence_num,20200420,,20201030,193,35.142857142857,,
il,confirmed_7dav_incidence_num,20200420,,20201030,193,1355.4285714286,,
in,confirmed_7dav_incidence_num,20200420,,20201030,193,475.57142857143,,
ks,confirmed_7dav_incidence_num,20200420,,20201014,177,94,,
ky,confirmed_7dav_incidence_num,20200420,,20201030,193,147.42857142857,,
la,confirmed_7dav_incidence_num,20200420,,20201014,177,501,,
ma,confirmed_7dav_incidence_num,20200420,,20201030,193,2306.8571428571,,
md,confirmed_7dav_incidence_num,20200420,,20201030,193,678.28571428571,,
me,confirmed_7dav_incidence_num,20200420,,20201030,193,25.285714285714,,
mi,confirmed_7dav_incidence_num,20200420,,20201030,193,925.28571428571,,
mn,confirmed_7dav_incidence_num,20200420,,20201030,193,121.28571428571,,
mo,confirmed_7dav_incidence_num,20200420,,20201030,193,189.85714285714,,
ms,confirmed_7dav_incidence_num,20200420,,20201030,193,224.28571428571,,
mt,confirmed_7dav_incidence_num,20200420,,20201030,193,5.5714285714286,,
nc,confirmed_7dav_incidence_num,20200420,,20201014,177,287,,
nd,confirmed_7dav_incidence_num,20200420,,20201030,193,42.285714285714,,
ne,confirmed_7dav_incidence_num,20200420,,20201030,193,119.14285714286,,
nh,confirmed_7dav_incidence_num,20200420,,20201014,177,66,,
nj,confirmed_7dav_incidence_num,20200420,,20201030,193,3448.2857142857,,
nm,confirmed_7dav_incidence_num,20200420,,20201030,193,101.28571428571,,
nv,confirmed_7dav_incidence_num,20200420,,20201014,177,120,,
ny,confirmed_7dav_incidence_num,20200420,,20201030,193,7554.5714285714,,
oh,confirmed_7dav_incidence_num,20200420,,20201030,193,849.14285714286,,
ok,confirmed_7dav_incidence_num,20200420,,20201030,193,87.285714285714,,
or,confirmed_7dav_incidence_num,20200420,,20201030,193,53.285714285714,,
pa,confirmed_7dav_incidence_num,20200420,,20201030,193,1374.5714285714,,
pr,confirmed_7dav_incidence_num,20200420,,20201030,193,49.857142857143,,
ri,confirmed_7dav_incidence_num,20200420,,20201030,193,346.42857142857,,
sc,confirmed_7dav_incidence_num,20200420,,20201030,193,150.71428571429,,
sd,confirmed_7dav_incidence_num,20200420,,20201030,193,116.71428571429,,
tn,confirmed_7dav_incidence_num,20200420,,20201030,193,232.57142857143,,
tx,confirmed_7dav_incidence_num,20200420,,20201030,193,782.28571428571,,
ut,confirmed_7dav_incidence_num,20200420,,20201030,193,121.42857142857,,
va,confirmed_7dav_incidence_num,20200420,,20201030,193,463.28571428571,,
vt,confirmed_7dav_incidence_num,20200420,,20201030,193,9.7142857142857,,
wa,confirmed_7dav_incidence_num,20200420,,20201030,193,211.28571428571,,
wi,confirmed_7dav_incidence_num,20200420,,20201014,177,153,,
wv,confirmed_7dav_incidence_num,20200420,,20201030,193,41.571428571429,,
wy,confirmed_7dav_incidence_num,20200420,,20201014,177,6,,
