geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200422,,20201014,175,0,,
al,deaths_7dav_incidence_num,20200422,,20201030,191,11.142857142857,,
ar,deaths_7dav_incidence_num,20200422,,20201030,191,1.2857142857143,,
az,deaths_7dav_incidence_num,20200422,,20201030,191,10.857142857143,,
ca,deaths_7dav_incidence_num,20200422,,20201030,191,80.142857142857,,
co,deaths_7dav_incidence_num,20200422,,20201030,191,21.714285714286,,
ct,deaths_7dav_incidence_num,20200422,,20201030,191,96.571428571429,,
dc,deaths_7dav_incidence_num,20200422,,20201030,191,7.8571428571429,,
de,deaths_7dav_incidence_num,20200422,,20201030,191,6.1428571428571,,
fl,deaths_7dav_incidence_num,20200422,,20201030,191,42.428571428571,,
ga,deaths_7dav_incidence_num,20200422,,20201030,191,42.285714285714,,
hi,deaths_7dav_incidence_num,20200422,,20201030,191,0.42857142857143,,
ia,deaths_7dav_incidence_num,20200422,,20201030,191,5.2857142857143,,
id,deaths_7dav_incidence_num,20200422,,20201030,191,1.7142857142857,,
il,deaths_7dav_incidence_num,20200422,,20201014,175,88,,
in,deaths_7dav_incidence_num,20200422,,20201030,191,32.857142857143,,
ks,deaths_7dav_incidence_num,20200422,,20201030,191,5.8571428571429,,
ky,deaths_7dav_incidence_num,20200422,,20201014,175,10,,
la,deaths_7dav_incidence_num,20200422,,20201030,191,52.857142857143,,
ma,deaths_7dav_incidence_num,20200422,,20201030,191,153.42857142857,,
md,deaths_7dav_incidence_num,20200422,,20201030,191,55.285714285714,,
me,deaths_7dav_incidence_num,20200422,,20201030,191,2.1428571428571,,
mi,deaths_7dav_incidence_num,20200422,,20201030,191,131.14285714286,,
mn,deaths_7dav_incidence_num,20200422,,20201030,191,13.142857142857,,
mo,deaths_7dav_incidence_num,20200422,,20201030,191,14.142857142857,,
ms,deaths_7dav_incidence_num,20200422,,20201030,191,10.142857142857,,
mt,deaths_7dav_incidence_num,20200422,,20201014,175,1,,
nc,deaths_7dav_incidence_num,20200422,,20201030,191,19.285714285714,,
nd,deaths_7dav_incidence_num,20200422,,20201030,191,0.71428571428571,,
ne,deaths_7dav_incidence_num,20200422,,20201030,191,2.5714285714286,,
nh,deaths_7dav_incidence_num,20200422,,20201030,191,2.2857142857143,,
nj,deaths_7dav_incidence_num,20200422,,20201030,191,331.28571428571,,
nm,deaths_7dav_incidence_num,20200422,,20201014,175,5,,
nv,deaths_7dav_incidence_num,20200422,,20201030,191,5.8571428571429,,
ny,deaths_7dav_incidence_num,20200422,,20201030,191,637.85714285714,,
oh,deaths_7dav_incidence_num,20200422,,20201030,191,35.428571428571,,
ok,deaths_7dav_incidence_num,20200422,,20201030,191,6.7142857142857,,
or,deaths_7dav_incidence_num,20200422,,20201030,191,2.8571428571429,,
pa,deaths_7dav_incidence_num,20200422,,20201030,191,127.71428571429,,
pr,deaths_7dav_incidence_num,20200422,,20201030,191,1.7142857142857,,
ri,deaths_7dav_incidence_num,20200422,,20201030,191,14.428571428571,,
sc,deaths_7dav_incidence_num,20200422,,20201030,191,4.8571428571429,,
sd,deaths_7dav_incidence_num,20200422,,20201030,191,0.42857142857143,,
tn,deaths_7dav_incidence_num,20200422,,20201030,191,4.7142857142857,,
tx,deaths_7dav_incidence_num,20200422,,20201030,191,29.142857142857,,
ut,deaths_7dav_incidence_num,20200422,,20201030,191,1.7142857142857,,
va,deaths_7dav_incidence_num,20200422,,20201014,175,22,,
vt,deaths_7dav_incidence_num,20200422,,20201030,191,1.5714285714286,,
wa,deaths_7dav_incidence_num,20200422,,20201030,191,19.142857142857,,
wi,deaths_7dav_incidence_num,20200422,,20201030,191,9.2857142857143,,
wv,deaths_7dav_incidence_num,20200422,,20201030,191,2.4285714285714,,
wy,deaths_7dav_incidence_num,20200422,,20201030,191,0.71428571428571,,
