geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200421,,20201014,176,0,,
al,deaths_7dav_incidence_num,20200421,,20201030,192,9.8571428571429,,
ar,deaths_7dav_incidence_num,20200421,,20201030,192,1.4285714285714,,
az,deaths_7dav_incidence_num,20200421,,20201030,192,9.2857142857143,,
ca,deaths_7dav_incidence_num,20200421,,20201030,192,73.571428571429,,
co,deaths_7dav_incidence_num,20200421,,20201030,192,22.285714285714,,
ct,deaths_7dav_incidence_num,20200421,,20201030,192,107.42857142857,,
dc,deaths_7dav_incidence_num,20200421,,20201030,192,6.4285714285714,,
de,deaths_7dav_incidence_num,20200421,,20201030,192,5.5714285714286,,
fl,deaths_7dav_incidence_num,20200421,,20201030,192,42.285714285714,,
ga,deaths_7dav_incidence_num,20200421,,20201014,176,39,,
hi,deaths_7dav_incidence_num,20200421,,20201030,192,0.14285714285714,,
ia,deaths_7dav_incidence_num,20200421,,20201030,192,4.8571428571429,,
id,deaths_7dav_incidence_num,20200421,,20201030,192,2.1428571428571,,
il,deaths_7dav_incidence_num,20200421,,20201030,192,85.714285714286,,
in,deaths_7dav_incidence_num,20200421,,20201030,192,35.428571428571,,
ks,deaths_7dav_incidence_num,20200421,,20201030,192,5.7142857142857,,
ky,deaths_7dav_incidence_num,20200421,,20201030,192,9.2857142857143,,
la,deaths_7dav_incidence_num,20200421,,20201014,176,56,,
ma,deaths_7dav_incidence_num,20200421,,20201030,192,159.57142857143,,
md,deaths_7dav_incidence_num,20200421,,20201014,176,50,,
me,deaths_7dav_incidence_num,20200421,,20201030,192,2.2857142857143,,
mi,deaths_7dav_incidence_num,20200421,,20201030,192,119.42857142857,,
mn,deaths_7dav_incidence_num,20200421,,20201030,192,11.571428571429,,
mo,deaths_7dav_incidence_num,20200421,,20201030,192,13.714285714286,,
ms,deaths_7dav_incidence_num,20200421,,20201030,192,10.285714285714,,
mt,deaths_7dav_incidence_num,20200421,,20201030,192,0.71428571428571,,
nc,deaths_7dav_incidence_num,20200421,,20201014,176,19,,
nd,deaths_7dav_incidence_num,20200421,,20201030,192,0.71428571428571,,
ne,deaths_7dav_incidence_num,20200421,,20201030,192,1.8571428571429,,
nh,deaths_7dav_incidence_num,20200421,,20201030,192,2.4285714285714,,
nj,deaths_7dav_incidence_num,20200421,,20201014,176,328,,
nm,deaths_7dav_incidence_num,20200421,,20201030,192,3.8571428571429,,
nv,deaths_7dav_incidence_num,20200421,,20201030,192,5.2857142857143,,
ny,deaths_7dav_incidence_num,20200421,,20201030,192,676.14285714286,,
oh,deaths_7dav_incidence_num,20200421,,20201030,192,33.285714285714,,
ok,deaths_7dav_incidence_num,20200421,,20201014,176,8,,
or,deaths_7dav_incidence_num,20200421,,20201030,192,3.2857142857143,,
pa,deaths_7dav_incidence_num,20200421,,20201030,192,131.85714285714,,
pr,deaths_7dav_incidence_num,20200421,,20201030,192,2.7142857142857,,
ri,deaths_7dav_incidence_num,20200421,,20201014,176,13,,
sc,deaths_7dav_incidence_num,20200421,,20201030,192,3.8571428571429,,
sd,deaths_7dav_incidence_num,20200421,,20201030,192,0.28571428571429,,
tn,deaths_7dav_incidence_num,20200421,,20201030,192,4.7142857142857,,
tx,deaths_7dav_incidence_num,20200421,,20201030,192,30.428571428571,,
ut,deaths_7dav_incidence_num,20200421,,20201014,176,2,,
va,deaths_7dav_incidence_num,20200421,,20201030,192,24.285714285714,,
vt,deaths_7dav_incidence_num,20200421,,20201030,192,1.5714285714286,,
wa,deaths_7dav_incidence_num,20200421,,20201030,192,19.142857142857,,
wi,deaths_7dav_incidence_num,20200421,,20201030,192,10.571428571429,,
wv,deaths_7dav_incidence_num,20200421,,20201030,192,2.4285714285714,,
wy,deaths_7dav_incidence_num,20200421,,20201030,192,0.14285714285714,,
