geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200620,,20201030,132,17.857142857143,,
al,confirmed_7dav_incidence_num,20200620,,20201030,132,706.85714285714,,
ar,confirmed_7dav_incidence_num,20200620,,20201030,132,435.28571428571,,
az,confirmed_7dav_incidence_num,20200620,,20201030,132,2209.5714285714,,
ca,confirmed_7dav_incidence_num,20200620,,20201030,132,3601.2857142857,,
co,confirmed_7dav_incidence_num,20200620,,20201030,132,190.14285714286,,
ct,confirmed_7dav_incidence_num,20200620,,20201014,116,103,,
dc,confirmed_7dav_incidence_num,20200620,,20201030,132,39.285714285714,,
de,confirmed_7dav_incidence_num,20200620,,20201030,132,64.571428571429,,
fl,confirmed_7dav_incidence_num,20200620,,20201030,132,2892.1428571429,,
ga,confirmed_7dav_incidence_num,20200620,,20201030,132,1000.7142857143,,
hi,confirmed_7dav_incidence_num,20200620,,20201030,132,9.4285714285714,,
ia,confirmed_7dav_incidence_num,20200620,,20201030,132,254.14285714286,,
id,confirmed_7dav_incidence_num,20200620,,20201014,116,93,,
il,confirmed_7dav_incidence_num,20200620,,20201030,132,604.71428571429,,
in,confirmed_7dav_incidence_num,20200620,,20201030,132,359.71428571429,,
ks,confirmed_7dav_incidence_num,20200620,,20201030,132,153.85714285714,,
ky,confirmed_7dav_incidence_num,20200620,,20201030,132,169.28571428571,,
la,confirmed_7dav_incidence_num,20200620,,20201030,132,443.14285714286,,
ma,confirmed_7dav_incidence_num,20200620,,20201014,116,190,,
md,confirmed_7dav_incidence_num,20200620,,20201030,132,378.71428571429,,
me,confirmed_7dav_incidence_num,20200620,,20201030,132,25.857142857143,,
mi,confirmed_7dav_incidence_num,20200620,,20201030,132,249.71428571429,,
mn,confirmed_7dav_incidence_num,20200620,,20201030,132,327.85714285714,,
mo,confirmed_7dav_incidence_num,20200620,,20201030,132,260.71428571429,,
ms,confirmed_7dav_incidence_num,20200620,,20201030,132,184.71428571429,,
mt,confirmed_7dav_incidence_num,20200620,,20201030,132,15.714285714286,,
nc,confirmed_7dav_incidence_num,20200620,,20201030,132,1244.8571428571,,
nd,confirmed_7dav_incidence_num,20200620,,20201030,132,27.571428571429,,
ne,confirmed_7dav_incidence_num,20200620,,20201030,132,152.42857142857,,
nh,confirmed_7dav_incidence_num,20200620,,20201030,132,31.285714285714,,
nj,confirmed_7dav_incidence_num,20200620,,20201030,132,318.42857142857,,
nm,confirmed_7dav_incidence_num,20200620,,20201030,132,115.57142857143,,
nv,confirmed_7dav_incidence_num,20200620,,20201030,132,282.71428571429,,
ny,confirmed_7dav_incidence_num,20200620,,20201030,132,663.14285714286,,
oh,confirmed_7dav_incidence_num,20200620,,20201030,132,487.14285714286,,
ok,confirmed_7dav_incidence_num,20200620,,20201030,132,280.71428571429,,
or,confirmed_7dav_incidence_num,20200620,,20201030,132,196.14285714286,,
pa,confirmed_7dav_incidence_num,20200620,,20201014,116,378,,
pr,confirmed_7dav_incidence_num,20200620,,20201110,143,10.142857142857,,
ri,confirmed_7dav_incidence_num,20200620,,20201030,132,55.714285714286,,
sc,confirmed_7dav_incidence_num,20200620,,20201030,132,828.71428571429,,
sd,confirmed_7dav_incidence_num,20200620,,20201030,132,54.714285714286,,
tn,confirmed_7dav_incidence_num,20200620,,20201030,132,699.57142857143,,
tx,confirmed_7dav_incidence_num,20200620,,20201014,116,3238,,
ut,confirmed_7dav_incidence_num,20200620,,20201014,116,441,,
va,confirmed_7dav_incidence_num,20200620,,20201030,132,510.57142857143,,
vt,confirmed_7dav_incidence_num,20200620,,20201030,132,3.1428571428571,,
wa,confirmed_7dav_incidence_num,20200620,,20201030,132,383.85714285714,,
wi,confirmed_7dav_incidence_num,20200620,,20201030,132,288.71428571429,,
wv,confirmed_7dav_incidence_num,20200620,,20201030,132,32.285714285714,,
wy,confirmed_7dav_incidence_num,20200620,,20201030,132,18.428571428571,,
