geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
al,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
ar,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
az,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
ca,deaths_7dav_incidence_num,20200319,,20201014,209,2,,
co,deaths_7dav_incidence_num,20200319,,20201030,225,0.57142857142857,,
ct,deaths_7dav_incidence_num,20200319,,20201030,225,0.42857142857143,,
dc,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
de,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
fl,deaths_7dav_incidence_num,20200319,,20201014,209,1,,
ga,deaths_7dav_incidence_num,20200319,,20201030,225,1.2857142857143,,
hi,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
ia,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
id,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
il,deaths_7dav_incidence_num,20200319,,20201030,225,0.57142857142857,,
in,deaths_7dav_incidence_num,20200319,,20201030,225,0.28571428571429,,
ks,deaths_7dav_incidence_num,20200319,,20201030,225,0.14285714285714,,
ky,deaths_7dav_incidence_num,20200319,,20201030,225,0.28571428571429,,
la,deaths_7dav_incidence_num,20200319,,20201030,225,1.4285714285714,,
ma,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
md,deaths_7dav_incidence_num,20200319,,20201030,225,0.14285714285714,,
me,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
mi,deaths_7dav_incidence_num,20200319,,20201030,225,0.14285714285714,,
mn,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
mo,deaths_7dav_incidence_num,20200319,,20201030,225,0.14285714285714,,
ms,deaths_7dav_incidence_num,20200319,,20201030,225,0.14285714285714,,
mt,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
nc,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
nd,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
ne,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
nh,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
nj,deaths_7dav_incidence_num,20200319,,20201030,225,1.7142857142857,,
nm,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
nv,deaths_7dav_incidence_num,20200319,,20201030,225,0.14285714285714,,
ny,deaths_7dav_incidence_num,20200319,,20201030,225,12.428571428571,,
oh,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
ok,deaths_7dav_incidence_num,20200319,,20201030,225,0.14285714285714,,
or,deaths_7dav_incidence_num,20200319,,20201030,225,0.42857142857143,,
pa,deaths_7dav_incidence_num,20200319,,20201030,225,0.14285714285714,,
pr,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
ri,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
sc,deaths_7dav_incidence_num,20200319,,20201030,225,0.14285714285714,,
sd,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
tn,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
tx,deaths_7dav_incidence_num,20200319,,20201030,225,0.71428571428571,,
ut,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
va,deaths_7dav_incidence_num,20200319,,20201030,225,0.28571428571429,,
vt,deaths_7dav_incidence_num,20200319,,20201030,225,0.28571428571429,,
wa,deaths_7dav_incidence_num,20200319,,20201014,209,6,,
wi,deaths_7dav_incidence_num,20200319,,20201030,225,0.57142857142857,,
wv,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
wy,deaths_7dav_incidence_num,20200319,,20201014,209,0,,
