geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200318,,20201030,226,1.2857142857143,,
al,confirmed_7dav_incidence_num,20200318,,20201030,226,7.2857142857143,,
ar,confirmed_7dav_incidence_num,20200318,,20201030,226,0.57142857142857,,
az,confirmed_7dav_incidence_num,20200318,,20201030,226,2.5714285714286,,
ca,confirmed_7dav_incidence_num,20200318,,20201030,226,93.285714285714,,
co,confirmed_7dav_incidence_num,20200318,,20201014,210,26,,
ct,confirmed_7dav_incidence_num,20200318,,20201030,226,13.285714285714,,
dc,confirmed_7dav_incidence_num,20200318,,20201030,226,4.4285714285714,,
de,confirmed_7dav_incidence_num,20200318,,20201030,226,2.5714285714286,,
fl,confirmed_7dav_incidence_num,20200318,,20201030,226,40.285714285714,,
ga,confirmed_7dav_incidence_num,20200318,,20201030,226,24.857142857143,,
hi,confirmed_7dav_incidence_num,20200318,,20201030,226,1.8571428571429,,
ia,confirmed_7dav_incidence_num,20200318,,20201030,226,3.5714285714286,,
id,confirmed_7dav_incidence_num,20200318,,20201030,226,1.2857142857143,,
il,confirmed_7dav_incidence_num,20200318,,20201030,226,35.285714285714,,
in,confirmed_7dav_incidence_num,20200318,,20201030,226,3.8571428571429,,
ks,confirmed_7dav_incidence_num,20200318,,20201014,210,3,,
ky,confirmed_7dav_incidence_num,20200318,,20201030,226,2.8571428571429,,
la,confirmed_7dav_incidence_num,20200318,,20201014,210,36,,
ma,confirmed_7dav_incidence_num,20200318,,20201030,226,126.71428571429,,
md,confirmed_7dav_incidence_num,20200318,,20201030,226,10.857142857143,,
me,confirmed_7dav_incidence_num,20200318,,20201014,210,5,,
mi,confirmed_7dav_incidence_num,20200318,,20201030,226,22.428571428571,,
mn,confirmed_7dav_incidence_num,20200318,,20201030,226,10.285714285714,,
mo,confirmed_7dav_incidence_num,20200318,,20201030,226,2.8571428571429,,
ms,confirmed_7dav_incidence_num,20200318,,20201030,226,4.8571428571429,,
mt,confirmed_7dav_incidence_num,20200318,,20201030,226,1.4285714285714,,
nc,confirmed_7dav_incidence_num,20200318,,20201030,226,13.571428571429,,
nd,confirmed_7dav_incidence_num,20200318,,20201030,226,0.85714285714286,,
ne,confirmed_7dav_incidence_num,20200318,,20201030,226,2.7142857142857,,
nh,confirmed_7dav_incidence_num,20200318,,20201030,226,4.5714285714286,,
nj,confirmed_7dav_incidence_num,20200318,,20201030,226,53.428571428571,,
nm,confirmed_7dav_incidence_num,20200318,,20201030,226,3.5714285714286,,
nv,confirmed_7dav_incidence_num,20200318,,20201030,226,6.8571428571429,,
ny,confirmed_7dav_incidence_num,20200318,,20201030,226,327.28571428571,,
oh,confirmed_7dav_incidence_num,20200318,,20201030,226,12.142857142857,,
ok,confirmed_7dav_incidence_num,20200318,,20201030,226,2.1428571428571,,
or,confirmed_7dav_incidence_num,20200318,,20201014,210,8,,
pa,confirmed_7dav_incidence_num,20200318,,20201030,226,19.857142857143,,
pr,confirmed_7dav_incidence_num,20200318,,20201030,226,0.71428571428571,,
ri,confirmed_7dav_incidence_num,20200318,,20201014,210,4,,
sc,confirmed_7dav_incidence_num,20200318,,20201030,226,7.1428571428571,,
sd,confirmed_7dav_incidence_num,20200318,,20201030,226,0.42857142857143,,
tn,confirmed_7dav_incidence_num,20200318,,20201014,210,13,,
tx,confirmed_7dav_incidence_num,20200318,,20201014,210,25,,
ut,confirmed_7dav_incidence_num,20200318,,20201030,226,6.2857142857143,,
va,confirmed_7dav_incidence_num,20200318,,20201014,210,10,,
vt,confirmed_7dav_incidence_num,20200318,,20201030,226,1.7142857142857,,
wa,confirmed_7dav_incidence_num,20200318,,20201030,226,105.71428571429,,
wi,confirmed_7dav_incidence_num,20200318,,20201030,226,15.285714285714,,
wv,confirmed_7dav_incidence_num,20200318,,20201030,226,0.14285714285714,,
wy,confirmed_7dav_incidence_num,20200318,,20201030,226,2.2857142857143,,
