geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200630,,20201030,122,32.428571428571,,
al,confirmed_7dav_incidence_num,20200630,,20201030,122,992.57142857143,,
ar,confirmed_7dav_incidence_num,20200630,,20201030,122,585.57142857143,,
az,confirmed_7dav_incidence_num,20200630,,20201030,122,2978.5714285714,,
ca,confirmed_7dav_incidence_num,20200630,,20201030,122,5705.8571428571,,
co,confirmed_7dav_incidence_num,20200630,,20201104,127,260.28571428571,,
ct,confirmed_7dav_incidence_num,20200630,,20201030,122,87.857142857143,,
dc,confirmed_7dav_incidence_num,20200630,,20201030,122,33.285714285714,,
de,confirmed_7dav_incidence_num,20200630,,20201030,122,89.571428571429,,
fl,confirmed_7dav_incidence_num,20200630,,20201030,122,6990.1428571429,,
ga,confirmed_7dav_incidence_num,20200630,,20201030,122,1925.8571428571,,
hi,confirmed_7dav_incidence_num,20200630,,20201014,106,14,,
ia,confirmed_7dav_incidence_num,20200630,,20201030,122,372.14285714286,,
id,confirmed_7dav_incidence_num,20200630,,20201030,122,266.14285714286,,
il,confirmed_7dav_incidence_num,20200630,,20201030,122,765.71428571429,,
in,confirmed_7dav_incidence_num,20200630,,20201014,106,389,,
ks,confirmed_7dav_incidence_num,20200630,,20201030,122,261.85714285714,,
ky,confirmed_7dav_incidence_num,20200630,,20201030,122,211.85714285714,,
la,confirmed_7dav_incidence_num,20200630,,20201030,122,928.57142857143,,
ma,confirmed_7dav_incidence_num,20200630,,20201030,122,183.85714285714,,
md,confirmed_7dav_incidence_num,20200630,,20201030,122,364.57142857143,,
me,confirmed_7dav_incidence_num,20200630,,20201030,122,36.714285714286,,
mi,confirmed_7dav_incidence_num,20200630,,20201030,122,358.28571428571,,
mn,confirmed_7dav_incidence_num,20200630,,20201030,122,404.85714285714,,
mo,confirmed_7dav_incidence_num,20200630,,20201030,122,401,,
ms,confirmed_7dav_incidence_num,20200630,,20201030,122,621.28571428571,,
mt,confirmed_7dav_incidence_num,20200630,,20201014,106,32,,
nc,confirmed_7dav_incidence_num,20200630,,20201030,122,1540.5714285714,,
nd,confirmed_7dav_incidence_num,20200630,,20201030,122,36.571428571429,,
ne,confirmed_7dav_incidence_num,20200630,,20201014,106,154,,
nh,confirmed_7dav_incidence_num,20200630,,20201030,122,30.142857142857,,
nj,confirmed_7dav_incidence_num,20200630,,20201030,122,276.14285714286,,
nm,confirmed_7dav_incidence_num,20200630,,20201014,106,187,,
nv,confirmed_7dav_incidence_num,20200630,,20201014,106,637,,
ny,confirmed_7dav_incidence_num,20200630,,20201030,122,624.14285714286,,
oh,confirmed_7dav_incidence_num,20200630,,20201030,122,808.85714285714,,
ok,confirmed_7dav_incidence_num,20200630,,20201030,122,389.42857142857,,
or,confirmed_7dav_incidence_num,20200630,,20201030,122,197.42857142857,,
pa,confirmed_7dav_incidence_num,20200630,,20201030,122,561.57142857143,,
pr,confirmed_7dav_incidence_num,20200630,,20201110,133,20.428571428571,,
ri,confirmed_7dav_incidence_num,20200630,,20201014,106,40,,
sc,confirmed_7dav_incidence_num,20200630,,20201030,122,1403.8571428571,,
sd,confirmed_7dav_incidence_num,20200630,,20201014,106,55,,
tn,confirmed_7dav_incidence_num,20200630,,20201030,122,1029.4285714286,,
tx,confirmed_7dav_incidence_num,20200630,,20201030,122,5732.5714285714,,
ut,confirmed_7dav_incidence_num,20200630,,20201030,122,559.57142857143,,
va,confirmed_7dav_incidence_num,20200630,,20201030,122,541.85714285714,,
vt,confirmed_7dav_incidence_num,20200630,,20201030,122,6.2857142857143,,
wa,confirmed_7dav_incidence_num,20200630,,20201030,122,491.14285714286,,
wi,confirmed_7dav_incidence_num,20200630,,20201030,122,475.42857142857,,
wv,confirmed_7dav_incidence_num,20200630,,20201030,122,44.571428571429,,
wy,confirmed_7dav_incidence_num,20200630,,20201030,122,33.285714285714,,
