geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200503,,20201030,180,3.8571428571429,,
al,confirmed_7dav_incidence_num,20200503,,20201030,180,209.57142857143,,
ar,confirmed_7dav_incidence_num,20200503,,20201030,180,62.285714285714,,
az,confirmed_7dav_incidence_num,20200503,,20201030,180,300.85714285714,,
ca,confirmed_7dav_incidence_num,20200503,,20201030,180,1620.5714285714,,
co,confirmed_7dav_incidence_num,20200503,,20201030,180,456.28571428571,,
ct,confirmed_7dav_incidence_num,20200503,,20201014,164,574,,
dc,confirmed_7dav_incidence_num,20200503,,20201030,180,167.85714285714,,
de,confirmed_7dav_incidence_num,20200503,,20201030,180,167.71428571429,,
fl,confirmed_7dav_incidence_num,20200503,,20201030,180,649.42857142857,,
ga,confirmed_7dav_incidence_num,20200503,,20201030,180,739.85714285714,,
hi,confirmed_7dav_incidence_num,20200503,,20201014,164,2,,
ia,confirmed_7dav_incidence_num,20200503,,20201030,180,528.42857142857,,
id,confirmed_7dav_incidence_num,20200503,,20201030,180,23.428571428571,,
il,confirmed_7dav_incidence_num,20200503,,20201030,180,2513.7142857143,,
in,confirmed_7dav_incidence_num,20200503,,20201014,164,703,,
ks,confirmed_7dav_incidence_num,20200503,,20201030,180,268.42857142857,,
ky,confirmed_7dav_incidence_num,20200503,,20201030,180,149.28571428571,,
la,confirmed_7dav_incidence_num,20200503,,20201030,180,366.71428571429,,
ma,confirmed_7dav_incidence_num,20200503,,20201030,180,1762.7142857143,,
md,confirmed_7dav_incidence_num,20200503,,20201014,164,983,,
me,confirmed_7dav_incidence_num,20200503,,20201030,180,24.285714285714,,
mi,confirmed_7dav_incidence_num,20200503,,20201030,180,811.42857142857,,
mn,confirmed_7dav_incidence_num,20200503,,20201030,180,437.28571428571,,
mo,confirmed_7dav_incidence_num,20200503,,20201030,180,205.28571428571,,
ms,confirmed_7dav_incidence_num,20200503,,20201030,180,234.14285714286,,
mt,confirmed_7dav_incidence_num,20200503,,20201014,164,1,,
nc,confirmed_7dav_incidence_num,20200503,,20201014,164,404,,
nd,confirmed_7dav_incidence_num,20200503,,20201030,180,46.285714285714,,
ne,confirmed_7dav_incidence_num,20200503,,20201030,180,375.85714285714,,
nh,confirmed_7dav_incidence_num,20200503,,20201030,180,93.428571428571,,
nj,confirmed_7dav_incidence_num,20200503,,20201030,180,2529.4285714286,,
nm,confirmed_7dav_incidence_num,20200503,,20201030,180,160.57142857143,,
nv,confirmed_7dav_incidence_num,20200503,,20201030,180,105.42857142857,,
ny,confirmed_7dav_incidence_num,20200503,,20201030,180,4052.8571428571,,
oh,confirmed_7dav_incidence_num,20200503,,20201030,180,563.14285714286,,
ok,confirmed_7dav_incidence_num,20200503,,20201030,180,102.57142857143,,
or,confirmed_7dav_incidence_num,20200503,,20201030,180,52.714285714286,,
pa,confirmed_7dav_incidence_num,20200503,,20201030,180,1229.8571428571,,
pr,confirmed_7dav_incidence_num,20200503,,20201110,191,13.714285714286,,
ri,confirmed_7dav_incidence_num,20200503,,20201030,180,291.14285714286,,
sc,confirmed_7dav_incidence_num,20200503,,20201030,180,161.14285714286,,
sd,confirmed_7dav_incidence_num,20200503,,20201030,180,59.857142857143,,
tn,confirmed_7dav_incidence_num,20200503,,20201030,180,501.42857142857,,
tx,confirmed_7dav_incidence_num,20200503,,20201030,180,1004.4285714286,,
ut,confirmed_7dav_incidence_num,20200503,,20201030,180,150.28571428571,,
va,confirmed_7dav_incidence_num,20200503,,20201030,180,814.57142857143,,
vt,confirmed_7dav_incidence_num,20200503,,20201030,180,6.5714285714286,,
wa,confirmed_7dav_incidence_num,20200503,,20201030,180,237.71428571429,,
wi,confirmed_7dav_incidence_num,20200503,,20201030,180,293.14285714286,,
wv,confirmed_7dav_incidence_num,20200503,,20201014,164,20,,
wy,confirmed_7dav_incidence_num,20200503,,20201014,164,12,,
