geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200321,,20201030,223,2.1428571428571,,
al,confirmed_7dav_incidence_num,20200321,,20201030,223,17.714285714286,,
ar,confirmed_7dav_incidence_num,20200321,,20201030,223,15.714285714286,,
az,confirmed_7dav_incidence_num,20200321,,20201030,223,13.142857142857,,
ca,confirmed_7dav_incidence_num,20200321,,20201030,223,148.57142857143,,
co,confirmed_7dav_incidence_num,20200321,,20201030,223,53.142857142857,,
ct,confirmed_7dav_incidence_num,20200321,,20201030,223,24.428571428571,,
dc,confirmed_7dav_incidence_num,20200321,,20201014,207,14,,
de,confirmed_7dav_incidence_num,20200321,,20201030,223,5.5714285714286,,
fl,confirmed_7dav_incidence_num,20200321,,20201030,223,98.142857142857,,
ga,confirmed_7dav_incidence_num,20200321,,20201030,223,68.857142857143,,
hi,confirmed_7dav_incidence_num,20200321,,20201030,223,4.5714285714286,,
ia,confirmed_7dav_incidence_num,20200321,,20201030,223,7.4285714285714,,
id,confirmed_7dav_incidence_num,20200321,,20201030,223,5.7142857142857,,
il,confirmed_7dav_incidence_num,20200321,,20201030,223,98.428571428571,,
in,confirmed_7dav_incidence_num,20200321,,20201014,207,16,,
ks,confirmed_7dav_incidence_num,20200321,,20201014,207,7,,
ky,confirmed_7dav_incidence_num,20200321,,20201030,223,10.142857142857,,
la,confirmed_7dav_incidence_num,20200321,,20201014,207,98,,
ma,confirmed_7dav_incidence_num,20200321,,20201030,223,244.42857142857,,
md,confirmed_7dav_incidence_num,20200321,,20201030,223,23.714285714286,,
me,confirmed_7dav_incidence_num,20200321,,20201030,223,9.5714285714286,,
mi,confirmed_7dav_incidence_num,20200321,,20201030,223,84.142857142857,,
mn,confirmed_7dav_incidence_num,20200321,,20201030,223,16.142857142857,,
mo,confirmed_7dav_incidence_num,20200321,,20201030,223,12.142857142857,,
ms,confirmed_7dav_incidence_num,20200321,,20201030,223,19.142857142857,,
mt,confirmed_7dav_incidence_num,20200321,,20201030,223,3.1428571428571,,
nc,confirmed_7dav_incidence_num,20200321,,20201030,223,36.428571428571,,
nd,confirmed_7dav_incidence_num,20200321,,20201030,223,3.8571428571429,,
ne,confirmed_7dav_incidence_num,20200321,,20201030,223,2.8571428571429,,
nh,confirmed_7dav_incidence_num,20200321,,20201030,223,7.7142857142857,,
nj,confirmed_7dav_incidence_num,20200321,,20201030,223,179.71428571429,,
nm,confirmed_7dav_incidence_num,20200321,,20201014,207,6,,
nv,confirmed_7dav_incidence_num,20200321,,20201030,223,20.142857142857,,
ny,confirmed_7dav_incidence_num,20200321,,20201030,223,1407.5714285714,,
oh,confirmed_7dav_incidence_num,20200321,,20201030,223,31.571428571429,,
ok,confirmed_7dav_incidence_num,20200321,,20201014,207,7,,
or,confirmed_7dav_incidence_num,20200321,,20201030,223,14.428571428571,,
pa,confirmed_7dav_incidence_num,20200321,,20201030,223,50.285714285714,,
pr,confirmed_7dav_incidence_num,20200321,,20201014,207,3,,
ri,confirmed_7dav_incidence_num,20200321,,20201030,223,6.5714285714286,,
sc,confirmed_7dav_incidence_num,20200321,,20201030,223,22.142857142857,,
sd,confirmed_7dav_incidence_num,20200321,,20201030,223,0.85714285714286,,
tn,confirmed_7dav_incidence_num,20200321,,20201030,223,38.857142857143,,
tx,confirmed_7dav_incidence_num,20200321,,20201030,223,74.571428571429,,
ut,confirmed_7dav_incidence_num,20200321,,20201030,223,15.428571428571,,
va,confirmed_7dav_incidence_num,20200321,,20201030,223,17.142857142857,,
vt,confirmed_7dav_incidence_num,20200321,,20201030,223,6.2857142857143,,
wa,confirmed_7dav_incidence_num,20200321,,20201030,223,164.42857142857,,
wi,confirmed_7dav_incidence_num,20200321,,20201030,223,36.428571428571,,
wv,confirmed_7dav_incidence_num,20200321,,20201030,223,1.7142857142857,,
wy,confirmed_7dav_incidence_num,20200321,,20201014,207,3,,
