geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200324,,20201014,204,0,,
al,deaths_7dav_incidence_num,20200324,,20201014,204,0,,
ar,deaths_7dav_incidence_num,20200324,,20201030,220,0.28571428571429,,
az,deaths_7dav_incidence_num,20200324,,20201030,220,0.71428571428571,,
ca,deaths_7dav_incidence_num,20200324,,20201030,220,5.4285714285714,,
co,deaths_7dav_incidence_num,20200324,,20201030,220,1.1428571428571,,
ct,deaths_7dav_incidence_num,20200324,,20201030,220,1.7142857142857,,
dc,deaths_7dav_incidence_num,20200324,,20201030,220,0.28571428571429,,
de,deaths_7dav_incidence_num,20200324,,20201014,204,0,,
fl,deaths_7dav_incidence_num,20200324,,20201030,220,1.8571428571429,,
ga,deaths_7dav_incidence_num,20200324,,20201030,220,4.4285714285714,,
hi,deaths_7dav_incidence_num,20200324,,20201030,220,0.14285714285714,,
ia,deaths_7dav_incidence_num,20200324,,20201014,204,0,,
id,deaths_7dav_incidence_num,20200324,,20201014,204,0,,
il,deaths_7dav_incidence_num,20200324,,20201030,220,2.1428571428571,,
in,deaths_7dav_incidence_num,20200324,,20201030,220,1.4285714285714,,
ks,deaths_7dav_incidence_num,20200324,,20201030,220,0.14285714285714,,
ky,deaths_7dav_incidence_num,20200324,,20201030,220,0.42857142857143,,
la,deaths_7dav_incidence_num,20200324,,20201014,204,6,,
ma,deaths_7dav_incidence_num,20200324,,20201030,220,1.5714285714286,,
md,deaths_7dav_incidence_num,20200324,,20201030,220,0.57142857142857,,
me,deaths_7dav_incidence_num,20200324,,20201014,204,0,,
mi,deaths_7dav_incidence_num,20200324,,20201030,220,4.2857142857143,,
mn,deaths_7dav_incidence_num,20200324,,20201030,220,0.14285714285714,,
mo,deaths_7dav_incidence_num,20200324,,20201030,220,1.1428571428571,,
ms,deaths_7dav_incidence_num,20200324,,20201030,220,0.14285714285714,,
mt,deaths_7dav_incidence_num,20200324,,20201014,204,0,,
nc,deaths_7dav_incidence_num,20200324,,20201014,204,0,,
nd,deaths_7dav_incidence_num,20200324,,20201014,204,0,,
ne,deaths_7dav_incidence_num,20200324,,20201014,204,0,,
nh,deaths_7dav_incidence_num,20200324,,20201030,220,0.14285714285714,,
nj,deaths_7dav_incidence_num,20200324,,20201014,204,8,,
nm,deaths_7dav_incidence_num,20200324,,20201014,204,0,,
nv,deaths_7dav_incidence_num,20200324,,20201030,220,0.42857142857143,,
ny,deaths_7dav_incidence_num,20200324,,20201030,220,62.857142857143,,
oh,deaths_7dav_incidence_num,20200324,,20201030,220,1.1428571428571,,
ok,deaths_7dav_incidence_num,20200324,,20201030,220,0.42857142857143,,
or,deaths_7dav_incidence_num,20200324,,20201014,204,1,,
pa,deaths_7dav_incidence_num,20200324,,20201030,220,1.1428571428571,,
pr,deaths_7dav_incidence_num,20200324,,20201030,220,0.28571428571429,,
ri,deaths_7dav_incidence_num,20200324,,20201030,220,0.14285714285714,,
sc,deaths_7dav_incidence_num,20200324,,20201030,220,0.57142857142857,,
sd,deaths_7dav_incidence_num,20200324,,20201014,204,0,,
tn,deaths_7dav_incidence_num,20200324,,20201030,220,0.28571428571429,,
tx,deaths_7dav_incidence_num,20200324,,20201014,204,2,,
ut,deaths_7dav_incidence_num,20200324,,20201030,220,0.14285714285714,,
va,deaths_7dav_incidence_num,20200324,,20201014,204,1,,
vt,deaths_7dav_incidence_num,20200324,,20201014,204,1,,
wa,deaths_7dav_incidence_num,20200324,,20201030,220,8.7142857142857,,
wi,deaths_7dav_incidence_num,20200324,,20201030,220,0.71428571428571,,
wv,deaths_7dav_incidence_num,20200324,,20201014,204,0,,
wy,deaths_7dav_incidence_num,20200324,,20201014,204,0,,
