geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200726,,20201030,96,121.28571428571,,
al,confirmed_7dav_incidence_num,20200726,,20201030,96,1754.7142857143,,
ar,confirmed_7dav_incidence_num,20200726,,20201030,96,770.71428571429,,
az,confirmed_7dav_incidence_num,20200726,,20201030,96,2627.1428571429,,
ca,confirmed_7dav_incidence_num,20200726,,20201030,96,9340.2857142857,,
co,confirmed_7dav_incidence_num,20200726,,20201030,96,599.14285714286,,
ct,confirmed_7dav_incidence_num,20200726,,20201030,96,126.14285714286,,
dc,confirmed_7dav_incidence_num,20200726,,20201030,96,74.142857142857,,
de,confirmed_7dav_incidence_num,20200726,,20201030,96,110.14285714286,,
fl,confirmed_7dav_incidence_num,20200726,,20201014,80,10544,,
ga,confirmed_7dav_incidence_num,20200726,,20201030,96,3546.2857142857,,
hi,confirmed_7dav_incidence_num,20200726,,20201030,96,43.142857142857,,
ia,confirmed_7dav_incidence_num,20200726,,20201030,96,506.28571428571,,
id,confirmed_7dav_incidence_num,20200726,,20201014,80,472,,
il,confirmed_7dav_incidence_num,20200726,,20201030,96,1416.1428571429,,
in,confirmed_7dav_incidence_num,20200726,,20201030,96,828.71428571429,,
ks,confirmed_7dav_incidence_num,20200726,,20201030,96,470.57142857143,,
ky,confirmed_7dav_incidence_num,20200726,,20201030,96,560.14285714286,,
la,confirmed_7dav_incidence_num,20200726,,20201030,96,2266.8571428571,,
ma,confirmed_7dav_incidence_num,20200726,,20201014,80,255,,
md,confirmed_7dav_incidence_num,20200726,,20201030,96,802.42857142857,,
me,confirmed_7dav_incidence_num,20200726,,20201030,96,18.142857142857,,
mi,confirmed_7dav_incidence_num,20200726,,20201014,80,684,,
mn,confirmed_7dav_incidence_num,20200726,,20201014,80,707,,
mo,confirmed_7dav_incidence_num,20200726,,20201030,96,1234.1428571429,,
ms,confirmed_7dav_incidence_num,20200726,,20201030,96,1359.4285714286,,
mt,confirmed_7dav_incidence_num,20200726,,20201030,96,115.42857142857,,
nc,confirmed_7dav_incidence_num,20200726,,20201030,96,1986.1428571429,,
nd,confirmed_7dav_incidence_num,20200726,,20201030,96,122.42857142857,,
ne,confirmed_7dav_incidence_num,20200726,,20201030,96,290.71428571429,,
nh,confirmed_7dav_incidence_num,20200726,,20201030,96,33.285714285714,,
nj,confirmed_7dav_incidence_num,20200726,,20201030,96,368.57142857143,,
nm,confirmed_7dav_incidence_num,20200726,,20201030,96,295.85714285714,,
nv,confirmed_7dav_incidence_num,20200726,,20201030,96,1011.1428571429,,
ny,confirmed_7dav_incidence_num,20200726,,20201030,96,704.14285714286,,
oh,confirmed_7dav_incidence_num,20200726,,20201030,96,1305.8571428571,,
ok,confirmed_7dav_incidence_num,20200726,,20201030,96,859.85714285714,,
or,confirmed_7dav_incidence_num,20200726,,20201030,96,311.28571428571,,
pa,confirmed_7dav_incidence_num,20200726,,20201030,96,908.71428571429,,
pr,confirmed_7dav_incidence_num,20200726,,20201110,107,206.42857142857,,
ri,confirmed_7dav_incidence_num,20200726,,20201030,96,61.571428571429,,
sc,confirmed_7dav_incidence_num,20200726,,20201030,96,1601.8571428571,,
sd,confirmed_7dav_incidence_num,20200726,,20201030,96,68.857142857143,,
tn,confirmed_7dav_incidence_num,20200726,,20201030,96,2260.1428571429,,
tx,confirmed_7dav_incidence_num,20200726,,20201030,96,8403.8571428571,,
ut,confirmed_7dav_incidence_num,20200726,,20201030,96,550.85714285714,,
va,confirmed_7dav_incidence_num,20200726,,20201030,96,1019.5714285714,,
vt,confirmed_7dav_incidence_num,20200726,,20201030,96,7.1428571428571,,
wa,confirmed_7dav_incidence_num,20200726,,20201030,96,812.71428571429,,
wi,confirmed_7dav_incidence_num,20200726,,20201030,96,930.28571428571,,
wv,confirmed_7dav_incidence_num,20200726,,20201030,96,128.42857142857,,
wy,confirmed_7dav_incidence_num,20200726,,20201030,96,49.857142857143,,
