geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
al,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
ar,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
az,confirmed_7dav_incidence_num,20200309,,20201030,235,0.42857142857143,,
ca,confirmed_7dav_incidence_num,20200309,,20201030,235,11.428571428571,,
co,confirmed_7dav_incidence_num,20200309,,20201030,235,1.7142857142857,,
ct,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
dc,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
de,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
fl,confirmed_7dav_incidence_num,20200309,,20201030,235,1.7142857142857,,
ga,confirmed_7dav_incidence_num,20200309,,20201030,235,1.4285714285714,,
hi,confirmed_7dav_incidence_num,20200309,,20201030,235,0.14285714285714,,
ia,confirmed_7dav_incidence_num,20200309,,20201030,235,0.42857142857143,,
id,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
il,confirmed_7dav_incidence_num,20200309,,20201030,235,0.42857142857143,,
in,confirmed_7dav_incidence_num,20200309,,20201030,235,0.42857142857143,,
ks,confirmed_7dav_incidence_num,20200309,,20201030,235,0.14285714285714,,
ky,confirmed_7dav_incidence_num,20200309,,20201030,235,0.57142857142857,,
la,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
ma,confirmed_7dav_incidence_num,20200309,,20201030,235,13.285714285714,,
md,confirmed_7dav_incidence_num,20200309,,20201030,235,0.71428571428571,,
me,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
mi,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
mn,confirmed_7dav_incidence_num,20200309,,20201030,235,0.28571428571429,,
mo,confirmed_7dav_incidence_num,20200309,,20201030,235,0.14285714285714,,
ms,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
mt,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
nc,confirmed_7dav_incidence_num,20200309,,20201030,235,0.85714285714286,,
nd,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
ne,confirmed_7dav_incidence_num,20200309,,20201030,235,0.42857142857143,,
nh,confirmed_7dav_incidence_num,20200309,,20201030,235,0.42857142857143,,
nj,confirmed_7dav_incidence_num,20200309,,20201030,235,0.71428571428571,,
nm,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
nv,confirmed_7dav_incidence_num,20200309,,20201030,235,0.57142857142857,,
ny,confirmed_7dav_incidence_num,20200309,,20201030,235,19.714285714286,,
oh,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
ok,confirmed_7dav_incidence_num,20200309,,20201030,235,0.14285714285714,,
or,confirmed_7dav_incidence_num,20200309,,20201030,235,1.5714285714286,,
pa,confirmed_7dav_incidence_num,20200309,,20201014,219,1,,
pr,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
ri,confirmed_7dav_incidence_num,20200309,,20201030,235,0.14285714285714,,
sc,confirmed_7dav_incidence_num,20200309,,20201030,235,0.42857142857143,,
sd,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
tn,confirmed_7dav_incidence_num,20200309,,20201030,235,0.42857142857143,,
tx,confirmed_7dav_incidence_num,20200309,,20201030,235,1.8571428571429,,
ut,confirmed_7dav_incidence_num,20200309,,20201030,235,0.14285714285714,,
va,confirmed_7dav_incidence_num,20200309,,20201030,235,0.28571428571429,,
vt,confirmed_7dav_incidence_num,20200309,,20201030,235,0.14285714285714,,
wa,confirmed_7dav_incidence_num,20200309,,20201030,235,14.857142857143,,
wi,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
wv,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
wy,confirmed_7dav_incidence_num,20200309,,20201014,219,0,,
