geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200617,,20201030,135,19.571428571429,,
al,confirmed_7dav_incidence_num,20200617,,20201030,135,760.42857142857,,
ar,confirmed_7dav_incidence_num,20200617,,20201030,135,462.57142857143,,
az,confirmed_7dav_incidence_num,20200617,,20201030,135,1583.5714285714,,
ca,confirmed_7dav_incidence_num,20200617,,20201030,135,3297.5714285714,,
co,confirmed_7dav_incidence_num,20200617,,20201030,135,167.42857142857,,
ct,confirmed_7dav_incidence_num,20200617,,20201030,135,154.57142857143,,
dc,confirmed_7dav_incidence_num,20200617,,20201030,135,44.285714285714,,
de,confirmed_7dav_incidence_num,20200617,,20201030,135,55.428571428571,,
fl,confirmed_7dav_incidence_num,20200617,,20201030,135,2192.5714285714,,
ga,confirmed_7dav_incidence_num,20200617,,20201030,135,864.28571428571,,
hi,confirmed_7dav_incidence_num,20200617,,20201030,135,8.4285714285714,,
ia,confirmed_7dav_incidence_num,20200617,,20201014,119,262,,
id,confirmed_7dav_incidence_num,20200617,,20201030,135,53.142857142857,,
il,confirmed_7dav_incidence_num,20200617,,20201030,135,621.14285714286,,
in,confirmed_7dav_incidence_num,20200617,,20201030,135,382.28571428571,,
ks,confirmed_7dav_incidence_num,20200617,,20201030,135,127.71428571429,,
ky,confirmed_7dav_incidence_num,20200617,,20201030,135,158.85714285714,,
la,confirmed_7dav_incidence_num,20200617,,20201030,135,657.71428571429,,
ma,confirmed_7dav_incidence_num,20200617,,20201030,135,199.85714285714,,
md,confirmed_7dav_incidence_num,20200617,,20201030,135,500.57142857143,,
me,confirmed_7dav_incidence_num,20200617,,20201030,135,28.428571428571,,
mi,confirmed_7dav_incidence_num,20200617,,20201030,135,195.42857142857,,
mn,confirmed_7dav_incidence_num,20200617,,20201030,135,346.71428571429,,
mo,confirmed_7dav_incidence_num,20200617,,20201030,135,187.85714285714,,
ms,confirmed_7dav_incidence_num,20200617,,20201030,135,308.28571428571,,
mt,confirmed_7dav_incidence_num,20200617,,20201030,135,9.8571428571429,,
nc,confirmed_7dav_incidence_num,20200617,,20201030,135,1255.7142857143,,
nd,confirmed_7dav_incidence_num,20200617,,20201030,135,32.142857142857,,
ne,confirmed_7dav_incidence_num,20200617,,20201030,135,167.57142857143,,
nh,confirmed_7dav_incidence_num,20200617,,20201030,135,36.857142857143,,
nj,confirmed_7dav_incidence_num,20200617,,20201030,135,336.71428571429,,
nm,confirmed_7dav_incidence_num,20200617,,20201030,135,116.42857142857,,
nv,confirmed_7dav_incidence_num,20200617,,20201030,135,233.71428571429,,
ny,confirmed_7dav_incidence_num,20200617,,20201030,135,712.28571428571,,
oh,confirmed_7dav_incidence_num,20200617,,20201030,135,406.71428571429,,
ok,confirmed_7dav_incidence_num,20200617,,20201014,119,203,,
or,confirmed_7dav_incidence_num,20200617,,20201030,135,165.42857142857,,
pa,confirmed_7dav_incidence_num,20200617,,20201030,135,424.71428571429,,
pr,confirmed_7dav_incidence_num,20200617,,20201110,146,13.714285714286,,
ri,confirmed_7dav_incidence_num,20200617,,20201030,135,65.285714285714,,
sc,confirmed_7dav_incidence_num,20200617,,20201030,135,685.28571428571,,
sd,confirmed_7dav_incidence_num,20200617,,20201030,135,63.142857142857,,
tn,confirmed_7dav_incidence_num,20200617,,20201030,135,597.71428571429,,
tx,confirmed_7dav_incidence_num,20200617,,20201030,135,2417.4285714286,,
ut,confirmed_7dav_incidence_num,20200617,,20201030,135,354.28571428571,,
va,confirmed_7dav_incidence_num,20200617,,20201014,119,514,,
vt,confirmed_7dav_incidence_num,20200617,,20201014,119,5,,
wa,confirmed_7dav_incidence_num,20200617,,20201030,135,347.14285714286,,
wi,confirmed_7dav_incidence_num,20200617,,20201030,135,266.14285714286,,
wv,confirmed_7dav_incidence_num,20200617,,20201014,119,26,,
wy,confirmed_7dav_incidence_num,20200617,,20201030,135,19.142857142857,,
