geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200312,,20201014,216,0,,
al,confirmed_7dav_incidence_num,20200312,,20201014,216,0,,
ar,confirmed_7dav_incidence_num,20200312,,20201014,216,0,,
az,confirmed_7dav_incidence_num,20200312,,20201030,232,1.1428571428571,,
ca,confirmed_7dav_incidence_num,20200312,,20201030,232,24.285714285714,,
co,confirmed_7dav_incidence_num,20200312,,20201030,232,6.7142857142857,,
ct,confirmed_7dav_incidence_num,20200312,,20201030,232,0.71428571428571,,
dc,confirmed_7dav_incidence_num,20200312,,20201014,216,0,,
de,confirmed_7dav_incidence_num,20200312,,20201030,232,0.14285714285714,,
fl,confirmed_7dav_incidence_num,20200312,,20201030,232,3.8571428571429,,
ga,confirmed_7dav_incidence_num,20200312,,20201030,232,4.1428571428571,,
hi,confirmed_7dav_incidence_num,20200312,,20201030,232,0.28571428571429,,
ia,confirmed_7dav_incidence_num,20200312,,20201014,216,2,,
id,confirmed_7dav_incidence_num,20200312,,20201014,216,0,,
il,confirmed_7dav_incidence_num,20200312,,20201030,232,3.8571428571429,,
in,confirmed_7dav_incidence_num,20200312,,20201030,232,1.8571428571429,,
ks,confirmed_7dav_incidence_num,20200312,,20201030,232,0.57142857142857,,
ky,confirmed_7dav_incidence_num,20200312,,20201030,232,1.4285714285714,,
la,confirmed_7dav_incidence_num,20200312,,20201030,232,2.7142857142857,,
ma,confirmed_7dav_incidence_num,20200312,,20201014,216,21,,
md,confirmed_7dav_incidence_num,20200312,,20201030,232,1.7142857142857,,
me,confirmed_7dav_incidence_num,20200312,,20201030,232,0.14285714285714,,
mi,confirmed_7dav_incidence_num,20200312,,20201030,232,0.42857142857143,,
mn,confirmed_7dav_incidence_num,20200312,,20201030,232,1.2857142857143,,
mo,confirmed_7dav_incidence_num,20200312,,20201030,232,0.14285714285714,,
ms,confirmed_7dav_incidence_num,20200312,,20201030,232,0.14285714285714,,
mt,confirmed_7dav_incidence_num,20200312,,20201014,216,0,,
nc,confirmed_7dav_incidence_num,20200312,,20201030,232,2.2857142857143,,
nd,confirmed_7dav_incidence_num,20200312,,20201030,232,0.14285714285714,,
ne,confirmed_7dav_incidence_num,20200312,,20201030,232,1.4285714285714,,
nh,confirmed_7dav_incidence_num,20200312,,20201030,232,0.57142857142857,,
nj,confirmed_7dav_incidence_num,20200312,,20201030,232,3.8571428571429,,
nm,confirmed_7dav_incidence_num,20200312,,20201030,232,0.71428571428571,,
nv,confirmed_7dav_incidence_num,20200312,,20201030,232,1.2857142857143,,
ny,confirmed_7dav_incidence_num,20200312,,20201030,232,39.285714285714,,
oh,confirmed_7dav_incidence_num,20200312,,20201030,232,0.71428571428571,,
ok,confirmed_7dav_incidence_num,20200312,,20201030,232,0.42857142857143,,
or,confirmed_7dav_incidence_num,20200312,,20201014,216,3,,
pa,confirmed_7dav_incidence_num,20200312,,20201030,232,3.1428571428571,,
pr,confirmed_7dav_incidence_num,20200312,,20201014,216,0,,
ri,confirmed_7dav_incidence_num,20200312,,20201030,232,0.14285714285714,,
sc,confirmed_7dav_incidence_num,20200312,,20201014,216,1,,
sd,confirmed_7dav_incidence_num,20200312,,20201014,216,1,,
tn,confirmed_7dav_incidence_num,20200312,,20201030,232,2.4285714285714,,
tx,confirmed_7dav_incidence_num,20200312,,20201030,232,3.4285714285714,,
ut,confirmed_7dav_incidence_num,20200312,,20201030,232,0.42857142857143,,
va,confirmed_7dav_incidence_num,20200312,,20201030,232,1.7142857142857,,
vt,confirmed_7dav_incidence_num,20200312,,20201030,232,0.28571428571429,,
wa,confirmed_7dav_incidence_num,20200312,,20201030,232,53.142857142857,,
wi,confirmed_7dav_incidence_num,20200312,,20201030,232,1.1428571428571,,
wv,confirmed_7dav_incidence_num,20200312,,20201014,216,0,,
wy,confirmed_7dav_incidence_num,20200312,,20201030,232,0.14285714285714,,
