geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
01000,smoothed_cli,20200501,,20200903,125,0.8254101,0.1360033,1722.4551
01001,smoothed_cli,20200501,,20200903,125,1.2994255,0.9671356,115.8025
01003,smoothed_cli,20200501,,20200903,125,0.6965968,0.3247531,584.3194
01015,smoothed_cli,20200501,,20200903,125,0.4282713,0.5485655,122.5577
01031,smoothed_cli,20200501,,20200903,125,0.0255788,0.3608268,114.8318
01045,smoothed_cli,20200501,,20200903,125,1.0495589,0.7086324,110.6544
01051,smoothed_cli,20200501,,20200903,125,1.5783991,0.7586146,150.9473
01069,smoothed_cli,20200501,,20200903,125,1.6789546,0.7553781,241.4884
01071,smoothed_cli,20200501,,20200903,125,2.1313118,1.3327797,111.9152
01073,smoothed_cli,20200501,,20200903,125,0.3698143,0.1969054,487.8051
01081,smoothed_cli,20200501,,20200903,125,0.1635862,0.2685344,179.5997
01083,smoothed_cli,20200501,,20200903,125,0.7723369,0.44956,221.2541
01089,smoothed_cli,20200501,,20200903,125,0.6847264,0.2460536,1012.3602
01095,smoothed_cli,20200501,,20200903,125,0.0723932,0.3021546,144.7334
01097,smoothed_cli,20200501,,20200903,125,0.4825947,0.1970107,915.0967
01101,smoothed_cli,20200501,,20200903,125,0.7540644,0.3596729,401.9671
01103,smoothed_cli,20200501,,20200903,125,0.1642211,0.2787059,207.1987
01113,smoothed_cli,20200501,,20200903,125,0.0062122,0.337,121.6719
01117,smoothed_cli,20200501,,20200903,125,0.4629294,0.5062367,190.9493
01125,smoothed_cli,20200501,,20200903,125,0.5795681,0.2728775,382.6357
02000,smoothed_cli,20200501,,20200903,125,0.3523608,0.2696995,332.077
02020,smoothed_cli,20200501,,20200903,125,0.4643405,0.2504194,681.9692
02090,smoothed_cli,20200501,,20200903,125,1.2673962,0.769852,209.9538
02122,smoothed_cli,20200501,,20200903,125,0.7675439,0.7340095,152
02170,smoothed_cli,20200501,,20200903,125,0.173913,0.2763683,230
04000,smoothed_cli,20200501,,20200903,125,1.380095,0.5675912,322.2513
04003,smoothed_cli,20200501,,20200903,125,0.7528477,0.4268085,379.3306
04005,smoothed_cli,20200501,,20200903,125,0,0.3576059,131.7965
04013,smoothed_cli,20200501,,20200903,125,0.581274,0.0830905,6239.5066
04015,smoothed_cli,20200501,,20200903,125,1.2061743,0.6708165,230.6921
04019,smoothed_cli,20200501,,20200903,125,0.4384282,0.1061911,2813.0198
04021,smoothed_cli,20200501,,20200903,125,0.5114979,0.1889394,719.3728
04025,smoothed_cli,20200501,,20200903,125,0.7633197,0.5049316,251.0865
04027,smoothed_cli,20200501,,20200903,125,0,0.3703938,133.9025
05000,smoothed_cli,20200501,,20200903,125,0.9238811,0.1375725,1680.9724
05005,smoothed_cli,20200501,,20200903,125,0.2111304,0.4878095,110.505
05007,smoothed_cli,20200501,,20200903,125,0.8827166,0.3212912,638.2362
05031,smoothed_cli,20200501,,20200903,125,1.5275891,0.616864,243.3984
05033,smoothed_cli,20200501,,20200903,125,0.9144021,0.6828989,124.7963
05045,smoothed_cli,20200501,,20200903,125,0.3179225,0.4333841,153.2832
05051,smoothed_cli,20200501,,20200903,125,0.7334086,0.6146662,135.6052
05055,smoothed_cli,20200501,,20200903,125,0.8433113,0.7511684,105.0479
05085,smoothed_cli,20200501,,20200903,125,0.9288266,1.0011959,105.729
05119,smoothed_cli,20200501,,20200903,125,0.3878621,0.2532541,485.896
05125,smoothed_cli,20200501,,20200903,125,0.6127012,0.6415276,165.8626
05131,smoothed_cli,20200501,,20200903,125,0.4911142,0.3122303,299.7706
05143,smoothed_cli,20200501,,20200903,125,0.3733266,0.2233388,569.5129
05145,smoothed_cli,20200501,,20200903,125,2.1765599,1.4318953,102.867
06000,smoothed_cli,20200501,,20200903,125,0.4611303,0.201675,730.0282
06001,smoothed_cli,20200501,,20200903,125,0.231463,0.0909811,2304.2826
06007,smoothed_cli,20200501,,20200903,125,0.1889749,0.1410181,690.4888
06009,smoothed_cli,20200501,,20200903,125,0.299956,0.4191353,166.6228
06013,smoothed_cli,20200501,,20200903,125,0.2683976,0.0903601,2579.3455
06015,smoothed_cli,20200501,,20200903,125,0.7009346,0.8283197,107
06017,smoothed_cli,20200501,,20200903,125,1.5832734,0.6969629,235.7878
06019,smoothed_cli,20200501,,20200903,125,0.2627675,0.0966885,2038.2965
06023,smoothed_cli,20200501,,20200903,125,0.4149176,0.253888,463.9448
06025,smoothed_cli,20200501,,20200903,125,0.472004,0.6109788,119.8142
06029,smoothed_cli,20200501,,20200903,125,0.2835946,0.0852566,1786.4086
06031,smoothed_cli,20200501,,20200903,125,0.4764339,0.3290945,297.7948
06033,smoothed_cli,20200501,,20200903,125,0,0.2366973,209.272
06037,smoothed_cli,20200501,,20200903,125,0.4770214,0.0720108,7127.3641
06039,smoothed_cli,20200501,,20200903,125,0.6510818,0.4150974,332.1116
06041,smoothed_cli,20200501,,20200903,125,0.5105892,0.3693966,399.1828
06045,smoothed_cli,20200501,,20200903,125,0.5732276,0.390896,289.3164
06047,smoothed_cli,20200501,,20200903,125,0.7670381,0.3516614,525.7872
06053,smoothed_cli,20200501,,20200903,125,0.2547427,0.1509852,831.7125
06055,smoothed_cli,20200501,,20200903,125,0.1517634,0.212741,327.9521
06057,smoothed_cli,20200501,,20200903,125,0,0.2366916,197.4785
06059,smoothed_cli,20200501,,20200903,125,0.3743575,0.1035144,2605.3523
06061,smoothed_cli,20200501,,20200903,125,0.5167154,0.3155771,512.4636
06065,smoothed_cli,20200501,,20200903,125,0.2933942,0.0942468,2541.2193
06067,smoothed_cli,20200501,,20200903,125,0.5050028,0.1508479,1715.6588
06071,smoothed_cli,20200501,,20200903,125,0.5112733,0.1512344,1709.4321
06073,smoothed_cli,20200501,,20200903,125,0.3367884,0.0903161,3232.2077
06075,smoothed_cli,20200501,,20200903,125,0.3388554,0.1592871,1328
06077,smoothed_cli,20200501,,20200903,125,0.4679898,0.1597424,1379.2039
06079,smoothed_cli,20200501,,20200903,125,0.4024686,0.2061263,797.3523
06081,smoothed_cli,20200501,,20200903,125,0.2263366,0.0893642,1802.8054
06083,smoothed_cli,20200501,,20200903,125,0.7011392,0.2545555,969.5986
06085,smoothed_cli,20200501,,20200903,125,0.2416397,0.0777855,2736.2277
06087,smoothed_cli,20200501,,20200903,125,0.3350408,0.2088388,715.5763
06089,smoothed_cli,20200501,,20200903,125,0.440123,0.245804,656.8309
06093,smoothed_cli,20200501,,20200903,125,0,0.3081082,159.1911
06095,smoothed_cli,20200501,,20200903,125,0.2250235,0.1187619,960.8871
06097,smoothed_cli,20200501,,20200903,125,0.2261982,0.1172413,1394.3383
06099,smoothed_cli,20200501,,20200903,125,0.3613151,0.1495582,1255.4118
06101,smoothed_cli,20200501,,20200903,125,0,0.4683379,102.7179
06103,smoothed_cli,20200501,,20200903,125,1.1611705,0.8498277,167.4952
06107,smoothed_cli,20200501,,20200903,125,0.3468561,0.1580966,882.8779
06109,smoothed_cli,20200501,,20200903,125,0.2643716,0.3674755,188.4048
06111,smoothed_cli,20200501,,20200903,125,0.3001952,0.0954046,2061.334
06113,smoothed_cli,20200501,,20200903,125,0,0.2070787,235.5594
08000,smoothed_cli,20200501,,20200903,125,0.7632984,0.1724936,1189.0479
08001,smoothed_cli,20200501,,20200903,125,0.8346875,0.3149815,513.8015
08005,smoothed_cli,20200501,,20200903,125,0.3195023,0.1670115,640.59
08013,smoothed_cli,20200501,,20200903,125,0.7420513,0.2337286,881.2285
08031,smoothed_cli,20200501,,20200903,125,0.8722058,0.306501,738.9254
08035,smoothed_cli,20200501,,20200903,125,0.3798605,0.2609874,357.0462
08041,smoothed_cli,20200501,,20200903,125,0.4624363,0.1304699,2113.3022
08043,smoothed_cli,20200501,,20200903,125,0.5792366,0.708561,113.6714
08045,smoothed_cli,20200501,,20200903,125,1.2172218,0.9277391,135.9305
08059,smoothed_cli,20200501,,20200903,125,0.8102682,0.2891752,660.783
08069,smoothed_cli,20200501,,20200903,125,0.6040892,0.196115,1089.4149
08077,smoothed_cli,20200501,,20200903,125,0.3989056,0.2940826,417.7998
08085,smoothed_cli,20200501,,20200903,125,0.4827993,0.5911243,110.564
08101,smoothed_cli,20200501,,20200903,125,0.3614417,0.2391131,414.7451
08123,smoothed_cli,20200501,,20200903,125,0.8348547,0.2564019,729.0437
09001,smoothed_cli,20200501,,20200903,125,0.6590944,0.1607262,1910.8248
09003,smoothed_cli,20200501,,20200903,125,0.5943387,0.1493548,2194.2384
09005,smoothed_cli,20200501,,20200903,125,0.6060411,0.2685928,546.22
09007,smoothed_cli,20200501,,20200903,125,0.3154151,0.2305876,520.9095
09009,smoothed_cli,20200501,,20200903,125,0.4248075,0.1144452,2023.7168
09011,smoothed_cli,20200501,,20200903,125,0.2907224,0.1692328,802.4201
09013,smoothed_cli,20200501,,20200903,125,0.2264471,0.172379,437.1044
09015,smoothed_cli,20200501,,20200903,125,0.6851183,0.3866797,350.566
10001,smoothed_cli,20200501,,20200903,125,0.4450536,0.2720783,465.2085
10003,smoothed_cli,20200501,,20200903,125,0.4866453,0.1547465,1481.3364
10005,smoothed_cli,20200501,,20200903,125,0.8791154,0.3040934,698.4697
11001,smoothed_cli,20200501,,20200903,125,0.5422315,0.2621748,685
12000,smoothed_cli,20200501,,20200903,125,0.6339079,0.1757776,832.5537
12001,smoothed_cli,20200501,,20200903,125,0.3435545,0.1666592,868.9946
12005,smoothed_cli,20200501,,20200903,125,0.5312199,0.2621043,586.6979
12009,smoothed_cli,20200501,,20200903,125,0.6592386,0.247561,781.32
12011,smoothed_cli,20200501,,20200903,125,0.3785385,0.1451891,1519
12015,smoothed_cli,20200501,,20200903,125,0.7834241,0.334539,647.744
12017,smoothed_cli,20200501,,20200903,125,0.1840223,0.1976564,562.9026
12019,smoothed_cli,20200501,,20200903,125,0.6362854,0.3437145,384.424
12021,smoothed_cli,20200501,,20200903,125,0.0920876,0.0779184,940.2775
12023,smoothed_cli,20200501,,20200903,125,1.0807603,0.6934619,187.2241
12031,smoothed_cli,20200501,,20200903,125,0.2586967,0.1185886,1509.4487
12033,smoothed_cli,20200501,,20200903,125,0.4282541,0.1679351,1074.6528
12035,smoothed_cli,20200501,,20200903,125,0.3142824,0.258893,361.0992
12039,smoothed_cli,20200501,,20200903,125,0,0.4950495,100
12053,smoothed_cli,20200501,,20200903,125,0.5354179,0.2597135,636.6805
