geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
01000,smoothed_cli,20200507,,20200903,119,0.3557173,0.0794352,1868.9004
01003,smoothed_cli,20200507,,20200903,119,0.8761711,0.3632423,508.2974
01051,smoothed_cli,20200507,,20200903,119,1.0928934,0.7084379,146.6498
01069,smoothed_cli,20200507,,20200903,119,0.81196,0.5950045,192.2446
01071,smoothed_cli,20200507,,20200903,119,1.7224382,1.2713669,104.6645
01073,smoothed_cli,20200507,,20200903,119,0.7077934,0.3575971,439.7831
01081,smoothed_cli,20200507,,20200903,119,0,0.2709185,159.228
01083,smoothed_cli,20200507,,20200903,119,0.080728,0.2285343,195.5313
01089,smoothed_cli,20200507,,20200903,119,0.5646925,0.2348962,850.7868
01095,smoothed_cli,20200507,,20200903,119,1.0686342,0.7539094,151.6559
01097,smoothed_cli,20200507,,20200903,119,0.2968844,0.1384527,820.3423
01101,smoothed_cli,20200507,,20200903,119,0.5132861,0.335078,363.1419
01103,smoothed_cli,20200507,,20200903,119,1.6429992,0.787264,208.7395
01113,smoothed_cli,20200507,,20200903,119,0.0069784,0.376001,108.1438
01117,smoothed_cli,20200507,,20200903,119,1.2897133,0.7912529,179.136
01125,smoothed_cli,20200507,,20200903,119,0.244543,0.2402352,304.954
02000,smoothed_cli,20200507,,20200903,119,0.6425234,0.3855295,296.9826
02020,smoothed_cli,20200507,,20200903,119,0.3743486,0.2451188,583.9762
02090,smoothed_cli,20200507,,20200903,119,0.8477803,0.6450634,205.8656
02122,smoothed_cli,20200507,,20200903,119,0.4166667,0.5356942,144
02170,smoothed_cli,20200507,,20200903,119,0.0775118,0.3166743,161.1756
04000,smoothed_cli,20200507,,20200903,119,0.5037783,0.3739526,319.4693
04003,smoothed_cli,20200507,,20200903,119,1.0446411,0.5630638,296.4815
04005,smoothed_cli,20200507,,20200903,119,0.2197376,0.4676817,112.7658
04013,smoothed_cli,20200507,,20200903,119,0.3469006,0.066263,5344.41
04015,smoothed_cli,20200507,,20200903,119,1.2671212,0.7521958,236.6921
04019,smoothed_cli,20200507,,20200903,119,0.4930271,0.1272141,2477.954
04021,smoothed_cli,20200507,,20200903,119,0.5456707,0.2522575,670.1151
04025,smoothed_cli,20200507,,20200903,119,0.011326,0.2292791,211.7198
04027,smoothed_cli,20200507,,20200903,119,1.5384615,1.1332942,130
