geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,smoothed_cli,20200502,,20200903,124,0.4590278,0.1595257,1600
al,smoothed_cli,20200502,,20200903,124,0.6161161,0.0774451,7455.2216
ar,smoothed_cli,20200502,,20200903,124,0.7343546,0.1014071,4853.484
az,smoothed_cli,20200502,,20200903,124,0.541032,0.0612866,11094.5355
ca,smoothed_cli,20200502,,20200903,124,0.3426247,0.0222538,51220.2351
co,smoothed_cli,20200502,,20200903,124,0.6054941,0.0656171,10035.1848
ct,smoothed_cli,20200502,,20200903,124,0.4737749,0.0621905,8656
dc,smoothed_cli,20200502,,20200903,124,0.5644811,0.2728723,658
de,smoothed_cli,20200502,,20200903,124,0.6146695,0.1312224,2651.0073
fl,smoothed_cli,20200502,,20200903,124,0.4754155,0.0308597,37605.0008
ga,smoothed_cli,20200502,,20200903,124,0.5425531,0.0515445,14439.8244
hi,smoothed_cli,20200502,,20200903,124,0.240404,0.0854068,2011
ia,smoothed_cli,20200502,,20200903,124,0.5320381,0.0677345,7956.9015
id,smoothed_cli,20200502,,20200903,124,0.4352608,0.0959922,3839.2455
il,smoothed_cli,20200502,,20200903,124,0.4955295,0.0378198,25904.0226
in,smoothed_cli,20200502,,20200903,124,0.5555595,0.056291,11739.0037
ks,smoothed_cli,20200502,,20200903,124,0.4860339,0.0741247,5566.9154
ky,smoothed_cli,20200502,,20200903,124,0.4629217,0.0639325,7167.8762
la,smoothed_cli,20200502,,20200903,124,0.5116687,0.0627967,8789.55
ma,smoothed_cli,20200502,,20200903,124,0.4386021,0.0599333,9383.041
md,smoothed_cli,20200502,,20200903,124,0.4831539,0.0741857,6605.9893
me,smoothed_cli,20200502,,20200903,124,0.464751,0.0981525,4017
mi,smoothed_cli,20200502,,20200903,124,0.4186467,0.0318969,28971.0358
mn,smoothed_cli,20200502,,20200903,124,0.4704487,0.0647909,8370.8644
mo,smoothed_cli,20200502,,20200903,124,0.4470947,0.0617782,8604.4176
ms,smoothed_cli,20200502,,20200903,124,0.4747622,0.0766518,5268.5722
mt,smoothed_cli,20200502,,20200903,124,0.5103266,0.1303354,2639.4882
nc,smoothed_cli,20200502,,20200903,124,0.4337375,0.0397443,20351.0273
nd,smoothed_cli,20200502,,20200903,124,0.4992893,0.1588538,1631.4003
ne,smoothed_cli,20200502,,20200903,124,0.3833046,0.0790234,4178.4764
nh,smoothed_cli,20200502,,20200903,124,0.5505542,0.0998773,3872
nj,smoothed_cli,20200502,,20200903,124,0.6276369,0.059144,13115.9965
nm,smoothed_cli,20200502,,20200903,124,0.4677676,0.1048262,3184.8074
nv,smoothed_cli,20200502,,20200903,124,0.4779534,0.0954873,3790.3862
ny,smoothed_cli,20200502,,20200903,124,0.5700424,0.0357035,33200.0005
oh,smoothed_cli,20200502,,20200903,124,0.4995685,0.0383171,25039.0036
ok,smoothed_cli,20200502,,20200903,124,0.539062,0.0756868,6968.2214
or,smoothed_cli,20200502,,20200903,124,0.4696358,0.0682945,7356.3402
pa,smoothed_cli,20200502,,20200903,124,0.3947739,0.0307095,31344.0168
ri,smoothed_cli,20200502,,20200903,124,0.3967932,0.1095272,2350.959
sc,smoothed_cli,20200502,,20200903,124,0.440265,0.0526221,11164.0078
sd,smoothed_cli,20200502,,20200903,124,0.730414,0.1808081,1869.1987
tn,smoothed_cli,20200502,,20200903,124,0.5678868,0.0635143,10511.1114
tx,smoothed_cli,20200502,,20200903,124,0.4225542,0.0276758,40138.8461
ut,smoothed_cli,20200502,,20200903,124,0.5115329,0.0842466,5187.9835
va,smoothed_cli,20200502,,20200903,124,0.4195554,0.0403595,16793.3438
vt,smoothed_cli,20200502,,20200903,124,0.4417908,0.1498013,1675.0008
wa,smoothed_cli,20200502,,20200903,124,0.466241,0.0533922,12502.8088
wi,smoothed_cli,20200502,,20200903,124,0.3533621,0.0480498,10703.9574
wv,smoothed_cli,20200502,,20200903,124,0.4595497,0.08527,5008.8406
wy,smoothed_cli,20200502,,20200903,124,0.5843162,0.1984488,1370.6695
