geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
01000,smoothed_cli,20200503,,20200903,123,0.6461612,0.1204442,1661.432
01001,smoothed_cli,20200503,,20200903,123,1.3561788,1.0086612,110.8319
01003,smoothed_cli,20200503,,20200903,123,0.8056202,0.3400898,567.2326
01015,smoothed_cli,20200503,,20200903,123,0.4552291,0.6139747,109.059
01031,smoothed_cli,20200503,,20200903,123,0.0270847,0.3783991,109.1526
01045,smoothed_cli,20200503,,20200903,123,0.9693466,0.7440488,104.2357
01051,smoothed_cli,20200503,,20200903,123,1.078545,0.6714107,154.7898
01069,smoothed_cli,20200503,,20200903,123,1.4688437,0.7974016,218.8535
01071,smoothed_cli,20200503,,20200903,123,2.0795665,1.3005534,114.7526
01073,smoothed_cli,20200503,,20200903,123,0.5740414,0.2805325,479.9137
01081,smoothed_cli,20200503,,20200903,123,0.1675101,0.2743262,175.4633
01083,smoothed_cli,20200503,,20200903,123,0.6301495,0.4286883,216.7642
01089,smoothed_cli,20200503,,20200903,123,0.4015443,0.183836,976.4508
01095,smoothed_cli,20200503,,20200903,123,0.8107331,0.7613718,139.2713
01097,smoothed_cli,20200503,,20200903,123,0.3179441,0.156245,902.2372
01101,smoothed_cli,20200503,,20200903,123,0.6967971,0.342942,387.2014
01103,smoothed_cli,20200503,,20200903,123,0.7186311,0.5755366,205.3076
01113,smoothed_cli,20200503,,20200903,123,0.006112,0.3289684,125.7436
01117,smoothed_cli,20200503,,20200903,123,0.4906412,0.4985488,194.1972
01125,smoothed_cli,20200503,,20200903,123,0.5525037,0.2849041,356.3384
02000,smoothed_cli,20200503,,20200903,123,0.7609503,0.3926232,311.0648
02020,smoothed_cli,20200503,,20200903,123,0.3379632,0.2066581,673.9706
02090,smoothed_cli,20200503,,20200903,123,1.6892155,0.8778514,201.8768
02122,smoothed_cli,20200503,,20200903,123,0,0.3311258,150
02170,smoothed_cli,20200503,,20200903,123,0.187676,0.2979691,213.0878
04000,smoothed_cli,20200503,,20200903,123,0.2445706,0.2713765,328.7416
04003,smoothed_cli,20200503,,20200903,123,0.9554645,0.5285281,340.6814
04005,smoothed_cli,20200503,,20200903,123,0,0.3779846,124.2256
04013,smoothed_cli,20200503,,20200903,123,0.5055848,0.0788782,6021.2331
04015,smoothed_cli,20200503,,20200903,123,0.2368019,0.2781355,225.1307
04019,smoothed_cli,20200503,,20200903,123,0.2705398,0.0811765,2746.3744
