geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_incidence_num,20200927,,20201012,15,114,,
al,confirmed_incidence_num,20200927,,20201012,15,730,,
ar,confirmed_incidence_num,20200927,,20201012,15,487,,
az,confirmed_incidence_num,20200927,,20201012,15,409,,
ca,confirmed_incidence_num,20200927,,20201012,15,1680,,
co,confirmed_incidence_num,20200927,,20201012,15,570,,
ct,confirmed_incidence_num,20200927,,20201012,15,0,,
dc,confirmed_incidence_num,20200927,,20201012,15,35,,
de,confirmed_incidence_num,20200927,,20201012,15,104,,
fl,confirmed_incidence_num,20200927,,20201012,15,1878,,
ga,confirmed_incidence_num,20200927,,20201012,15,829,,
hi,confirmed_incidence_num,20200927,,20201012,15,98,,
ia,confirmed_incidence_num,20200927,,20201012,15,804,,
id,confirmed_incidence_num,20200927,,20201012,15,0,,
il,confirmed_incidence_num,20200927,,20201012,15,1597,,
in,confirmed_incidence_num,20200927,,20201012,15,902,,
ks,confirmed_incidence_num,20200927,,20201012,15,0,,
ky,confirmed_incidence_num,20200927,,20201012,15,450,,
la,confirmed_incidence_num,20200927,,20201012,15,895,,
ma,confirmed_incidence_num,20200927,,20201012,15,594,,
md,confirmed_incidence_num,20200927,,20201012,15,428,,
me,confirmed_incidence_num,20200927,,20201012,15,29,,
mi,confirmed_incidence_num,20200927,,20201012,15,0,,
mn,confirmed_incidence_num,20200927,,20201012,15,1075,,
mo,confirmed_incidence_num,20200927,,20201012,15,1285,,
ms,confirmed_incidence_num,20200927,,20201012,15,183,,
mt,confirmed_incidence_num,20200927,,20201012,15,200,,
nc,confirmed_incidence_num,20200927,,20201012,15,1281,,
nd,confirmed_incidence_num,20200927,,20201012,15,343,,
ne,confirmed_incidence_num,20200927,,20201012,15,463,,
nh,confirmed_incidence_num,20200927,,20201012,15,51,,
nj,confirmed_incidence_num,20200927,,20201012,15,698,,
nm,confirmed_incidence_num,20200927,,20201012,15,152,,
nv,confirmed_incidence_num,20200927,,20201012,15,370,,
ny,confirmed_incidence_num,20200927,,20201012,15,866,,
oh,confirmed_incidence_num,20200927,,20201012,15,799,,
ok,confirmed_incidence_num,20200927,,20201012,15,825,,
or,confirmed_incidence_num,20200927,,20201012,15,238,,
pa,confirmed_incidence_num,20200927,,20201012,15,914,,
ri,confirmed_incidence_num,20200927,,20201012,15,0,,
sc,confirmed_incidence_num,20200927,,20201012,15,610,,
sd,confirmed_incidence_num,20200927,,20201012,15,411,,
tn,confirmed_incidence_num,20200927,,20201012,15,2101,,
tx,confirmed_incidence_num,20200927,,20201018,21,4467,,
ut,confirmed_incidence_num,20200927,,20201012,15,1052,,
va,confirmed_incidence_num,20200927,,20201012,15,733,,
vt,confirmed_incidence_num,20200927,,20201012,15,3,,
wa,confirmed_incidence_num,20200927,,20201012,15,440,,
wi,confirmed_incidence_num,20200927,,20201012,15,2247,,
wv,confirmed_incidence_num,20200927,,20201012,15,189,,
wy,confirmed_incidence_num,20200927,,20201012,15,168,,
