geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_incidence_num,20200907,,20200908,1,33,,
al,confirmed_incidence_num,20200907,,20200911,4,659,,
ar,confirmed_incidence_num,20200907,,20200910,3,347,,
az,confirmed_incidence_num,20200907,,20200909,2,189,,
ca,confirmed_incidence_num,20200907,,20200909,2,2400,,
co,confirmed_incidence_num,20200907,,20200911,4,498,,
ct,confirmed_incidence_num,20200907,,20200908,1,0,,
dc,confirmed_incidence_num,20200907,,20200908,1,36,,
de,confirmed_incidence_num,20200907,,20200908,1,206,,
fl,confirmed_incidence_num,20200907,,20200910,3,1826,,
ga,confirmed_incidence_num,20200907,,20200909,2,609,,
hi,confirmed_incidence_num,20200907,,20200908,1,104,,
ia,confirmed_incidence_num,20200907,,20200910,3,571,,
id,confirmed_incidence_num,20200907,,20200909,2,188,,
il,confirmed_incidence_num,20200907,,20200911,4,1379,,
in,confirmed_incidence_num,20200907,,20200909,2,589,,
ks,confirmed_incidence_num,20200907,,20201017,40,1351,,
ky,confirmed_incidence_num,20200907,,20200909,2,285,,
la,confirmed_incidence_num,20200907,,20200909,2,313,,
ma,confirmed_incidence_num,20200907,,20200909,2,220,,
md,confirmed_incidence_num,20200907,,20200908,1,764,,
me,confirmed_incidence_num,20200907,,20201017,40,80,,
mi,confirmed_incidence_num,20200907,,20200910,3,1252,,
mn,confirmed_incidence_num,20200907,,20200911,4,633,,
mo,confirmed_incidence_num,20200907,,20200909,2,925,,
ms,confirmed_incidence_num,20200907,,20200908,1,242,,
mt,confirmed_incidence_num,20200907,,20200908,1,52,,
nc,confirmed_incidence_num,20200907,,20200913,6,1009,,
nd,confirmed_incidence_num,20200907,,20200910,3,163,,
ne,confirmed_incidence_num,20200907,,20200908,1,94,,
nh,confirmed_incidence_num,20200907,,20200908,1,29,,
nj,confirmed_incidence_num,20200907,,20200908,1,334,,
nm,confirmed_incidence_num,20200907,,20200908,1,39,,
nv,confirmed_incidence_num,20200907,,20200909,2,347,,
ny,confirmed_incidence_num,20200907,,20200908,1,520,,
oh,confirmed_incidence_num,20200907,,20200911,4,773,,
ok,confirmed_incidence_num,20200907,,20200908,1,614,,
or,confirmed_incidence_num,20200907,,20200909,2,145,,
pa,confirmed_incidence_num,20200907,,20200910,3,541,,
ri,confirmed_incidence_num,20200907,,20200908,1,0,,
sc,confirmed_incidence_num,20200907,,20200911,4,602,,
sd,confirmed_incidence_num,20200907,,20200910,3,187,,
tn,confirmed_incidence_num,20200907,,20200910,3,968,,
tx,confirmed_incidence_num,20200907,,20200911,4,1858,,
ut,confirmed_incidence_num,20200907,,20200908,1,417,,
va,confirmed_incidence_num,20200907,,20200910,3,645,,
vt,confirmed_incidence_num,20200907,,20200908,1,3,,
wa,confirmed_incidence_num,20200907,,20200910,3,309,,
wi,confirmed_incidence_num,20200907,,20200910,3,564,,
wv,confirmed_incidence_num,20200907,,20200910,3,162,,
wy,confirmed_incidence_num,20200907,,20200908,1,0,,
