geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_incidence_num,20200902,,20200906,4,68,,
al,confirmed_incidence_num,20200902,,20200906,4,623,,
ar,confirmed_incidence_num,20200902,,20200906,4,618,,
az,confirmed_incidence_num,20200902,,20200906,4,519,,
ca,confirmed_incidence_num,20200902,,20200906,4,5118,,
co,confirmed_incidence_num,20200902,,20200906,4,242,,
ct,confirmed_incidence_num,20200902,,20200906,4,102,,
dc,confirmed_incidence_num,20200902,,20200906,4,28,,
de,confirmed_incidence_num,20200902,,20200906,4,36,,
fl,confirmed_incidence_num,20200902,,20200906,4,2454,,
ga,confirmed_incidence_num,20200902,,20201017,45,1918,,
hi,confirmed_incidence_num,20200902,,20200906,4,338,,
ia,confirmed_incidence_num,20200902,,20200906,4,745,,
id,confirmed_incidence_num,20200902,,20200907,5,297,,
il,confirmed_incidence_num,20200902,,20200906,4,2127,,
in,confirmed_incidence_num,20200902,,20200906,4,867,,
ks,confirmed_incidence_num,20200902,,20201017,45,1139,,
ky,confirmed_incidence_num,20200902,,20200906,4,798,,
la,confirmed_incidence_num,20200902,,20200909,7,956,,
ma,confirmed_incidence_num,20200902,,20200906,4,0,,
md,confirmed_incidence_num,20200902,,20200906,4,457,,
me,confirmed_incidence_num,20200902,,20200906,4,19,,
mi,confirmed_incidence_num,20200902,,20200906,4,655,,
mn,confirmed_incidence_num,20200902,,20200906,4,737,,
mo,confirmed_incidence_num,20200902,,20200908,6,1450,,
ms,confirmed_incidence_num,20200902,,20200906,4,786,,
mt,confirmed_incidence_num,20200902,,20200906,4,182,,
nc,confirmed_incidence_num,20200902,,20200906,4,1131,,
nd,confirmed_incidence_num,20200902,,20200906,4,266,,
ne,confirmed_incidence_num,20200902,,20200906,4,410,,
nh,confirmed_incidence_num,20200902,,20200906,4,0,,
nj,confirmed_incidence_num,20200902,,20200906,4,305,,
nm,confirmed_incidence_num,20200902,,20200906,4,152,,
nv,confirmed_incidence_num,20200902,,20200906,4,638,,
ny,confirmed_incidence_num,20200902,,20200906,4,708,,
oh,confirmed_incidence_num,20200902,,20200910,8,1155,,
ok,confirmed_incidence_num,20200902,,20200906,4,726,,
or,confirmed_incidence_num,20200902,,20200906,4,130,,
pa,confirmed_incidence_num,20200902,,20200906,4,813,,
ri,confirmed_incidence_num,20200902,,20200906,4,617,,
sc,confirmed_incidence_num,20200902,,20200906,4,662,,
sd,confirmed_incidence_num,20200902,,20200906,4,256,,
tn,confirmed_incidence_num,20200902,,20200906,4,1283,,
tx,confirmed_incidence_num,20200902,,20200906,4,4456,,
ut,confirmed_incidence_num,20200902,,20200906,4,435,,
va,confirmed_incidence_num,20200902,,20200906,4,926,,
vt,confirmed_incidence_num,20200902,,20200906,4,3,,
wa,confirmed_incidence_num,20200902,,20200906,4,434,,
wi,confirmed_incidence_num,20200902,,20200906,4,546,,
wv,confirmed_incidence_num,20200902,,20200906,4,145,,
wy,confirmed_incidence_num,20200902,,20200907,5,43,,
