geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_incidence_num,20200915,,20200916,1,0,,
al,deaths_incidence_num,20200915,,20200916,1,34,,
ar,deaths_incidence_num,20200915,,20200916,1,18,,
az,deaths_incidence_num,20200915,,20200917,2,22,,
ca,deaths_incidence_num,20200915,,20200916,1,148,,
co,deaths_incidence_num,20200915,,20200916,1,6,,
ct,deaths_incidence_num,20200915,,20200916,1,0,,
dc,deaths_incidence_num,20200915,,20200916,1,0,,
de,deaths_incidence_num,20200915,,20200916,1,1,,
fl,deaths_incidence_num,20200915,,20201017,32,145,,
ga,deaths_incidence_num,20200915,,20201017,32,46,,
hi,deaths_incidence_num,20200915,,20200916,1,1,,
ia,deaths_incidence_num,20200915,,20200916,1,12,,
id,deaths_incidence_num,20200915,,20200916,1,4,,
il,deaths_incidence_num,20200915,,20200916,1,18,,
in,deaths_incidence_num,20200915,,20200916,1,21,,
ks,deaths_incidence_num,20200915,,20200916,1,0,,
ky,deaths_incidence_num,20200915,,20200916,1,9,,
la,deaths_incidence_num,20200915,,20200916,1,26,,
ma,deaths_incidence_num,20200915,,20200917,2,7,,
md,deaths_incidence_num,20200915,,20200916,1,3,,
me,deaths_incidence_num,20200915,,20200916,1,0,,
mi,deaths_incidence_num,20200915,,20200916,1,12,,
mn,deaths_incidence_num,20200915,,20200916,1,5,,
mo,deaths_incidence_num,20200915,,20200916,1,18,,
ms,deaths_incidence_num,20200915,,20200916,1,28,,
mt,deaths_incidence_num,20200915,,20200916,1,2,,
nc,deaths_incidence_num,20200915,,20200916,1,51,,
nd,deaths_incidence_num,20200915,,20200916,1,2,,
ne,deaths_incidence_num,20200915,,20200916,1,1,,
nh,deaths_incidence_num,20200915,,20200916,1,0,,
nj,deaths_incidence_num,20200915,,20201017,32,8,,
nm,deaths_incidence_num,20200915,,20200916,1,7,,
nv,deaths_incidence_num,20200915,,20200916,1,26,,
ny,deaths_incidence_num,20200915,,20200916,1,0,,
oh,deaths_incidence_num,20200915,,20200916,1,88,,
ok,deaths_incidence_num,20200915,,20200916,1,7,,
or,deaths_incidence_num,20200915,,20200916,1,8,,
pa,deaths_incidence_num,20200915,,20200916,1,6,,
ri,deaths_incidence_num,20200915,,20200916,1,0,,
sc,deaths_incidence_num,20200915,,20200916,1,21,,
sd,deaths_incidence_num,20200915,,20200916,1,0,,
tn,deaths_incidence_num,20200915,,20200920,5,30,,
tx,deaths_incidence_num,20200915,,20200918,3,131,,
ut,deaths_incidence_num,20200915,,20200916,1,0,,
va,deaths_incidence_num,20200915,,20200916,1,96,,
vt,deaths_incidence_num,20200915,,20200916,1,0,,
wa,deaths_incidence_num,20200915,,20200916,1,9,,
wi,deaths_incidence_num,20200915,,20200918,3,9,,
wv,deaths_incidence_num,20200915,,20200916,1,0,,
wy,deaths_incidence_num,20200915,,20200916,1,0,,
