geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_incidence_num,20200914,,20200915,1,75,,
al,confirmed_incidence_num,20200914,,20200916,2,701,,
ar,confirmed_incidence_num,20200914,,20200915,1,408,,
az,confirmed_incidence_num,20200914,,20200915,1,213,,
ca,confirmed_incidence_num,20200914,,20200915,1,4985,,
co,confirmed_incidence_num,20200914,,20200915,1,381,,
ct,confirmed_incidence_num,20200914,,20200915,1,569,,
dc,confirmed_incidence_num,20200914,,20200915,1,30,,
de,confirmed_incidence_num,20200914,,20200915,1,88,,
fl,confirmed_incidence_num,20200914,,20200915,1,1739,,
ga,confirmed_incidence_num,20200914,,20201017,33,1013,,
hi,confirmed_incidence_num,20200914,,20200915,1,79,,
ia,confirmed_incidence_num,20200914,,20200916,2,409,,
id,confirmed_incidence_num,20200914,,20200915,1,253,,
il,confirmed_incidence_num,20200914,,20200916,2,1362,,
in,confirmed_incidence_num,20200914,,20200919,5,733,,
ks,confirmed_incidence_num,20200914,,20200919,5,1408,,
ky,confirmed_incidence_num,20200914,,20200918,4,337,,
la,confirmed_incidence_num,20200914,,20200918,4,465,,
ma,confirmed_incidence_num,20200914,,20200915,1,235,,
md,confirmed_incidence_num,20200914,,20200917,3,490,,
me,confirmed_incidence_num,20200914,,20200917,3,14,,
mi,confirmed_incidence_num,20200914,,20200916,2,1250,,
mn,confirmed_incidence_num,20200914,,20200916,2,633,,
mo,confirmed_incidence_num,20200914,,20201017,33,1337,,
ms,confirmed_incidence_num,20200914,,20200915,1,153,,
mt,confirmed_incidence_num,20200914,,20200915,1,86,,
nc,confirmed_incidence_num,20200914,,20200918,4,838,,
nd,confirmed_incidence_num,20200914,,20200916,2,252,,
ne,confirmed_incidence_num,20200914,,20200916,2,440,,
nh,confirmed_incidence_num,20200914,,20200915,1,18,,
nj,confirmed_incidence_num,20200914,,20200917,3,332,,
nm,confirmed_incidence_num,20200914,,20200915,1,81,,
nv,confirmed_incidence_num,20200914,,20200915,1,279,,
ny,confirmed_incidence_num,20200914,,20200915,1,583,,
oh,confirmed_incidence_num,20200914,,20200916,2,1080,,
ok,confirmed_incidence_num,20200914,,20200915,1,874,,
or,confirmed_incidence_num,20200914,,20200915,1,148,,
pa,confirmed_incidence_num,20200914,,20200915,1,1184,,
ri,confirmed_incidence_num,20200914,,20200915,1,0,,
sc,confirmed_incidence_num,20200914,,20200916,2,807,,
sd,confirmed_incidence_num,20200914,,20200916,2,162,,
tn,confirmed_incidence_num,20200914,,20200917,3,2442,,
tx,confirmed_incidence_num,20200914,,20200917,3,2568,,
ut,confirmed_incidence_num,20200914,,20200919,5,528,,
va,confirmed_incidence_num,20200914,,20200919,5,757,,
vt,confirmed_incidence_num,20200914,,20200916,2,11,,
wa,confirmed_incidence_num,20200914,,20200915,1,313,,
wi,confirmed_incidence_num,20200914,,20200915,1,772,,
wv,confirmed_incidence_num,20200914,,20200916,2,124,,
wy,confirmed_incidence_num,20200914,,20200915,1,51,,
