geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_incidence_num,20200904,,20200906,2,120,,
al,confirmed_incidence_num,20200904,,20200906,2,1109,,
ar,confirmed_incidence_num,20200904,,20200906,2,1095,,
az,confirmed_incidence_num,20200904,,20200907,3,727,,
ca,confirmed_incidence_num,20200904,,20200907,3,5645,,
co,confirmed_incidence_num,20200904,,20200910,6,370,,
ct,confirmed_incidence_num,20200904,,20200906,2,156,,
dc,confirmed_incidence_num,20200904,,20200906,2,51,,
de,confirmed_incidence_num,20200904,,20200906,2,99,,
fl,confirmed_incidence_num,20200904,,20200910,6,3182,,
ga,confirmed_incidence_num,20200904,,20201017,43,2076,,
hi,confirmed_incidence_num,20200904,,20200906,2,271,,
ia,confirmed_incidence_num,20200904,,20200907,3,1179,,
id,confirmed_incidence_num,20200904,,20200906,2,269,,
il,confirmed_incidence_num,20200904,,20200907,3,5366,,
in,confirmed_incidence_num,20200904,,20200907,3,1038,,
ks,confirmed_incidence_num,20200904,,20201017,43,1472,,
ky,confirmed_incidence_num,20200904,,20200907,3,803,,
la,confirmed_incidence_num,20200904,,20200909,5,822,,
ma,confirmed_incidence_num,20200904,,20200909,5,284,,
md,confirmed_incidence_num,20200904,,20200906,2,819,,
me,confirmed_incidence_num,20200904,,20200906,2,16,,
mi,confirmed_incidence_num,20200904,,20200907,3,993,,
mn,confirmed_incidence_num,20200904,,20200907,3,840,,
mo,confirmed_incidence_num,20200904,,20200909,5,1605,,
ms,confirmed_incidence_num,20200904,,20201017,43,819,,
mt,confirmed_incidence_num,20200904,,20200906,2,148,,
nc,confirmed_incidence_num,20200904,,20200906,2,0,,
nd,confirmed_incidence_num,20200904,,20200910,6,345,,
ne,confirmed_incidence_num,20200904,,20201017,43,210,,
nh,confirmed_incidence_num,20200904,,20200906,2,22,,
nj,confirmed_incidence_num,20200904,,20200906,2,450,,
nm,confirmed_incidence_num,20200904,,20200906,2,90,,
nv,confirmed_incidence_num,20200904,,20200906,2,829,,
ny,confirmed_incidence_num,20200904,,20200906,2,864,,
oh,confirmed_incidence_num,20200904,,20200907,3,1330,,
ok,confirmed_incidence_num,20200904,,20200907,3,1009,,
or,confirmed_incidence_num,20200904,,20200912,8,263,,
pa,confirmed_incidence_num,20200904,,20200906,2,891,,
ri,confirmed_incidence_num,20200904,,20200906,2,0,,
sc,confirmed_incidence_num,20200904,,20200907,3,1628,,
sd,confirmed_incidence_num,20200904,,20200910,6,255,,
tn,confirmed_incidence_num,20200904,,20200907,3,969,,
tx,confirmed_incidence_num,20200904,,20200911,7,5417,,
ut,confirmed_incidence_num,20200904,,20201017,43,500,,
va,confirmed_incidence_num,20200904,,20200906,2,1114,,
vt,confirmed_incidence_num,20200904,,20200906,2,5,,
wa,confirmed_incidence_num,20200904,,20200912,8,476,,
wi,confirmed_incidence_num,20200904,,20200907,3,1495,,
wv,confirmed_incidence_num,20200904,,20200907,3,191,,
wy,confirmed_incidence_num,20200904,,20200909,5,50,,
