geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_incidence_num,20200908,,20200909,1,0,,
al,deaths_incidence_num,20200908,,20200909,1,1,,
ar,deaths_incidence_num,20200908,,20200909,1,9,,
az,deaths_incidence_num,20200908,,20200909,1,2,,
ca,deaths_incidence_num,20200908,,20200909,1,51,,
co,deaths_incidence_num,20200908,,20200909,1,0,,
ct,deaths_incidence_num,20200908,,20200909,1,6,,
dc,deaths_incidence_num,20200908,,20200909,1,0,,
de,deaths_incidence_num,20200908,,20200909,1,0,,
fl,deaths_incidence_num,20200908,,20200909,1,46,,
ga,deaths_incidence_num,20200908,,20200909,1,26,,
hi,deaths_incidence_num,20200908,,20200909,1,2,,
ia,deaths_incidence_num,20200908,,20200909,1,6,,
id,deaths_incidence_num,20200908,,20200909,1,4,,
il,deaths_incidence_num,20200908,,20200909,1,7,,
in,deaths_incidence_num,20200908,,20200909,1,12,,
ks,deaths_incidence_num,20200908,,20201017,39,0,,
ky,deaths_incidence_num,20200908,,20200909,1,1,,
la,deaths_incidence_num,20200908,,20200909,1,14,,
ma,deaths_incidence_num,20200908,,20200909,1,8,,
md,deaths_incidence_num,20200908,,20200909,1,4,,
me,deaths_incidence_num,20200908,,20200909,1,0,,
mi,deaths_incidence_num,20200908,,20200916,8,2,,
mn,deaths_incidence_num,20200908,,20200909,1,2,,
mo,deaths_incidence_num,20200908,,20200909,1,2,,
ms,deaths_incidence_num,20200908,,20200909,1,0,,
mt,deaths_incidence_num,20200908,,20200909,1,1,,
nc,deaths_incidence_num,20200908,,20200909,1,13,,
nd,deaths_incidence_num,20200908,,20200909,1,0,,
ne,deaths_incidence_num,20200908,,20200909,1,3,,
nh,deaths_incidence_num,20200908,,20200909,1,0,,
nj,deaths_incidence_num,20200908,,20200909,1,5,,
nm,deaths_incidence_num,20200908,,20200909,1,0,,
nv,deaths_incidence_num,20200908,,20200909,1,0,,
ny,deaths_incidence_num,20200908,,20201017,39,8,,
oh,deaths_incidence_num,20200908,,20200909,1,22,,
ok,deaths_incidence_num,20200908,,20200909,1,1,,
or,deaths_incidence_num,20200908,,20200909,1,9,,
pa,deaths_incidence_num,20200908,,20200909,1,11,,
ri,deaths_incidence_num,20200908,,20200909,1,0,,
sc,deaths_incidence_num,20200908,,20200909,1,5,,
sd,deaths_incidence_num,20200908,,20200909,1,0,,
tn,deaths_incidence_num,20200908,,20200910,2,25,,
tx,deaths_incidence_num,20200908,,20200909,1,61,,
ut,deaths_incidence_num,20200908,,20200909,1,1,,
va,deaths_incidence_num,20200908,,20200909,1,2,,
vt,deaths_incidence_num,20200908,,20200909,1,0,,
wa,deaths_incidence_num,20200908,,20200909,1,0,,
wi,deaths_incidence_num,20200908,,20200909,1,1,,
wv,deaths_incidence_num,20200908,,20200909,1,4,,
wy,deaths_incidence_num,20200908,,20200909,1,0,,
