geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_incidence_num,20200928,,20201012,14,0,,
al,deaths_incidence_num,20200928,,20201012,14,0,,
ar,deaths_incidence_num,20200928,,20201012,14,21,,
az,deaths_incidence_num,20200928,,20201012,14,0,,
ca,deaths_incidence_num,20200928,,20201012,14,59,,
co,deaths_incidence_num,20200928,,20201012,14,4,,
ct,deaths_incidence_num,20200928,,20201012,14,2,,
dc,deaths_incidence_num,20200928,,20201012,14,0,,
de,deaths_incidence_num,20200928,,20201012,14,1,,
fl,deaths_incidence_num,20200928,,20201012,14,5,,
ga,deaths_incidence_num,20200928,,20201012,14,15,,
hi,deaths_incidence_num,20200928,,20201012,14,0,,
ia,deaths_incidence_num,20200928,,20201012,14,2,,
id,deaths_incidence_num,20200928,,20201012,14,0,,
il,deaths_incidence_num,20200928,,20201012,14,13,,
in,deaths_incidence_num,20200928,,20201012,14,11,,
ks,deaths_incidence_num,20200928,,20201012,14,6,,
ky,deaths_incidence_num,20200928,,20201012,14,5,,
la,deaths_incidence_num,20200928,,20201012,14,15,,
ma,deaths_incidence_num,20200928,,20201012,14,24,,
md,deaths_incidence_num,20200928,,20201012,14,8,,
me,deaths_incidence_num,20200928,,20201012,14,0,,
mi,deaths_incidence_num,20200928,,20201012,14,7,,
mn,deaths_incidence_num,20200928,,20201012,14,7,,
mo,deaths_incidence_num,20200928,,20201012,14,0,,
ms,deaths_incidence_num,20200928,,20201012,14,1,,
mt,deaths_incidence_num,20200928,,20201012,14,1,,
nc,deaths_incidence_num,20200928,,20201012,14,4,,
nd,deaths_incidence_num,20200928,,20201012,14,23,,
ne,deaths_incidence_num,20200928,,20201012,14,2,,
nh,deaths_incidence_num,20200928,,20201012,14,0,,
nj,deaths_incidence_num,20200928,,20201012,14,3,,
nm,deaths_incidence_num,20200928,,20201012,14,3,,
nv,deaths_incidence_num,20200928,,20201012,14,0,,
ny,deaths_incidence_num,20200928,,20201012,14,16,,
oh,deaths_incidence_num,20200928,,20201012,14,5,,
ok,deaths_incidence_num,20200928,,20201012,14,1,,
or,deaths_incidence_num,20200928,,20201012,14,1,,
pa,deaths_incidence_num,20200928,,20201012,14,1,,
ri,deaths_incidence_num,20200928,,20201012,14,0,,
sc,deaths_incidence_num,20200928,,20201012,14,11,,
sd,deaths_incidence_num,20200928,,20201012,14,0,,
tn,deaths_incidence_num,20200928,,20201012,14,12,,
tx,deaths_incidence_num,20200928,,20201012,14,11,,
ut,deaths_incidence_num,20200928,,20201012,14,0,,
va,deaths_incidence_num,20200928,,20201012,14,12,,
vt,deaths_incidence_num,20200928,,20201012,14,0,,
wa,deaths_incidence_num,20200928,,20201012,14,1,,
wi,deaths_incidence_num,20200928,,20201012,14,2,,
wv,deaths_incidence_num,20200928,,20201012,14,3,,
wy,deaths_incidence_num,20200928,,20201012,14,0,,
