geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_incidence_num,20200907,,20200908,1,0,,
al,deaths_incidence_num,20200907,,20200908,1,0,,
ar,deaths_incidence_num,20200907,,20200908,1,15,,
az,deaths_incidence_num,20200907,,20200908,1,0,,
ca,deaths_incidence_num,20200907,,20200908,1,33,,
co,deaths_incidence_num,20200907,,20200908,1,3,,
ct,deaths_incidence_num,20200907,,20200908,1,0,,
dc,deaths_incidence_num,20200907,,20200908,1,0,,
de,deaths_incidence_num,20200907,,20200908,1,0,,
fl,deaths_incidence_num,20200907,,20200909,2,21,,
ga,deaths_incidence_num,20200907,,20200908,1,7,,
hi,deaths_incidence_num,20200907,,20200908,1,1,,
ia,deaths_incidence_num,20200907,,20200908,1,2,,
id,deaths_incidence_num,20200907,,20200908,1,1,,
il,deaths_incidence_num,20200907,,20200908,1,8,,
in,deaths_incidence_num,20200907,,20200908,1,4,,
ks,deaths_incidence_num,20200907,,20200908,1,2,,
ky,deaths_incidence_num,20200907,,20200908,1,0,,
la,deaths_incidence_num,20200907,,20200911,4,11,,
ma,deaths_incidence_num,20200907,,20200908,1,8,,
md,deaths_incidence_num,20200907,,20200908,1,3,,
me,deaths_incidence_num,20200907,,20200908,1,0,,
mi,deaths_incidence_num,20200907,,20200909,2,5,,
mn,deaths_incidence_num,20200907,,20200908,1,3,,
mo,deaths_incidence_num,20200907,,20200908,1,1,,
ms,deaths_incidence_num,20200907,,20200908,1,1,,
mt,deaths_incidence_num,20200907,,20200908,1,1,,
nc,deaths_incidence_num,20200907,,20200908,1,7,,
nd,deaths_incidence_num,20200907,,20200908,1,0,,
ne,deaths_incidence_num,20200907,,20200908,1,0,,
nh,deaths_incidence_num,20200907,,20200908,1,0,,
nj,deaths_incidence_num,20200907,,20200908,1,2,,
nm,deaths_incidence_num,20200907,,20200908,1,4,,
nv,deaths_incidence_num,20200907,,20200908,1,4,,
ny,deaths_incidence_num,20200907,,20200910,3,11,,
oh,deaths_incidence_num,20200907,,20200908,1,18,,
ok,deaths_incidence_num,20200907,,20200908,1,0,,
or,deaths_incidence_num,20200907,,20200908,1,1,,
pa,deaths_incidence_num,20200907,,20200910,3,19,,
ri,deaths_incidence_num,20200907,,20200908,1,0,,
sc,deaths_incidence_num,20200907,,20200908,1,20,,
sd,deaths_incidence_num,20200907,,20200908,1,0,,
tn,deaths_incidence_num,20200907,,20201017,40,2,,
tx,deaths_incidence_num,20200907,,20200910,3,19,,
ut,deaths_incidence_num,20200907,,20200908,1,1,,
va,deaths_incidence_num,20200907,,20200908,1,6,,
vt,deaths_incidence_num,20200907,,20200908,1,0,,
wa,deaths_incidence_num,20200907,,20200908,1,0,,
wi,deaths_incidence_num,20200907,,20200908,1,0,,
wv,deaths_incidence_num,20200907,,20200908,1,1,,
wy,deaths_incidence_num,20200907,,20200908,1,0,,
