geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_incidence_num,20200902,,20200906,4,0,,
al,deaths_incidence_num,20200902,,20200906,4,17,,
ar,deaths_incidence_num,20200902,,20200906,4,27,,
az,deaths_incidence_num,20200902,,20200906,4,23,,
ca,deaths_incidence_num,20200902,,20200906,4,158,,
co,deaths_incidence_num,20200902,,20200906,4,5,,
ct,deaths_incidence_num,20200902,,20200906,4,1,,
dc,deaths_incidence_num,20200902,,20200906,4,1,,
de,deaths_incidence_num,20200902,,20200906,4,1,,
fl,deaths_incidence_num,20200902,,20201017,45,126,,
ga,deaths_incidence_num,20200902,,20200906,4,64,,
hi,deaths_incidence_num,20200902,,20200906,4,1,,
ia,deaths_incidence_num,20200902,,20200906,4,4,,
id,deaths_incidence_num,20200902,,20200906,4,4,,
il,deaths_incidence_num,20200902,,20200906,4,26,,
in,deaths_incidence_num,20200902,,20200906,4,13,,
ks,deaths_incidence_num,20200902,,20200906,4,5,,
ky,deaths_incidence_num,20200902,,20200906,4,20,,
la,deaths_incidence_num,20200902,,20200906,4,20,,
ma,deaths_incidence_num,20200902,,20200906,4,0,,
md,deaths_incidence_num,20200902,,20200906,4,6,,
me,deaths_incidence_num,20200902,,20200906,4,1,,
mi,deaths_incidence_num,20200902,,20200906,4,14,,
mn,deaths_incidence_num,20200902,,20200906,4,7,,
mo,deaths_incidence_num,20200902,,20200906,4,4,,
ms,deaths_incidence_num,20200902,,20200906,4,33,,
mt,deaths_incidence_num,20200902,,20200906,4,4,,
nc,deaths_incidence_num,20200902,,20200906,4,38,,
nd,deaths_incidence_num,20200902,,20200906,4,3,,
ne,deaths_incidence_num,20200902,,20200906,4,0,,
nh,deaths_incidence_num,20200902,,20200906,4,0,,
nj,deaths_incidence_num,20200902,,20200906,4,13,,
nm,deaths_incidence_num,20200902,,20200906,4,3,,
nv,deaths_incidence_num,20200902,,20200906,4,31,,
ny,deaths_incidence_num,20200902,,20200906,4,11,,
oh,deaths_incidence_num,20200902,,20200906,4,11,,
ok,deaths_incidence_num,20200902,,20200906,4,12,,
or,deaths_incidence_num,20200902,,20200906,4,3,,
pa,deaths_incidence_num,20200902,,20200906,4,21,,
ri,deaths_incidence_num,20200902,,20200906,4,11,,
sc,deaths_incidence_num,20200902,,20200906,4,37,,
sd,deaths_incidence_num,20200902,,20200906,4,2,,
tn,deaths_incidence_num,20200902,,20200906,4,14,,
tx,deaths_incidence_num,20200902,,20200906,4,189,,
ut,deaths_incidence_num,20200902,,20200906,4,0,,
va,deaths_incidence_num,20200902,,20200906,4,28,,
vt,deaths_incidence_num,20200902,,20200906,4,0,,
wa,deaths_incidence_num,20200902,,20200906,4,7,,
wi,deaths_incidence_num,20200902,,20200906,4,12,,
wv,deaths_incidence_num,20200902,,20200906,4,9,,
wy,deaths_incidence_num,20200902,,20200906,4,0,,
