geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_incidence_num,20200926,,20201012,16,113,,
al,confirmed_incidence_num,20200926,,20201012,16,937,,
ar,confirmed_incidence_num,20200926,,20201012,16,809,,
az,confirmed_incidence_num,20200926,,20201012,16,457,,
ca,confirmed_incidence_num,20200926,,20201012,16,3894,,
co,confirmed_incidence_num,20200926,,20201017,21,581,,
ct,confirmed_incidence_num,20200926,,20201012,16,0,,
dc,confirmed_incidence_num,20200926,,20201012,16,52,,
de,confirmed_incidence_num,20200926,,20201012,16,71,,
fl,confirmed_incidence_num,20200926,,20201012,16,2796,,
ga,confirmed_incidence_num,20200926,,20201012,16,1337,,
hi,confirmed_incidence_num,20200926,,20201012,16,127,,
ia,confirmed_incidence_num,20200926,,20201012,16,992,,
id,confirmed_incidence_num,20200926,,20201012,16,538,,
il,confirmed_incidence_num,20200926,,20201012,16,2444,,
in,confirmed_incidence_num,20200926,,20201012,16,1167,,
ks,confirmed_incidence_num,20200926,,20201012,16,165,,
ky,confirmed_incidence_num,20200926,,20201012,16,968,,
la,confirmed_incidence_num,20200926,,20201012,16,0,,
ma,confirmed_incidence_num,20200926,,20201012,16,519,,
md,confirmed_incidence_num,20200926,,20201012,16,613,,
me,confirmed_incidence_num,20200926,,20201012,16,24,,
mi,confirmed_incidence_num,20200926,,20201012,16,1000,,
mn,confirmed_incidence_num,20200926,,20201012,16,1469,,
mo,confirmed_incidence_num,20200926,,20201012,16,1572,,
ms,confirmed_incidence_num,20200926,,20201012,16,642,,
mt,confirmed_incidence_num,20200926,,20201012,16,343,,
nc,confirmed_incidence_num,20200926,,20201012,16,1731,,
nd,confirmed_incidence_num,20200926,,20201012,16,494,,
ne,confirmed_incidence_num,20200926,,20201012,16,442,,
nh,confirmed_incidence_num,20200926,,20201012,16,77,,
nj,confirmed_incidence_num,20200926,,20201012,16,750,,
nm,confirmed_incidence_num,20200926,,20201012,16,203,,
nv,confirmed_incidence_num,20200926,,20201012,16,602,,
ny,confirmed_incidence_num,20200926,,20201012,16,1005,,
oh,confirmed_incidence_num,20200926,,20201012,16,1114,,
ok,confirmed_incidence_num,20200926,,20201012,16,989,,
or,confirmed_incidence_num,20200926,,20201012,16,267,,
pa,confirmed_incidence_num,20200926,,20201012,16,1030,,
ri,confirmed_incidence_num,20200926,,20201012,16,0,,
sc,confirmed_incidence_num,20200926,,20201012,16,1369,,
sd,confirmed_incidence_num,20200926,,20201012,16,578,,
tn,confirmed_incidence_num,20200926,,20201012,16,1437,,
tx,confirmed_incidence_num,20200926,,20201018,22,4785,,
ut,confirmed_incidence_num,20200926,,20201012,16,1015,,
va,confirmed_incidence_num,20200926,,20201012,16,975,,
vt,confirmed_incidence_num,20200926,,20201012,16,8,,
wa,confirmed_incidence_num,20200926,,20201012,16,602,,
wi,confirmed_incidence_num,20200926,,20201012,16,2902,,
wv,confirmed_incidence_num,20200926,,20201012,16,205,,
wy,confirmed_incidence_num,20200926,,20201012,16,44,,
