geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_incidence_num,20200929,,20201012,13,125,,
al,confirmed_incidence_num,20200929,,20201012,13,574,,
ar,confirmed_incidence_num,20200929,,20201012,13,706,,
az,confirmed_incidence_num,20200929,,20201012,13,676,,
ca,confirmed_incidence_num,20200929,,20201012,13,3098,,
co,confirmed_incidence_num,20200929,,20201012,13,533,,
ct,confirmed_incidence_num,20200929,,20201012,13,182,,
dc,confirmed_incidence_num,20200929,,20201012,13,36,,
de,confirmed_incidence_num,20200929,,20201012,13,142,,
fl,confirmed_incidence_num,20200929,,20201012,13,3265,,
ga,confirmed_incidence_num,20200929,,20201012,13,1022,,
hi,confirmed_incidence_num,20200929,,20201012,13,87,,
ia,confirmed_incidence_num,20200929,,20201012,13,787,,
id,confirmed_incidence_num,20200929,,20201012,13,0,,
il,confirmed_incidence_num,20200929,,20201012,13,1372,,
in,confirmed_incidence_num,20200929,,20201012,13,752,,
ks,confirmed_incidence_num,20200929,,20201012,13,67,,
ky,confirmed_incidence_num,20200929,,20201012,13,920,,
la,confirmed_incidence_num,20200929,,20201012,13,0,,
ma,confirmed_incidence_num,20200929,,20201012,13,452,,
md,confirmed_incidence_num,20200929,,20201012,13,434,,
me,confirmed_incidence_num,20200929,,20201012,13,39,,
mi,confirmed_incidence_num,20200929,,20201012,13,1119,,
mn,confirmed_incidence_num,20200929,,20201012,13,809,,
mo,confirmed_incidence_num,20200929,,20201012,13,0,,
ms,confirmed_incidence_num,20200929,,20201012,13,591,,
mt,confirmed_incidence_num,20200929,,20201012,13,313,,
nc,confirmed_incidence_num,20200929,,20201012,13,920,,
nd,confirmed_incidence_num,20200929,,20201012,13,418,,
ne,confirmed_incidence_num,20200929,,20201012,13,470,,
nh,confirmed_incidence_num,20200929,,20201012,13,26,,
nj,confirmed_incidence_num,20200929,,20201012,13,453,,
nm,confirmed_incidence_num,20200929,,20201012,13,172,,
nv,confirmed_incidence_num,20200929,,20201012,13,401,,
ny,confirmed_incidence_num,20200929,,20201012,13,1189,,
oh,confirmed_incidence_num,20200929,,20201012,13,1105,,
ok,confirmed_incidence_num,20200929,,20201012,13,1023,,
or,confirmed_incidence_num,20200929,,20201012,13,298,,
pa,confirmed_incidence_num,20200929,,20201012,13,986,,
ri,confirmed_incidence_num,20200929,,20201012,13,0,,
sc,confirmed_incidence_num,20200929,,20201012,13,1174,,
sd,confirmed_incidence_num,20200929,,20201012,13,259,,
tn,confirmed_incidence_num,20200929,,20201012,13,881,,
tx,confirmed_incidence_num,20200929,,20201018,19,4487,,
ut,confirmed_incidence_num,20200929,,20201012,13,706,,
va,confirmed_incidence_num,20200929,,20201017,18,918,,
vt,confirmed_incidence_num,20200929,,20201012,13,4,,
wa,confirmed_incidence_num,20200929,,20201012,13,406,,
wi,confirmed_incidence_num,20200929,,20201012,13,2446,,
wv,confirmed_incidence_num,20200929,,20201012,13,177,,
wy,confirmed_incidence_num,20200929,,20201012,13,70,,
