geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_incidence_num,20200918,,20200928,10,1,,
al,deaths_incidence_num,20200918,,20201017,29,25,,
ar,deaths_incidence_num,20200918,,20200928,10,8,,
az,deaths_incidence_num,20200918,,20200928,10,43,,
ca,deaths_incidence_num,20200918,,20200928,10,100,,
co,deaths_incidence_num,20200918,,20200928,10,3,,
ct,deaths_incidence_num,20200918,,20200928,10,4,,
dc,deaths_incidence_num,20200918,,20200928,10,0,,
de,deaths_incidence_num,20200918,,20200928,10,1,,
fl,deaths_incidence_num,20200918,,20200928,10,138,,
ga,deaths_incidence_num,20200918,,20201017,29,62,,
hi,deaths_incidence_num,20200918,,20200928,10,13,,
ia,deaths_incidence_num,20200918,,20200928,10,10,,
id,deaths_incidence_num,20200918,,20200928,10,4,,
il,deaths_incidence_num,20200918,,20200928,10,19,,
in,deaths_incidence_num,20200918,,20200928,10,17,,
ks,deaths_incidence_num,20200918,,20200928,10,13,,
ky,deaths_incidence_num,20200918,,20200928,10,8,,
la,deaths_incidence_num,20200918,,20200928,10,29,,
ma,deaths_incidence_num,20200918,,20200928,10,9,,
md,deaths_incidence_num,20200918,,20200928,10,7,,
me,deaths_incidence_num,20200918,,20200928,10,0,,
mi,deaths_incidence_num,20200918,,20200928,10,4,,
mn,deaths_incidence_num,20200918,,20200928,10,8,,
mo,deaths_incidence_num,20200918,,20200928,10,23,,
ms,deaths_incidence_num,20200918,,20200928,10,12,,
mt,deaths_incidence_num,20200918,,20200928,10,3,,
nc,deaths_incidence_num,20200918,,20200928,10,29,,
nd,deaths_incidence_num,20200918,,20200928,10,2,,
ne,deaths_incidence_num,20200918,,20200928,10,0,,
nh,deaths_incidence_num,20200918,,20200928,10,0,,
nj,deaths_incidence_num,20200918,,20200928,10,4,,
nm,deaths_incidence_num,20200918,,20200928,10,5,,
nv,deaths_incidence_num,20200918,,20200928,10,18,,
ny,deaths_incidence_num,20200918,,20200928,10,11,,
oh,deaths_incidence_num,20200918,,20200928,10,27,,
ok,deaths_incidence_num,20200918,,20200928,10,9,,
or,deaths_incidence_num,20200918,,20200928,10,0,,
pa,deaths_incidence_num,20200918,,20200928,10,21,,
ri,deaths_incidence_num,20200918,,20200928,10,0,,
sc,deaths_incidence_num,20200918,,20200928,10,20,,
sd,deaths_incidence_num,20200918,,20200928,10,5,,
tn,deaths_incidence_num,20200918,,20200928,10,32,,
tx,deaths_incidence_num,20200918,,20200928,10,123,,
ut,deaths_incidence_num,20200918,,20200928,10,0,,
va,deaths_incidence_num,20200918,,20201017,29,30,,
vt,deaths_incidence_num,20200918,,20200928,10,0,,
wa,deaths_incidence_num,20200918,,20200928,10,7,,
wi,deaths_incidence_num,20200918,,20200928,10,7,,
wv,deaths_incidence_num,20200918,,20200928,10,3,,
wy,deaths_incidence_num,20200918,,20200928,10,3,,
