geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_incidence_num,20200910,,20200911,1,124,,
al,confirmed_incidence_num,20200910,,20200911,1,1149,,
ar,confirmed_incidence_num,20200910,,20200911,1,402,,
az,confirmed_incidence_num,20200910,,20200913,3,452,,
ca,confirmed_incidence_num,20200910,,20200911,1,2253,,
co,confirmed_incidence_num,20200910,,20200911,1,266,,
ct,confirmed_incidence_num,20200910,,20200911,1,222,,
dc,confirmed_incidence_num,20200910,,20200911,1,25,,
de,confirmed_incidence_num,20200910,,20200911,1,158,,
fl,confirmed_incidence_num,20200910,,20200911,1,2583,,
ga,confirmed_incidence_num,20200910,,20200912,2,1838,,
hi,confirmed_incidence_num,20200910,,20200911,1,169,,
ia,confirmed_incidence_num,20200910,,20200912,2,821,,
id,confirmed_incidence_num,20200910,,20200911,1,307,,
il,confirmed_incidence_num,20200910,,20200912,2,1954,,
in,confirmed_incidence_num,20200910,,20200912,2,788,,
ks,confirmed_incidence_num,20200910,,20201017,37,43,,
ky,confirmed_incidence_num,20200910,,20200912,2,796,,
la,confirmed_incidence_num,20200910,,20200915,5,464,,
ma,confirmed_incidence_num,20200910,,20200911,1,363,,
md,confirmed_incidence_num,20200910,,20200917,7,496,,
me,confirmed_incidence_num,20200910,,20200916,6,29,,
mi,confirmed_incidence_num,20200910,,20200912,2,987,,
mn,confirmed_incidence_num,20200910,,20200912,2,435,,
mo,confirmed_incidence_num,20200910,,20200912,2,1118,,
ms,confirmed_incidence_num,20200910,,20200911,1,518,,
mt,confirmed_incidence_num,20200910,,20200912,2,194,,
nc,confirmed_incidence_num,20200910,,20200912,2,1225,,
nd,confirmed_incidence_num,20200910,,20200911,1,334,,
ne,confirmed_incidence_num,20200910,,20200912,2,448,,
nh,confirmed_incidence_num,20200910,,20200911,1,56,,
nj,confirmed_incidence_num,20200910,,20200911,1,426,,
nm,confirmed_incidence_num,20200910,,20200911,1,162,,
nv,confirmed_incidence_num,20200910,,20200911,1,285,,
ny,confirmed_incidence_num,20200910,,20200911,1,757,,
oh,confirmed_incidence_num,20200910,,20200911,1,1122,,
ok,confirmed_incidence_num,20200910,,20200912,2,771,,
or,confirmed_incidence_num,20200910,,20200917,7,183,,
pa,confirmed_incidence_num,20200910,,20200911,1,590,,
ri,confirmed_incidence_num,20200910,,20200911,1,0,,
sc,confirmed_incidence_num,20200910,,20200911,1,416,,
sd,confirmed_incidence_num,20200910,,20200911,1,264,,
tn,confirmed_incidence_num,20200910,,20200911,1,1650,,
tx,confirmed_incidence_num,20200910,,20201017,37,4001,,
ut,confirmed_incidence_num,20200910,,20201017,37,358,,
va,confirmed_incidence_num,20200910,,20200912,2,1236,,
vt,confirmed_incidence_num,20200910,,20200917,7,5,,
wa,confirmed_incidence_num,20200910,,20200912,2,457,,
wi,confirmed_incidence_num,20200910,,20200912,2,1547,,
wv,confirmed_incidence_num,20200910,,20200913,3,200,,
wy,confirmed_incidence_num,20200910,,20200915,5,45,,
