geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_incidence_num,20201001,,20201012,11,1,,
al,deaths_incidence_num,20201001,,20201012,11,11,,
ar,deaths_incidence_num,20201001,,20201012,11,15,,
az,deaths_incidence_num,20201001,,20201012,11,23,,
ca,deaths_incidence_num,20201001,,20201012,11,100,,
co,deaths_incidence_num,20201001,,20201012,11,3,,
ct,deaths_incidence_num,20201001,,20201012,11,3,,
dc,deaths_incidence_num,20201001,,20201012,11,1,,
de,deaths_incidence_num,20201001,,20201012,11,0,,
fl,deaths_incidence_num,20201001,,20201012,11,122,,
ga,deaths_incidence_num,20201001,,20201012,11,36,,
hi,deaths_incidence_num,20201001,,20201012,11,3,,
ia,deaths_incidence_num,20201001,,20201012,11,16,,
id,deaths_incidence_num,20201001,,20201012,11,3,,
il,deaths_incidence_num,20201001,,20201012,11,24,,
in,deaths_incidence_num,20201001,,20201012,11,14,,
ks,deaths_incidence_num,20201001,,20201012,11,3,,
ky,deaths_incidence_num,20201001,,20201012,11,17,,
la,deaths_incidence_num,20201001,,20201012,11,34,,
ma,deaths_incidence_num,20201001,,20201012,11,24,,
md,deaths_incidence_num,20201001,,20201012,11,3,,
me,deaths_incidence_num,20201001,,20201012,11,1,,
mi,deaths_incidence_num,20201001,,20201012,11,20,,
mn,deaths_incidence_num,20201001,,20201012,11,13,,
mo,deaths_incidence_num,20201001,,20201012,11,2,,
ms,deaths_incidence_num,20201001,,20201012,11,10,,
mt,deaths_incidence_num,20201001,,20201012,11,2,,
nc,deaths_incidence_num,20201001,,20201012,11,47,,
nd,deaths_incidence_num,20201001,,20201012,11,9,,
ne,deaths_incidence_num,20201001,,20201012,11,15,,
nh,deaths_incidence_num,20201001,,20201012,11,2,,
nj,deaths_incidence_num,20201001,,20201012,11,19,,
nm,deaths_incidence_num,20201001,,20201012,11,5,,
nv,deaths_incidence_num,20201001,,20201012,11,3,,
ny,deaths_incidence_num,20201001,,20201012,11,14,,
oh,deaths_incidence_num,20201001,,20201012,11,12,,
ok,deaths_incidence_num,20201001,,20201012,11,4,,
or,deaths_incidence_num,20201001,,20201012,11,1,,
pa,deaths_incidence_num,20201001,,20201012,11,18,,
ri,deaths_incidence_num,20201001,,20201012,11,0,,
sc,deaths_incidence_num,20201001,,20201030,29,21,,
sd,deaths_incidence_num,20201001,,20201012,11,13,,
tn,deaths_incidence_num,20201001,,20201012,11,46,,
tx,deaths_incidence_num,20201001,,20201012,11,113,,
ut,deaths_incidence_num,20201001,,20201012,11,0,,
va,deaths_incidence_num,20201001,,20201012,11,20,,
vt,deaths_incidence_num,20201001,,20201012,11,0,,
wa,deaths_incidence_num,20201001,,20201012,11,7,,
wi,deaths_incidence_num,20201001,,20201012,11,21,,
wv,deaths_incidence_num,20201001,,20201012,11,3,,
wy,deaths_incidence_num,20201001,,20201012,11,3,,
