geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_incidence_num,20200904,,20200906,2,0,,
al,deaths_incidence_num,20200904,,20200911,7,32,,
ar,deaths_incidence_num,20200904,,20200906,2,12,,
az,deaths_incidence_num,20200904,,20200906,2,41,,
ca,deaths_incidence_num,20200904,,20200906,2,155,,
co,deaths_incidence_num,20200904,,20200906,2,12,,
ct,deaths_incidence_num,20200904,,20200906,2,0,,
dc,deaths_incidence_num,20200904,,20200906,2,2,,
de,deaths_incidence_num,20200904,,20200906,2,0,,
fl,deaths_incidence_num,20200904,,20200906,2,100,,
ga,deaths_incidence_num,20200904,,20200912,8,62,,
hi,deaths_incidence_num,20200904,,20200906,2,2,,
ia,deaths_incidence_num,20200904,,20200906,2,3,,
id,deaths_incidence_num,20200904,,20200906,2,10,,
il,deaths_incidence_num,20200904,,20200906,2,28,,
in,deaths_incidence_num,20200904,,20200907,3,17,,
ks,deaths_incidence_num,20200904,,20200906,2,15,,
ky,deaths_incidence_num,20200904,,20200906,2,11,,
la,deaths_incidence_num,20200904,,20200906,2,15,,
ma,deaths_incidence_num,20200904,,20200906,2,23,,
md,deaths_incidence_num,20200904,,20200907,3,9,,
me,deaths_incidence_num,20200904,,20200906,2,1,,
mi,deaths_incidence_num,20200904,,20200908,4,6,,
mn,deaths_incidence_num,20200904,,20200906,2,10,,
mo,deaths_incidence_num,20200904,,20200907,3,16,,
ms,deaths_incidence_num,20200904,,20200907,3,20,,
mt,deaths_incidence_num,20200904,,20200906,2,3,,
nc,deaths_incidence_num,20200904,,20200906,2,0,,
nd,deaths_incidence_num,20200904,,20200906,2,0,,
ne,deaths_incidence_num,20200904,,20200906,2,0,,
nh,deaths_incidence_num,20200904,,20200906,2,0,,
nj,deaths_incidence_num,20200904,,20200906,2,8,,
nm,deaths_incidence_num,20200904,,20200906,2,3,,
nv,deaths_incidence_num,20200904,,20200907,3,37,,
ny,deaths_incidence_num,20200904,,20200906,2,6,,
oh,deaths_incidence_num,20200904,,20200907,3,21,,
ok,deaths_incidence_num,20200904,,20200906,2,11,,
or,deaths_incidence_num,20200904,,20200906,2,5,,
pa,deaths_incidence_num,20200904,,20200906,2,10,,
ri,deaths_incidence_num,20200904,,20200906,2,0,,
sc,deaths_incidence_num,20200904,,20200911,7,37,,
sd,deaths_incidence_num,20200904,,20200906,2,1,,
tn,deaths_incidence_num,20200904,,20200906,2,25,,
tx,deaths_incidence_num,20200904,,20200906,2,140,,
ut,deaths_incidence_num,20200904,,20200906,2,5,,
va,deaths_incidence_num,20200904,,20200906,2,10,,
vt,deaths_incidence_num,20200904,,20200906,2,0,,
wa,deaths_incidence_num,20200904,,20200906,2,9,,
wi,deaths_incidence_num,20200904,,20200906,2,7,,
wv,deaths_incidence_num,20200904,,20200907,3,5,,
wy,deaths_incidence_num,20200904,,20200906,2,1,,
