geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_incidence_num,20200919,,20200928,9,0,,
al,deaths_incidence_num,20200919,,20200928,9,9,,
ar,deaths_incidence_num,20200919,,20200928,9,8,,
az,deaths_incidence_num,20200919,,20200928,9,15,,
ca,deaths_incidence_num,20200919,,20200928,9,75,,
co,deaths_incidence_num,20200919,,20200928,9,4,,
ct,deaths_incidence_num,20200919,,20200928,9,0,,
dc,deaths_incidence_num,20200919,,20200928,9,0,,
de,deaths_incidence_num,20200919,,20200928,9,1,,
fl,deaths_incidence_num,20200919,,20200928,9,61,,
ga,deaths_incidence_num,20200919,,20200928,9,62,,
hi,deaths_incidence_num,20200919,,20200928,9,0,,
ia,deaths_incidence_num,20200919,,20200928,9,6,,
id,deaths_incidence_num,20200919,,20200928,9,3,,
il,deaths_incidence_num,20200919,,20200928,9,25,,
in,deaths_incidence_num,20200919,,20200928,9,9,,
ks,deaths_incidence_num,20200919,,20200928,9,0,,
ky,deaths_incidence_num,20200919,,20200928,9,7,,
la,deaths_incidence_num,20200919,,20200928,9,0,,
ma,deaths_incidence_num,20200919,,20200928,9,26,,
md,deaths_incidence_num,20200919,,20200928,9,7,,
me,deaths_incidence_num,20200919,,20200928,9,1,,
mi,deaths_incidence_num,20200919,,20200928,9,14,,
mn,deaths_incidence_num,20200919,,20200928,9,13,,
mo,deaths_incidence_num,20200919,,20200928,9,13,,
ms,deaths_incidence_num,20200919,,20200928,9,16,,
mt,deaths_incidence_num,20200919,,20200928,9,10,,
nc,deaths_incidence_num,20200919,,20200928,9,26,,
nd,deaths_incidence_num,20200919,,20200928,9,8,,
ne,deaths_incidence_num,20200919,,20200928,9,0,,
nh,deaths_incidence_num,20200919,,20200928,9,0,,
nj,deaths_incidence_num,20200919,,20200928,9,3,,
nm,deaths_incidence_num,20200919,,20200928,9,6,,
nv,deaths_incidence_num,20200919,,20200928,9,4,,
ny,deaths_incidence_num,20200919,,20200928,9,8,,
oh,deaths_incidence_num,20200919,,20200928,9,5,,
ok,deaths_incidence_num,20200919,,20200928,9,3,,
or,deaths_incidence_num,20200919,,20200928,9,0,,
pa,deaths_incidence_num,20200919,,20200928,9,22,,
ri,deaths_incidence_num,20200919,,20200928,9,0,,
sc,deaths_incidence_num,20200919,,20200928,9,11,,
sd,deaths_incidence_num,20200919,,20200928,9,2,,
tn,deaths_incidence_num,20200919,,20200928,9,21,,
tx,deaths_incidence_num,20200919,,20200928,9,136,,
ut,deaths_incidence_num,20200919,,20200928,9,3,,
va,deaths_incidence_num,20200919,,20200928,9,41,,
vt,deaths_incidence_num,20200919,,20200928,9,0,,
wa,deaths_incidence_num,20200919,,20200928,9,0,,
wi,deaths_incidence_num,20200919,,20200928,9,3,,
wv,deaths_incidence_num,20200919,,20200928,9,11,,
wy,deaths_incidence_num,20200919,,20200928,9,0,,
