geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_incidence_num,20200905,,20200907,2,93,,
al,confirmed_incidence_num,20200905,,20200907,2,1410,,
ar,confirmed_incidence_num,20200905,,20200907,2,515,,
az,confirmed_incidence_num,20200905,,20200907,2,833,,
ca,confirmed_incidence_num,20200905,,20200907,2,4138,,
co,confirmed_incidence_num,20200905,,20200907,2,0,,
ct,confirmed_incidence_num,20200905,,20200907,2,0,,
dc,confirmed_incidence_num,20200905,,20200907,2,52,,
de,confirmed_incidence_num,20200905,,20200907,2,140,,
fl,confirmed_incidence_num,20200905,,20200910,5,3239,,
ga,confirmed_incidence_num,20200905,,20201017,42,2183,,
hi,confirmed_incidence_num,20200905,,20200907,2,220,,
ia,confirmed_incidence_num,20200905,,20200907,2,1028,,
id,confirmed_incidence_num,20200905,,20200909,4,281,,
il,confirmed_incidence_num,20200905,,20200908,3,2801,,
in,confirmed_incidence_num,20200905,,20200907,2,1085,,
ks,confirmed_incidence_num,20200905,,20200907,2,0,,
ky,confirmed_incidence_num,20200905,,20201017,42,781,,
la,confirmed_incidence_num,20200905,,20200907,2,0,,
ma,confirmed_incidence_num,20200905,,20200909,4,383,,
md,confirmed_incidence_num,20200905,,20200907,2,776,,
me,confirmed_incidence_num,20200905,,20200907,2,0,,
mi,confirmed_incidence_num,20200905,,20200913,8,923,,
mn,confirmed_incidence_num,20200905,,20200911,6,910,,
mo,confirmed_incidence_num,20200905,,20200909,4,1970,,
ms,confirmed_incidence_num,20200905,,20200907,2,539,,
mt,confirmed_incidence_num,20200905,,20200909,4,144,,
nc,confirmed_incidence_num,20200905,,20200910,5,3611,,
nd,confirmed_incidence_num,20200905,,20200910,5,358,,
ne,confirmed_incidence_num,20200905,,20200907,2,145,,
nh,confirmed_incidence_num,20200905,,20200907,2,56,,
nj,confirmed_incidence_num,20200905,,20200907,2,324,,
nm,confirmed_incidence_num,20200905,,20201017,42,143,,
nv,confirmed_incidence_num,20200905,,20200907,2,387,,
ny,confirmed_incidence_num,20200905,,20200907,2,801,,
oh,confirmed_incidence_num,20200905,,20200907,2,1339,,
ok,confirmed_incidence_num,20200905,,20200910,5,1146,,
or,confirmed_incidence_num,20200905,,20200907,2,256,,
pa,confirmed_incidence_num,20200905,,20200908,3,961,,
ri,confirmed_incidence_num,20200905,,20200907,2,0,,
sc,confirmed_incidence_num,20200905,,20200911,6,963,,
sd,confirmed_incidence_num,20200905,,20200911,6,295,,
tn,confirmed_incidence_num,20200905,,20200910,5,1863,,
tx,confirmed_incidence_num,20200905,,20200913,8,4213,,
ut,confirmed_incidence_num,20200905,,20200907,2,64,,
va,confirmed_incidence_num,20200905,,20200907,2,946,,
vt,confirmed_incidence_num,20200905,,20200907,2,5,,
wa,confirmed_incidence_num,20200905,,20200912,7,502,,
wi,confirmed_incidence_num,20200905,,20200907,2,948,,
wv,confirmed_incidence_num,20200905,,20200907,2,252,,
wy,confirmed_incidence_num,20200905,,20200907,2,16,,
